gbifID,Province_standard,Species,Genus,Family,decimalLongitude,decimalLatitude,Province_assignment_method,basisOfRecord,coordinateUncertaintyInMeters
865741148,Guangdong,Pipistrellus abramus,Pipistrellus,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,1000.0
865740863,Guangdong,Pipistrellus abramus,Pipistrellus,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,1000.0
865740850,Fujian,Pipistrellus abramus,Pipistrellus,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,100000.0
865735773,Guizhou,Myotis alticraniatus,Myotis,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,100000.0
865735758,Yunnan,Myotis fimbriatus,Myotis,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,10000.0
865735757,Yunnan,Myotis laniger,Myotis,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,10000.0
865727312,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,10000.0
865723941,Guangdong,Cynopterus sphinx,Cynopterus,Pteropodidae,,,stateProvince,PRESERVED_SPECIMEN,1000.0
865723899,Guangdong,Cynopterus sphinx,Cynopterus,Pteropodidae,,,stateProvince,PRESERVED_SPECIMEN,1000.0
859515072,Fujian,Hypsugo pulveratus,Hypsugo,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859506616,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506606,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506602,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506598,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506594,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506590,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506587,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506584,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506581,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506578,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506574,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506570,Yunnan,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506566,Yunnan,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506560,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506557,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506552,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506547,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506542,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506538,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506534,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506530,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506527,Fujian,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859506524,Guangxi,Hipposideros bicolor,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859504455,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504450,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504182,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504177,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504157,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504152,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504146,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504141,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504136,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504131,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504126,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504121,Sichuan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504106,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504101,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504096,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504091,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504086,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504081,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504076,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504071,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504066,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504061,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504057,Fujian,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859504056,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504052,Fujian,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859504051,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504048,Fujian,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859504046,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504043,Fujian,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859504042,Fujian,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859504041,Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504036,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504031,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504026,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504021,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504016,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504015,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504011,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504006,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859504002,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859503997,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859503738,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859503650,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859503645,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859503640,Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859499170,Sichuan,Hypsugo pulveratus,Hypsugo,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859490166,Sichuan,Vespertilio sinensis,Vespertilio,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859487804,Yunnan,Taphozous melanopogon,Taphozous,Emballonuridae,,,stateProvince,PRESERVED_SPECIMEN,
859485028,Yunnan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859482970,Sichuan,Myotis myotis,Myotis,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859482966,Sichuan,Myotis myotis,Myotis,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859482963,Sichuan,Myotis chinensis,Myotis,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859482959,Sichuan,Scotomanes ornatus,Scotomanes,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859482956,Sichuan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859482953,Sichuan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859482947,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482944,Sichuan,Rhinolophus episcopus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482942,Sichuan,Rhinolophus episcopus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482941,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482939,Sichuan,Rhinolophus rex,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482935,Sichuan,Myotis myotis,Myotis,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859482934,Sichuan,Rhinolophus episcopus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482929,Sichuan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859482924,Sichuan,Rhinolophus cornutus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482920,Sichuan,Rhinolophus cornutus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482916,Sichuan,Rhinolophus cornutus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482913,Sichuan,Rhinolophus cornutus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482909,Sichuan,Pipistrellus abramus,Pipistrellus,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859482904,Sichuan,Rhinolophus rex,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482900,Sichuan,Rhinolophus cornutus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482896,Sichuan,Rhinolophus episcopus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482893,Sichuan,Rhinolophus episcopus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482890,Sichuan,Rhinolophus episcopus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482830,Sichuan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482827,Sichuan,Pipistrellus abramus,Pipistrellus,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859482826,Sichuan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482822,Sichuan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482818,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482814,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482810,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482807,Sichuan,Myotis myotis,Myotis,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859482805,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482800,Sichuan,Rhinolophus episcopus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482797,Sichuan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482795,Sichuan,Rhinolophus episcopus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482791,Sichuan,Rhinolophus affinis,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482790,Sichuan,Rhinolophus episcopus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482786,Sichuan,Rhinolophus episcopus,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482785,Sichuan,Rhinolophus rex,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482782,Sichuan,Rhinolophus rex,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482780,Sichuan,Rhinolophus rex,Rhinolophus,Rhinolophidae,,,stateProvince,PRESERVED_SPECIMEN,
859482776,Sichuan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859482775,Sichuan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859482771,Sichuan,Pipistrellus abramus,Pipistrellus,Vespertilionidae,,,stateProvince,PRESERVED_SPECIMEN,
859482770,Sichuan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
859482766,Sichuan,Hipposideros armiger,Hipposideros,Hipposideridae,,,stateProvince,PRESERVED_SPECIMEN,
