Province_standard,Species,Genus,Family
Anhui,Eptesicus serotinus,Eptesicus,Vespertilionidae
Anhui,Myotis fimbriatus,Myotis,Vespertilionidae
Anhui,Nyctalus plancyi,Nyctalus,Vespertilionidae
Anhui,Pipistrellus abramus,Pipistrellus,Vespertilionidae
Fujian,Eptesicus serotinus,Eptesicus,Vespertilionidae
Fujian,Hipposideros pomona,Hipposideros,Hipposideridae
Fujian,Hypsugo pulveratus,Hypsugo,Vespertilionidae
Fujian,Miniopterus pusillus,Miniopterus,Vespertilionidae
Fujian,Myotis chinensis,Myotis,Vespertilionidae
Fujian,Myotis davidii,Myotis,Vespertilionidae
Fujian,Myotis laniger,Myotis,Vespertilionidae
Fujian,Myotis pilosus,Myotis,Vespertilionidae
Fujian,Nyctalus plancyi,Nyctalus,Vespertilionidae
Fujian,Pipistrellus abramus,Pipistrellus,Vespertilionidae
Fujian,Pipistrellus pipistrellus,Pipistrellus,Vespertilionidae
Fujian,Pipistrellus tenuis,Pipistrellus,Vespertilionidae
Fujian,Rhinolophus pusillus,Rhinolophus,Rhinolophidae
Fujian,Rhinolophus sinicus,Rhinolophus,Rhinolophidae
Fujian,Scotophilus heathii,Scotophilus,Vespertilionidae
Guangdong,Cynopterus sphinx,Cynopterus,Pteropodidae
Guangdong,Hipposideros armiger,Hipposideros,Hipposideridae
Guangdong,Hipposideros cineraceus,Hipposideros,Hipposideridae
Guangdong,Hipposideros larvatus,Hipposideros,Hipposideridae
Guangdong,Hypsugo pulveratus,Hypsugo,Vespertilionidae
Guangdong,Lyroderma lyra,Lyroderma,Megadermatidae
Guangdong,Miniopterus pusillus,Miniopterus,Vespertilionidae
Guangdong,Myotis chinensis,Myotis,Vespertilionidae
Guangdong,Myotis davidii,Myotis,Vespertilionidae
Guangdong,Myotis horsfieldii,Myotis,Vespertilionidae
Guangdong,Myotis indochinensis,Myotis,Vespertilionidae
Guangdong,Myotis laniger,Myotis,Vespertilionidae
Guangdong,Myotis pilosus,Myotis,Vespertilionidae
Guangdong,Nyctalus plancyi,Nyctalus,Vespertilionidae
Guangdong,Pipistrellus abramus,Pipistrellus,Vespertilionidae
Guangdong,Pipistrellus pipistrellus,Pipistrellus,Vespertilionidae
Guangdong,Pipistrellus tenuis,Pipistrellus,Vespertilionidae
Guangdong,Rhinolophus affinis,Rhinolophus,Rhinolophidae
Guangdong,Rhinolophus hipposideros,Rhinolophus,Rhinolophidae
Guangdong,Rhinolophus luctus,Rhinolophus,Rhinolophidae
Guangdong,Rhinolophus pearsonii,Rhinolophus,Rhinolophidae
Guangdong,Rhinolophus pusillus,Rhinolophus,Rhinolophidae
Guangdong,Rhinolophus sinicus,Rhinolophus,Rhinolophidae
Guangdong,Tylonycteris fulvida,Tylonycteris,Vespertilionidae
Guangdong,Tylonycteris pachypus,Tylonycteris,Vespertilionidae
Guangdong,Tylonycteris robustula,Tylonycteris,Vespertilionidae
Guangxi,Hipposideros larvatus,Hipposideros,Hipposideridae
Guangxi,Myotis davidii,Myotis,Vespertilionidae
Guangxi,Myotis fimbriatus,Myotis,Vespertilionidae
Guangxi,Myotis horsfieldii,Myotis,Vespertilionidae
Guangxi,Myotis laniger,Myotis,Vespertilionidae
Guangxi,Myotis lucifugus,Myotis,Vespertilionidae
Guangxi,Nyctalus noctula,Nyctalus,Vespertilionidae
Guangxi,Pipistrellus abramus,Pipistrellus,Vespertilionidae
Guangxi,Rhinolophus affinis,Rhinolophus,Rhinolophidae
Guangxi,Rhinolophus marshalli,Rhinolophus,Rhinolophidae
Guangxi,Rhinolophus pearsonii,Rhinolophus,Rhinolophidae
Guangxi,Rhinolophus pusillus,Rhinolophus,Rhinolophidae
Guangxi,Rhinolophus rex,Rhinolophus,Rhinolophidae
Guangxi,Rhinolophus siamensis,Rhinolophus,Rhinolophidae
Guangxi,Rhinolophus sinicus,Rhinolophus,Rhinolophidae
Guangxi,Tylonycteris fulvida,Tylonycteris,Vespertilionidae
Guizhou,Aselliscus stoliczkanus,Aselliscus,Hipposideridae
Guizhou,Hipposideros armiger,Hipposideros,Hipposideridae
Guizhou,Hipposideros pratti,Hipposideros,Hipposideridae
Guizhou,Murina leucogaster,Murina,Vespertilionidae
Guizhou,Myotis daubentonii,Myotis,Vespertilionidae
Guizhou,Rhinolophus pusillus,Rhinolophus,Rhinolophidae
Guizhou,Rhinolophus siamensis,Rhinolophus,Rhinolophidae
Guizhou,Rhinolophus sinicus,Rhinolophus,Rhinolophidae
Hubei,Rhinolophus pearsonii,Rhinolophus,Rhinolophidae
Hubei,Rhinolophus pusillus,Rhinolophus,Rhinolophidae
Hubei,Rhinolophus sinicus,Rhinolophus,Rhinolophidae
Sichuan,Myotis daubentonii,Myotis,Vespertilionidae
Sichuan,Rhinolophus pearsonii,Rhinolophus,Rhinolophidae
Sichuan,Rhinolophus pusillus,Rhinolophus,Rhinolophidae
Sichuan,Rhinolophus siamensis,Rhinolophus,Rhinolophidae
Sichuan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae
Yunnan,Aselliscus stoliczkanus,Aselliscus,Hipposideridae
Yunnan,Hipposideros armiger,Hipposideros,Hipposideridae
Yunnan,Hipposideros cineraceus,Hipposideros,Hipposideridae
Yunnan,Hipposideros pomona,Hipposideros,Hipposideridae
Yunnan,Miniopterus schreibersii,Miniopterus,Vespertilionidae
Yunnan,Myotis daubentonii,Myotis,Vespertilionidae
Yunnan,Rhinolophus affinis,Rhinolophus,Rhinolophidae
Yunnan,Rhinolophus luctus,Rhinolophus,Rhinolophidae
Yunnan,Rhinolophus macrotis,Rhinolophus,Rhinolophidae
Yunnan,Rhinolophus malayanus,Rhinolophus,Rhinolophidae
Yunnan,Rhinolophus paradoxolophus,Rhinolophus,Rhinolophidae
Yunnan,Rhinolophus pearsonii,Rhinolophus,Rhinolophidae
Yunnan,Rhinolophus pusillus,Rhinolophus,Rhinolophidae
Yunnan,Rhinolophus rex,Rhinolophus,Rhinolophidae
Yunnan,Rhinolophus siamensis,Rhinolophus,Rhinolophidae
Yunnan,Rhinolophus sinicus,Rhinolophus,Rhinolophidae
Zhejiang,Eptesicus serotinus,Eptesicus,Vespertilionidae
Zhejiang,Miniopterus schreibersii,Miniopterus,Vespertilionidae
Zhejiang,Murina huttonii,Murina,Vespertilionidae
Zhejiang,Myotis davidii,Myotis,Vespertilionidae
Zhejiang,Myotis fimbriatus,Myotis,Vespertilionidae
Zhejiang,Myotis formosus,Myotis,Vespertilionidae
Zhejiang,Myotis laniger,Myotis,Vespertilionidae
Zhejiang,Myotis pilosus,Myotis,Vespertilionidae
Zhejiang,Nyctalus plancyi,Nyctalus,Vespertilionidae
Zhejiang,Pipistrellus abramus,Pipistrellus,Vespertilionidae
Zhejiang,Rhinolophus ferrumequinum,Rhinolophus,Rhinolophidae
Zhejiang,Rhinolophus pusillus,Rhinolophus,Rhinolophidae
