Number,Season,Terrain,Species
S1,Spring,Mesa,Pipistrellus abramus
S2,Spring,Mesa,Pipistrellus abramus
S3,Spring,Mesa,Pipistrellus abramus
S4,Spring,Mesa,Pipistrellus abramus
S5,Spring,Mesa,Pipistrellus abramus
S6,Spring,Mesa,Pipistrellus abramus
S7,Spring,Mesa,Pipistrellus abramus
S8,Spring,Mesa,Pipistrellus abramus
S9,Spring,Mesa,Pipistrellus abramus
S10,Spring,Mesa,Pipistrellus abramus
S11,Spring,Mesa,Pipistrellus abramus
S12,Spring,Mesa,Pipistrellus abramus
S13,Spring,Mesa,Pipistrellus abramus
S14,Spring,Mesa,Pipistrellus abramus
S15,Spring,Mesa,Pipistrellus abramus
S16,Spring,Mesa,Pipistrellus abramus
S17,Spring,Mesa,Pipistrellus abramus
S18,Spring,Mesa,Pipistrellus abramus
S19,Spring,Mesa,Pipistrellus abramus
S20,Spring,Mesa,Pipistrellus abramus
S21,Spring,Mesa,Pipistrellus abramus
S22,Spring,Mesa,Pipistrellus abramus
S23,Spring,Mesa,Pipistrellus abramus
S24,Spring,Mesa,Pipistrellus abramus
S25,Spring,Mesa,Pipistrellus abramus
S26,Spring,Mesa,Tylonycteris pachypus
S27,Spring,Mesa,Tylonycteris pachypus
S28,Spring,Mesa,Tylonycteris pachypus
S29,Spring,Mesa,Tylonycteris pachypus
S30,Spring,Mesa,Tylonycteris pachypus
S31,Spring,Mesa,Tylonycteris pachypus
S32,Spring,Mesa,Tylonycteris pachypus
S33,Spring,Mesa,Tylonycteris pachypus
S34,Spring,Mesa,Tylonycteris pachypus
S35,Spring,Mesa,Tylonycteris pachypus
S36,Spring,Mesa,Tylonycteris pachypus
S37,Spring,Mesa,Tylonycteris pachypus
S38,Spring,Mesa,Tylonycteris pachypus
S39,Spring,Mesa,Tylonycteris pachypus
S40,Spring,Mesa,Tylonycteris pachypus
S41,Spring,Mesa,Tylonycteris pachypus
S42,Spring,Mesa,Tylonycteris pachypus
S43,Spring,Mesa,Tylonycteris pachypus
S44,Spring,Mesa,Tylonycteris pachypus
S45,Spring,Mesa,Tylonycteris pachypus
S46,Spring,Mesa,Tylonycteris pachypus
S47,Spring,Mesa,Tylonycteris pachypus
S48,Spring,Mesa,Tylonycteris pachypus
S49,Spring,Mesa,Tylonycteris pachypus
S50,Spring,Mesa,Tylonycteris pachypus
S51,Spring,Mesa,Tylonycteris pachypus
S52,Spring,Mesa,Tylonycteris pachypus
S53,Spring,Mesa,Tylonycteris pachypus
S54,Spring,Mesa,Tylonycteris pachypus
S55,Spring,Mesa,Tylonycteris pachypus
S56,Spring,Mesa,Tylonycteris pachypus
S57,Spring,Mesa,Tylonycteris pachypus
S58,Spring,Mesa,Pipistrellus abramus
S59,Spring,Mesa,Pipistrellus abramus
S60,Spring,Mesa,Pipistrellus abramus
S61,Spring,Mesa,Pipistrellus abramus
S62,Spring,Mesa,Pipistrellus abramus
S63,Spring,Mesa,Pipistrellus abramus
S64,Spring,Mesa,Pipistrellus abramus
S65,Spring,Mesa,Pipistrellus abramus
S66,Spring,Mesa,Pipistrellus abramus
S67,Spring,Mesa,Pipistrellus abramus
S68,Spring,Mesa,Pipistrellus abramus
S69,Spring,Mesa,Pipistrellus abramus
S70,Spring,Mesa,Pipistrellus abramus
S71,Spring,Mesa,Pipistrellus abramus
S72,Spring,Mesa,Pipistrellus abramus
S73,Spring,Mesa,Pipistrellus abramus
S74,Spring,Mesa,Pipistrellus abramus
S75,Spring,Mesa,Pipistrellus abramus
S76,Spring,Mesa,Pipistrellus abramus
S77,Spring,Mesa,Pipistrellus abramus
S78,Spring,Mesa,Pipistrellus abramus
S79,Spring,Mesa,Tylonycteris pachypus
S80,Spring,Mesa,Tylonycteris pachypus
S81,Spring,Mesa,Tylonycteris pachypus
S82,Spring,Mesa,Tylonycteris pachypus
S83,Spring,Mesa,Tylonycteris pachypus
S84,Spring,Mesa,Tylonycteris pachypus
S85,Spring,Mesa,Tylonycteris pachypus
S86,Spring,Mesa,Tylonycteris pachypus
S87,Spring,Mesa,Tylonycteris pachypus
S88,Spring,Mesa,Tylonycteris pachypus
S89,Spring,Mesa,Tylonycteris pachypus
S90,Spring,Mesa,Tylonycteris pachypus
S91,Spring,Mesa,Tylonycteris pachypus
S92,Spring,Mesa,Rhinolophus affinis
S93,Spring,Mesa,Rhinolophus affinis
S94,Spring,Mesa,Rhinolophus affinis
S95,Spring,Mesa,Rhinolophus affinis
S96,Spring,Mesa,Rhinolophus affinis
S97,Spring,Mesa,Rhinolophus affinis
S98,Spring,Mesa,Rhinolophus affinis
S99,Spring,Mesa,Rhinolophus affinis
S100,Spring,Mesa,Rhinolophus affinis
S101,Spring,Mesa,Rhinolophus affinis
S102,Spring,Mesa,Rhinolophus affinis
S103,Spring,Mesa,Rhinolophus affinis
S104,Spring,Mesa,Rhinolophus affinis
S105,Spring,Mesa,Rhinolophus affinis
S106,Spring,Mesa,Rhinolophus affinis
S107,Spring,Mesa,Rhinolophus affinis
S108,Spring,Mesa,Rhinolophus affinis
S109,Spring,Mesa,Rhinolophus affinis
S110,Spring,Mesa,Rhinolophus affinis
S111,Spring,Mesa,Rhinolophus affinis
S112,Spring,Mesa,Rhinolophus affinis
S113,Spring,Mesa,Rhinolophus affinis
S114,Spring,Mesa,Rhinolophus affinis
S115,Spring,Mesa,Rhinolophus affinis
S116,Spring,Mesa,Tylonycteris pachypus
S117,Spring,Mesa,Tylonycteris pachypus
S118,Spring,Mesa,Tylonycteris pachypus
S119,Spring,Mesa,Tylonycteris pachypus
S120,Spring,Mesa,Tylonycteris pachypus
S121,Spring,Mesa,Tylonycteris pachypus
S122,Spring,Mesa,Tylonycteris pachypus
S123,Spring,Mesa,Tylonycteris pachypus
S124,Spring,Mesa,Tylonycteris pachypus
S125,Spring,Mesa,Tylonycteris pachypus
S126,Spring,Mesa,Tylonycteris pachypus
S127,Spring,Mesa,Tylonycteris pachypus
S128,Spring,Mesa,Tylonycteris pachypus
S129,Spring,Mesa,Tylonycteris pachypus
S130,Spring,Mesa,Tylonycteris pachypus
S131,Spring,Mesa,Tylonycteris pachypus
S132,Spring,Mesa,Tylonycteris pachypus
S133,Spring,Mesa,Tylonycteris pachypus
S134,Spring,Mesa,Tylonycteris pachypus
S135,Spring,Mesa,Tylonycteris pachypus
S136,Spring,Mesa,Tylonycteris pachypus
S137,Spring,Mesa,Tylonycteris pachypus
S138,Spring,Mountain,Hipposideros armiger
S139,Spring,Mountain,Hipposideros armiger
S140,Spring,Mountain,Hipposideros armiger
S141,Spring,Mountain,Hipposideros armiger
S142,Spring,Mountain,Hipposideros armiger
S143,Spring,Mountain,Hipposideros armiger
S144,Spring,Mountain,Hipposideros armiger
S145,Spring,Mountain,Hipposideros armiger
S146,Autumn,Hill,Hipposideros armiger
S147,Autumn,Hill,Hipposideros armiger
S148,Autumn,Hill,Hipposideros armiger
S149,Autumn,Hill,Hipposideros armiger
S150,Autumn,Hill,Hipposideros armiger
S151,Autumn,Hill,Hipposideros armiger
S152,Autumn,Hill,Hipposideros armiger
S153,Autumn,Hill,Hipposideros armiger
S154,Autumn,Hill,Hipposideros armiger
S155,Autumn,Hill,Hipposideros armiger
S156,Autumn,Hill,Hipposideros armiger
S157,Autumn,Hill,Hipposideros armiger
S158,Autumn,Hill,Hipposideros armiger
S159,Autumn,Hill,Hipposideros armiger
S160,Autumn,Hill,Hipposideros armiger
S161,Autumn,Hill,Hipposideros armiger
S162,Autumn,Hill,Hipposideros armiger
S163,Autumn,Hill,Hipposideros armiger
S164,Autumn,Hill,Hipposideros armiger
S165,Autumn,Hill,Hipposideros armiger
S166,Autumn,Hill,Hipposideros armiger
S167,Autumn,Hill,Hipposideros armiger
S168,Autumn,Hill,Hipposideros armiger
S169,Autumn,Hill,Hipposideros armiger
S170,Autumn,Hill,Hipposideros armiger
S171,Autumn,Hill,Hipposideros armiger
S172,Autumn,Hill,Hipposideros armiger
S173,Autumn,Hill,Hipposideros armiger
S174,Autumn,Hill,Hipposideros armiger
S175,Autumn,Hill,Hipposideros armiger
S176,Autumn,Hill,Hipposideros armiger
S177,Autumn,Hill,Hipposideros armiger
S178,Spring,Mountain,Rhinolophus sinicus
S179,Spring,Mountain,Rhinolophus sinicus
S180,Spring,Mountain,Rhinolophus sinicus
S181,Spring,Mountain,Rhinolophus sinicus
S182,Spring,Mountain,Rhinolophus sinicus
S183,Autumn,Hill,Rhinolophus sinicus
S184,Summer,Mesa,Nyctalus noctula
S185,Summer,Mesa,Nyctalus noctula
S186,Autumn,Plain,Nyctalus plancyi
S187,Summer,Plain,Rhinolophus sinicus
S188,Summer,Plain,Rhinolophus sinicus
S189,Summer,Plain,Rhinolophus sinicus
S190,Summer,Plain,Rhinolophus sinicus
S191,Summer,Plain,Rhinolophus sinicus
S192,Summer,Plain,Rhinolophus sinicus
S193,Summer,Plain,Rhinolophus sinicus
S194,Summer,Plain,Rhinolophus siamensis
S195,Summer,Mountain,Hipposideros larvatus
S196,Summer,Mountain,Hipposideros larvatus
