Species,Plain,Hill,Mountainous,Mesa
Aselliscus stoliczkanus,0,0,27,0
Cynopterus sphinx,0,0,5,0
Eptesicus serotinus,138,2,0,3
Hipposideros armiger,0,36,17,1
Hipposideros cineraceus,31,0,2,0
Hipposideros larvatus,15,0,23,15
Hipposideros pomona,0,0,27,42
Hipposideros pratti,0,0,3,0
Hypsugo pulveratus,4,0,28,3
Megaderma lyra,0,0,0,2
Miniopterus pusillus,36,11,37,1
Miniopterus schreibersii,0,0,3,0
Murina huttoni,1,0,0,0
Murina leucogaster,0,0,1,0
Myotis chinensis,2,2,36,1
Myotis daubentonii,0,0,14,0
Myotis davidii,3,0,3,0
Myotis fimbriatus,312,0,1,3
Myotis formosus,0,0,8,0
Myotis horsfieldii,51,2,17,3
Myotis indochinensis,0,0,2,0
Myotis laniger,51,2,6,55
Myotis lucifugus,0,0,1,0
Myotis ricketti,12,2,42,9
Myotis spp.,0,0,1,1
Nyctalus noctula,0,0,0,2
Nyctalus plancyi,185,21,8,3
Pipistrellus abramus,1525,8,118,338
Pipistrellus pipistrellus,16,4,10,3
Pipistrellus tenuis,0,0,8,1
Rhinolophus affinis,0,16,223,27
Rhinolophus ferrumequinum,2,0,129,0
Rhinolophus hipposideros,1,0,1,0
Rhinolophus luctus,0,0,3,0
Rhinolophus macrotis,2,0,6,0
Rhinolophus malayanus,0,0,6,0
Rhinolophus marshalli,3,0,0,0
Rhinolophus paradoxolophus,0,0,1,0
Rhinolophus pearsonii,2,18,159,0
Rhinolophus pusillus,83,43,465,95
Rhinolophus rex,1,0,11,0
Rhinolophus siamensis,2,0,10,0
Rhinolophus sinicus,8,4,562,11
Scotophilus heathii,0,0,0,1
Tylonycteris fulvida,1,0,3,0
Tylonycteris pachypus,88,8,0,83
Tylonycteris robustula,1,13,0,0
