sample_id,viral_family_tax_id,assigned_reads
IPB24B-13,10292,4235
IPB24B-13,10662,23153
IPB24B-13,11118,1892
IPB24B-14,10780,7553
IPB24B-14,11006,1365
IPB24B-14,12058,54591
IPB24B-14,232795,1817
IPB24B-14,699189,3604818
IPB24B-14,1283210,15050
IPB24B-15,10662,557
IPB24B-15,10744,256
IPB24B-15,10841,279
IPB24B-15,11118,2744
IPB24B-15,12058,7699
IPB24B-15,39724,3048
IPB24B-15,232795,25041
IPB24B-15,699189,19141
IPB24B-15,1283210,887
IPB24B-15,2169574,1256
IPB24B-15,2731690,520
IPB24B-16,10860,1462
IPB24B-16,11118,1005
IPB24B-16,11158,9934
IPB24B-16,12058,43672
IPB24B-16,39724,1888
IPB6D-1,10662,20716
IPB6D-1,11006,2087
IPB6D-1,12283,108373
IPB6D-1,39738,19666
IPB6D-1,151340,5847
IPB6D-1,699189,2855
IPB6D-1,1283208,3548
IPB6D-1,2169577,16881
IPB6D-2,10662,14419
IPB6D-2,11118,17328
IPB6D-2,2731643,10146
IPB6D-3,10662,56613
IPB6D-3,11118,118339
IPB6D-3,2731643,4508
IPB6D-4,10662,13905
IPB6D-4,11118,18952
IPB6D-5,10662,26287
IPB6D-5,10841,2553
IPB6D-5,11118,50733
IPB6D-5,12058,1572
IPB6D-5,12283,3410
IPB6D-5,39733,1649
IPB6D-5,39738,174224
IPB6D-5,119163,48396
IPB6D-5,151340,395573
IPB6D-5,2169577,53445
IPB6D-6,10662,406900
IPB6D-6,10699,1428
IPB6D-6,10744,3351
IPB6D-6,10780,5523
IPB6D-6,11118,269346
IPB6D-6,11974,1295
IPB6D-6,39724,7072
IPB6D-6,151340,172496
IPB6D-6,2731643,24791
IPB6D-7,10662,33662
IPB6D-7,151340,1721
IPB6D-8,10662,9647
IPB6D-8,699189,2083
IPB6D-9,10662,14522
IPB6D-10,10662,20599
IPB6D-10,12058,35455
IPB24C-74,10780,29530
IPB24C-74,10841,388
IPB24C-74,11012,571
IPB24C-74,11118,472
IPB24C-74,12058,577
IPB24C-74,39724,5236
IPB24C-74,39738,1473
IPB24C-74,151341,16811
IPB24C-74,232795,1411
IPB24C-74,291484,61613
IPB24C-74,1283210,1361
IPB24C-74,1910928,8321
IPB24C-74,2169570,324
IPB24C-74,2169574,433
IPB24E-195,10662,129395
IPB24E-195,10841,935
IPB24E-195,11118,6089
IPB24E-199,10508,1760
IPB24E-199,10662,380348
IPB24E-199,10744,934
IPB24E-199,10780,622
IPB24E-199,11118,12233
IPB24E-199,151340,31595
IPB24E-199,585893,1172
IPB24C-27,10662,603
IPB24C-27,10780,648
IPB24C-27,10841,1283
IPB24C-27,11118,1300
IPB24C-27,39724,1589
IPB24C-27,699189,612
IPB24C-27,2169570,1789
IPB24A-35,10744,1374
IPB24A-35,10780,1028
IPB24A-35,10841,42519
IPB24A-35,11118,1295
IPB24A-35,11974,35051
IPB24A-35,39724,3762
IPB24A-35,699189,783
IPB24D-34,10744,4470
IPB24D-34,10780,3630
IPB24D-34,10841,150685
IPB24D-34,11118,1011
IPB24D-34,11270,581
IPB24D-34,232795,1853
IPB24A-37,10699,1046
IPB24A-37,10780,14890
IPB24A-37,10841,2756
IPB24A-37,11118,17748
IPB24A-37,11158,22913
IPB24A-37,12058,113295
IPB24A-37,39724,2076
IPB24A-37,151340,876
IPB24A-37,699189,14503
IPB24A-37,2169574,627
IPB24A-37,2731643,573
IPB24D-36,10662,1469
IPB24D-36,10841,606
IPB24D-36,11118,6746
IPB24D-36,39724,20019
IPB24D-36,39738,1218
IPB24D-36,2731643,931
IPB24A-38,10699,724
IPB24A-38,10780,698
IPB24A-38,10841,734
IPB24A-38,11118,1061
IPB24A-38,39733,5889
IPB24A-38,39738,3128
IPB24A-38,699189,24767
IPB24A-38,2169570,60259
IPB24A-39,10780,203752
IPB24A-39,10841,2274
IPB24A-39,11118,135664
IPB24A-39,11158,16452
IPB24A-39,12058,210777
IPB24A-39,39724,1484
IPB24A-39,699189,2396
