column,province,host_species
Anhui: Eptesicus serotinus,Anhui,Eptesicus serotinus
Anhui: Myotis fimbriatus,Anhui,Myotis fimbriatus
Anhui: Nyctalus plancyi,Anhui,Nyctalus plancyi
Anhui: Pipistrellus abramus,Anhui,Pipistrellus abramus
Fujian: Myotis ricketti,Fujian,Myotis ricketti
Fujian: Pipistrellus abramus,Fujian,Pipistrellus abramus
Fujian: Rhinolophus pusillus,Fujian,Rhinolophus pusillus
Fujian: Scotophilus heathii,Fujian,Scotophilus heathii
Guangdong: Cynopterus sphinx,Guangdong,Cynopterus sphinx
Guangdong: Hipposideros armiger,Guangdong,Hipposideros armiger
Guangdong: Hipposideros cineraceus,Guangdong,Hipposideros cineraceus
Guangdong: Hipposideros larvatus,Guangdong,Hipposideros larvatus
Guangdong: Megaderma lyra,Guangdong,Megaderma lyra
Guangdong: Myotis chinensis,Guangdong,Myotis chinensis
Guangdong: Myotis davidii,Guangdong,Myotis davidii
Guangdong: Myotis horsfieldii,Guangdong,Myotis horsfieldii
Guangdong: Myotis indochinensis,Guangdong,Myotis indochinensis
Guangdong: Myotis laniger,Guangdong,Myotis laniger
Guangdong: Nyctalus plancyi,Guangdong,Nyctalus plancyi
Guangdong: Pipistrellus abramus,Guangdong,Pipistrellus abramus
Guangdong: Hypsugo pulveratus,Guangdong,Hypsugo pulveratus
Guangdong: Pipistrellus tenuis,Guangdong,Pipistrellus tenuis
Guangdong: Rhinolophus affinis,Guangdong,Rhinolophus affinis
Guangdong: Rhinolophus luctus,Guangdong,Rhinolophus luctus
Guangdong: Rhinolophus pearsonii,Guangdong,Rhinolophus pearsonii
Guangdong: Rhinolophus pusillus,Guangdong,Rhinolophus pusillus
Guangdong: Rhinolophus sinicus,Guangdong,Rhinolophus sinicus
Guangdong: Tylonycteris fulvida,Guangdong,Tylonycteris fulvida
Guangdong: Tylonycteris pachypus,Guangdong,Tylonycteris pachypus
Guangdong: Tylonycteris robustula,Guangdong,Tylonycteris robustula
Guangxi: Hipposideros larvatus,Guangxi,Hipposideros larvatus
Guangxi: Myotis fimbriatus,Guangxi,Myotis fimbriatus
Guangxi: Myotis horsfieldii,Guangxi,Myotis horsfieldii
Guangxi: Myotis lucifugus,Guangxi,Myotis lucifugus
Guangxi: Pipistrellus abramus,Guangxi,Pipistrellus abramus
Guangxi: Rhinolophus affinis,Guangxi,Rhinolophus affinis
Guangxi: Rhinolophus pusillus,Guangxi,Rhinolophus pusillus
Guangxi: Rhinolophus sinicus,Guangxi,Rhinolophus sinicus
Guangxi: Tylonycteris fulvida,Guangxi,Tylonycteris fulvida
Guizhou: Aselliscus stoliczkanus,Guizhou,Aselliscus stoliczkanus
Guizhou: Hipposideros pratti,Guizhou,Hipposideros pratti
Guizhou: Murina leucogaster,Guizhou,Murina leucogaster
Guizhou: Myotis daubentonii,Guizhou,Myotis daubentonii
Guizhou: Rhinolophus pusillus,Guizhou,Rhinolophus pusillus
Guizhou: Rhinolophus siamensis,Guizhou,Rhinolophus siamensis
Guizhou: Rhinolophus sinicus,Guizhou,Rhinolophus sinicus
Hubei: Rhinolophus sinicus,Hubei,Rhinolophus sinicus
Sichuan: Rhinolophus pearsonii,Sichuan,Rhinolophus pearsonii
Sichuan: Rhinolophus pusillus,Sichuan,Rhinolophus pusillus
Sichuan: Rhinolophus siamensis,Sichuan,Rhinolophus siamensis
Sichuan: Rhinolophus sinicus,Sichuan,Rhinolophus sinicus
Yunnan: Aselliscus stoliczkanus,Yunnan,Aselliscus stoliczkanus
Yunnan: Hipposideros pomona,Yunnan,Hipposideros pomona
Yunnan: Miniopterus schreibersii,Yunnan,Miniopterus schreibersii
Yunnan: Myotis daubentonii,Yunnan,Myotis daubentonii
Yunnan: Myotis spp.,Yunnan,Myotis spp.
Yunnan: Rhinolophus affinis,Yunnan,Rhinolophus affinis
Yunnan: Rhinolophus luctus,Yunnan,Rhinolophus luctus
Yunnan: Rhinolophus pearsonii,Yunnan,Rhinolophus pearsonii
Yunnan: Rhinolophus pusillus,Yunnan,Rhinolophus pusillus
Yunnan: Rhinolophus rex,Yunnan,Rhinolophus rex
Yunnan: Rhinolophus siamensis,Yunnan,Rhinolophus siamensis
Yunnan: Rhinolophus sinicus,Yunnan,Rhinolophus sinicus
Zhejiang: Eptesicus serotinus,Zhejiang,Eptesicus serotinus
Zhejiang: Miniopterus schreibersii,Zhejiang,Miniopterus schreibersii
Zhejiang: Murina huttoni,Zhejiang,Murina huttoni
Zhejiang: Myotis fimbriatus,Zhejiang,Myotis fimbriatus
Zhejiang: Myotis formosus,Zhejiang,Myotis formosus
Zhejiang: Nyctalus plancyi,Zhejiang,Nyctalus plancyi
Zhejiang: Pipistrellus abramus,Zhejiang,Pipistrellus abramus
Zhejiang: Rhinolophus ferrumequinum,Zhejiang,Rhinolophus ferrumequinum
Zhejiang: Rhinolophus pusillus,Zhejiang,Rhinolophus pusillus
