original_order,virus_type,order_family_label,virus_family
33.0,RNA,Picornavirales: Iflaviridae,Iflaviridae
27.0,RNA,Nidovirales: Coronaviridae,Coronaviridae
32.0,RNA,Picornavirales: Dicistroviridae,Dicistroviridae
13.0,DNA,Zurhausenvirales: Papillomaviridae,Papillomaviridae
34.0,RNA,Picornavirales: Picornaviridae,Picornaviridae
8.0,DNA,Piccovirales: Parvoviridae,Parvoviridae
2.0,DNA,Cirlivirales: Circoviridae,Circoviridae
41.0,RNA,Tolivirales: Tombusviridae,Tombusviridae
44.0,RNA,Unclassified: Permutotetraviridae,Permutotetraviridae
38.0,RNA,Stellavirales: Astroviridae,Astroviridae
9.0,DNA,Rowavirales: Adenoviridae,Adenoviridae
37.0,RNA,Sobelivirales: Solemoviridae,Solemoviridae
40.0,RNA,Tolivirales: Luteoviridae,Luteoviridae
35.0,RNA,Picornavirales: Polycipiviridae,Polycipiviridae
3.0,DNA,Cremevirales: Smacoviridae,Smacoviridae
19.0,RNA,Ghabrivirales: Chrysoviridae,Chrysoviridae
31.0,RNA,Picornavirales: Caliciviridae,Caliciviridae
28.0,RNA,Nodamuvirales: Nodaviridae,Nodaviridae
22.0,RNA,Hepelivirales: Hepeviridae,Hepeviridae
6.0,DNA,Herpesvirales: Herpesviridae,Herpesviridae
5.0,DNA,Geplafuvirales: Genomoviridae,Genomoviridae
16.0,RNA,Durnavirales: Partitiviridae,Partitiviridae
14.0,Reverse Transcribing Virus,Ortervirales: Retroviridae,Retroviridae
43.0,RNA,Tymovirales: Tymoviridae,Tymoviridae
25.0,RNA,Mononegavirales: Paramyxoviridae,Paramyxoviridae
10.0,DNA,Sepolyvirales: Polyomaviridae,Polyomaviridae
1.0,DNA,Chitovirales: Poxviridae,Poxviridae
7.0,DNA,Imitervirales: Mimiviridae,Mimiviridae
23.0,RNA,Jingchuvirales: Chuviridae,Chuviridae
45.0,RNA,Wolframvirales: Narnaviridae,Narnaviridae
29.0,RNA,Reovirales: Spinareoviridae,Spinareoviridae
17.0,RNA,Durnavirales: Picobirnaviridae,Picobirnaviridae
11.0,DNA,Unclassified: Anelloviridae,Anelloviridae
21.0,RNA,Hepelivirales: Alphatetraviridae,Alphatetraviridae
36.0,RNA,Picornavirales: Solinviviridae,Solinviviridae
18.0,RNA,Elliovirales: Phasmaviridae,Phasmaviridae
15.0,RNA,Amarillovirales: Flaviviridae,Flaviviridae
12.0,DNA,Unclassified: Zobellviridae,Zobellviridae
30.0,RNA,Ourlivirales: Botourmiaviridae,Botourmiaviridae
26.0,RNA,Mononegavirales: Rhabdoviridae,Rhabdoviridae
24.0,RNA,Martellivirales: Virgaviridae,Virgaviridae
42.0,RNA,Tymovirales: Deltaflexiviridae,Deltaflexiviridae
20.0,RNA,Hareavirales: Phenuiviridae,Phenuiviridae
4.0,DNA,Geplafuvirales: Geminiviridae,Geminiviridae
39.0,RNA,Tolivirales: Carmotetraviridae,Carmotetraviridae
