Family,Anhui: Eptesicus serotinus,Anhui: Myotis fimbriatus,Anhui: Nyctalus plancyi,Anhui: Pipistrellus abramus,Fujian: Myotis ricketti,Fujian: Pipistrellus abramus,Fujian: Rhinolophus pusillus,Fujian: Scotophilus heathii,Guangdong: Cynopterus sphinx,Guangdong: Hipposideros armiger,Guangdong: Hipposideros cineraceus,Guangdong: Hipposideros larvatus,Guangdong: Megaderma lyra,Guangdong: Myotis chinensis,Guangdong: Myotis davidii,Guangdong: Myotis horsfieldii,Guangdong: Myotis indochinensis,Guangdong: Myotis laniger,Guangdong: Nyctalus plancyi,Guangdong: Pipistrellus abramus,Guangdong: Hypsugo pulveratus,Guangdong: Pipistrellus tenuis,Guangdong: Rhinolophus affinis,Guangdong: Rhinolophus luctus,Guangdong: Rhinolophus pearsonii,Guangdong: Rhinolophus pusillus,Guangdong: Rhinolophus sinicus,Guangdong: Tylonycteris fulvida,Guangdong: Tylonycteris pachypus,Guangdong: Tylonycteris robustula,Guangxi: Hipposideros larvatus,Guangxi: Myotis fimbriatus,Guangxi: Myotis horsfieldii,Guangxi: Myotis lucifugus,Guangxi: Pipistrellus abramus,Guangxi: Rhinolophus affinis,Guangxi: Rhinolophus pusillus,Guangxi: Rhinolophus sinicus,Guangxi: Tylonycteris fulvida,Guizhou: Aselliscus stoliczkanus,Guizhou: Hipposideros pratti,Guizhou: Murina leucogaster,Guizhou: Myotis daubentonii,Guizhou: Rhinolophus pusillus,Guizhou: Rhinolophus siamensis,Guizhou: Rhinolophus sinicus,Hubei: Rhinolophus sinicus,Sichuan: Rhinolophus pearsonii,Sichuan: Rhinolophus pusillus,Sichuan: Rhinolophus siamensis,Sichuan: Rhinolophus sinicus,Yunnan: Aselliscus stoliczkanus,Yunnan: Hipposideros pomona,Yunnan: Miniopterus schreibersii,Yunnan: Myotis daubentonii,Yunnan: Myotis spp.,Yunnan: Rhinolophus affinis,Yunnan: Rhinolophus luctus,Yunnan: Rhinolophus pearsonii,Yunnan: Rhinolophus pusillus,Yunnan: Rhinolophus rex,Yunnan: Rhinolophus siamensis,Yunnan: Rhinolophus sinicus,Zhejiang: Eptesicus serotinus,Zhejiang: Miniopterus schreibersii,Zhejiang: Murina huttoni,Zhejiang: Myotis fimbriatus,Zhejiang: Myotis formosus,Zhejiang: Nyctalus plancyi,Zhejiang: Pipistrellus abramus,Zhejiang: Rhinolophus ferrumequinum,Zhejiang: Rhinolophus pusillus
Iflaviridae,116.086331652577,950.581324825605,2705.27307288659,7917.55155453974,0.0,33537.2547755689,0.0,0.0,0.0,0.0,0.0,321.35979898565,0.0,1584.40850749562,353.055453004197,0.0,366.332650838203,0.0,11467.6245533391,567.315569213388,1724.33256006151,201.54188122694,664.201957103395,0.0,9376.53178401491,6149.51429513778,132.442472102648,0.0,5905.66982817972,0.0,0.0,485.169795876328,1696.02584127809,0.0,31337503.7149799,0.0,0.0,0.0,635617.98499037,0.0,6518.9133437181,0.0,549.741611015749,1169.72337518776,574.004397558323,29012.6981017855,99082.5785040111,68646.9330585639,82091.143821056,263.999041459865,24520.5236056642,294.209498099011,0.0,20152.4698404041,7253.98249739927,0.0,90.5750798751518,0.0,0.0,608.101685662609,0.0,0.0,6448.54527996567,178.899579833926,0.0,0.0,488.229499139083,0.0,0.0,23212.1659539872,304.595181675082,11025.9221101194
Coronaviridae,24573.3320037282,15172.1134765604,17933.9146630326,301229.801562529,0.0,34872.7824298546,0.0,142500.186773123,1909.53883592507,0.0,84.3207138350717,437.055179582448,216.316440049444,14.5846029096481,2896.13001043037,8800.40461496811,2905.57612080616,15434.1203351104,20282.3005301257,91294.236637435,19760.7882459486,793.978876213457,12450.3164515052,129.376017300248,2341.3856764447,5801.52613297997,7168.16857419929,3488.71540334993,10491.8640572047,0.0,0.0,3001.62510585259,0.0,0.0,58057.1832478693,728490.384956009,185307.49858528,164783.640079084,138905.492461978,813.483754484946,339.447629341556,2710.63923530509,4937.15384377134,32790.0016853056,5214.82416381566,1904.73996985337,253252.724255652,4228.87432184309,3885.01914163136,5357.41164793141,108023.432157014,10484.2683995066,0.0,675.630595661214,487.624125428762,203.530138705662,7386.52999494946,0.0,0.0,15725.4491276968,440.822371015185,0.0,7579.81614601944,48080.4546820029,37805.3906642471,0.0,7960.51538038754,12.8345977370435,433.309289424659,0.0,183271.707035687,22296.4973750371
Dicistroviridae,4277.2466454502,4679.24747293779,743.050743381722,38114.0498375288,0.0,43673.8519212746,0.0,111.635740819271,0.0,1464.7564676264,149.568885255068,230.394125383755,0.0,17665.7581901687,170.703207607359,2181.9708491262,2143.98387322766,0.0,2435.26980911499,10511.276838385,15058.9013866294,0.0,447.7243570897,525.454550711062,0.0,562.146325988888,4023.29174989636,0.0,222.708939070419,0.0,0.0,0.0,0.0,0.0,18055.6159945748,0.0,0.0,0.0,831540.147439729,0.0,12408.0294729555,0.0,30037.2299965216,930.996935691837,0.0,2071.20517354765,12323.8878378236,0.0,0.0,0.0,36.654035877857,0.0,55.2910656709989,9.22018061147624,213.782113979635,0.0,0.0,0.0,31.087615781939,201.069351368122,0.0,0.0,389.365835401465,222.237504900402,1143.13249059351,0.0,2581.3035322217,12.8797899825965,0.0,0.0,476.577838431356,74722.3161151351
Papillomaviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6577862743128,0.0,0.0,140.021706040985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056520.15821181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2255.32263913796,991.060331465513,231.319764541934,0.0,0.0,107.649133337678,225.406746441844,0.0,0.0,189.757943428627,0.0,0.0,3107.00329563839,0.0,0.0,0.0,0.0,92.9604491024594,0.0,0.0,1096.32500760442,0.0
Picornaviridae,8550.40149175688,6085.20904969013,83.9723316110362,9152.90122704748,2160.17587177081,0.0,0.0,0.0,0.0,0.0,211.220042096782,0.0,0.0,197.40660236493,0.0,0.0,2788.51238660863,0.0,30.0866884240568,5713.95794774636,64.5400805866581,0.0,2825.69385746864,0.0,0.0,30852.553552191,10736.6910891866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487497.167248373,2509.00977109276,0.0,0.0,262070.797635652,0.0,92.7211266411639,0.0,361.459355235255,0.0,0.0,143.434237393391,0.0,1966.27424263824,1296.58004628825,398.390462481153,2377.08895080151,0.0,268.239893762452,0.0,11.9402831374039,0.0,10134.118994733,0.0,0.0,314.213624947239,0.0,0.0,7762.23535062211,2950.97840374903,1988.94801053937,0.0,578.288439964857,0.0,32719.7412997842,197.620225416086,2521.12439081517,40196.3346592212
Parvoviridae,2381.61134714381,42519.8712507095,563.832237906215,18904.0478665396,1443.41476860622,19557.523371734,0.0,0.0,10266.3827568225,15767.3510627308,17.0230806204733,9735.89454000423,161.048778168679,1312.951155011,381.730007562914,35405.0753931201,2030.08402373818,319.87814166032,249.271533376052,15937.8489984866,1731.68006429434,12357.7447360488,1292.6813095706,514.612985015511,395.626969984512,3307.46884897089,14427.9730739014,538.025189657585,146.84329681735,0.0,0.0,30876.6239926338,905.123015464198,0.0,65969.0489275061,12940.3660696713,0.0,0.0,0.0,0.0,4161.14755198565,0.0,208.638327529684,890.457904880628,234.827497704644,1404.57177208985,47060.1291577267,2276.44708091357,11775.8723778037,0.0,6639.84566463045,57.2202724649258,130.441784688361,0.0,510.78305486865,0.0,7392.69458388402,0.0,0.0,14131.2028738044,70.1844937248333,4168.46220359558,1127.31930751902,241.446998706853,984.22169593701,0.0,6081.72950232445,36224.3415376842,1180.6397436097,0.0,8240.03958819746,116415.913259954
Circoviridae,37.5880065798868,8510.72932281188,67.604696918177,7793.88772055347,655.157419893853,0.0,0.0,0.0,1780.84343954325,0.0,653.778312478178,271.384554655205,0.0,943.139246888863,145.612972368482,19496.4319185936,1750.75820237111,50198.0198019802,1067.06255634867,3866.49252483911,3811.10250543633,1011.82951273559,3304.50277964938,1783.07617139503,134.8161705764,1840.67024390585,3619.46786152752,1069.23242925339,0.0,69.4674513393621,0.0,2502.32227122966,65435.370889273,0.0,5394.38252185204,16569.6666385507,0.0,0.0,101215.38155011,0.0,0.0,0.0,0.0,0.0,288.903970767615,101.128645299209,0.0,0.0,289.557048183702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.1498177446234,0.0,0.0,390.443389185871,0.0,6458.67875450632,992.096242022834,0.0,328.192035119275,12.6235298825666,1697.40316254849,1269.49362862492
Tombusviridae,2271.46635004152,0.0,0.0,687.656595384819,360.17919926903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4653383586476,0.0,0.0,0.0,3073.11500380807,0.0,39.1386225013451,0.0,0.0,0.0,0.0,1132.22570566581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278072.339922942,0.0,0.0,0.0,0.0,90.0719515942735,0.0,0.0,0.0,0.0,594.04309307413,0.0,0.0,0.0,0.0,0.0,0.0,28.1441233659925,0.0,1245.57904358687,0.0,4057.11433845153,0.0,0.0,275.132817401648,0.0,0.0,156.115193562617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1628.68997216748
Permutotetraviridae,6.14677247797861,2760.8319206532,2273.47885562387,14663.3124397781,1084.13489318056,17606.1052349712,21738.2328654005,0.0,0.0,0.0,0.0,0.0,0.0,20.2910325782173,0.0,1001.48008694556,0.0,0.0,0.0,3811.54340996825,0.0,0.0,0.0,0.0,0.0,0.0,39.8226385780735,0.0,29.8864019539396,0.0,0.0,0.0,0.0,0.0,132263.634196612,0.0,0.0,0.0,29454.7386597596,0.0,0.0,0.0,1277.94957259403,415.086631329744,135.439239873312,223.083654607745,0.0,0.0,633.566196136463,0.0,3424.20269644793,0.0,0.0,0.0,17.2723519548041,0.0,170.878935716871,9086.90540163799,0.0,1949.58069127958,0.0,11879.4849983357,10347.9652650202,200.35073491667,0.0,0.0,1810.734909915,0.0,0.0,307.268590094534,0.0,1032.75595731332
Astroviridae,0.0,8369.50146829647,0.0,13194.2281178862,1922.75437712156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6148486333839,0.0,0.0,0.0,0.0,47.366192303051,22374.1568835507,0.0,0.0,356.350657018929,0.0,2019.94128688651,0.0,0.0,0.0,0.0,0.0,43047.0453837366,0.0,0.0,0.0,0.0,2631.90656013484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3151.77767069619,25326.3109989231,0.0,0.0,0.0,0.0,0.0,36.9511072409568,0.0,0.0,1162.61645348745,0.0,0.0,347.146328179308,0.0,0.0,0.0,6718.82238329304,0.0,198.869676678609,0.0,0.0,0.0,0.0,0.0,1558.06391049226,0.0,42.3624582554827,0.0
