virus_family,Aselliscus,Cynopterus,Eptesicus,Hipposideros,Megaderma,Miniopterus,Murina,Myotis,Nyctalus,Pipistrellus,Rhinolophus,Scotophilus,Tylonycteris
Adenoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8501076836999117,3.362368104946071,0.0,3.9889305797864205,0.0,0.0
Anelloviridae,0.0,0.0,2.9871910988735793,2.073522996879546,0.0,0.0,0.0,0.0,3.3318768592702406,0.0,2.2595882895632204,0.0,0.0
Circoviridae,0.0,4.966633774145188,3.322245094731476,3.7792037632098268,0.0,0.0,4.924092208628233,5.2476870567303635,3.932109275880115,4.188600838495644,3.942391612905203,0.0,5.391003875394689
Geminiviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6069003314510621,0.0,0.0,0.0,0.0,0.0
Genomoviridae,0.0,0.0,2.8004564341817053,2.597124052962994,0.0,0.0,0.0,3.3793585064859206,4.116002798812772,3.300199438538075,3.3270252721307267,0.0,0.0
Herpesviridae,0.0,0.0,0.0,0.0,0.0,5.274499521763371,0.0,0.0,0.0,1.4995511750590411,3.862295473031456,0.0,0.0
Mimiviridae,0.0,0.0,0.0,0.0,0.0,4.457296764488709,2.9823219006408688,0.0,2.2543052138461657,0.0,2.1580714273653196,0.0,0.0
Papillomaviridae,4.209201747042588,0.0,0.0,3.1516252511832406,0.0,0.0,0.0,2.410596124909957,0.0,0.0,5.176711513472218,0.0,0.0
Parvoviridae,2.9710891843062828,5.727421608973037,4.428912908445115,5.237853825518418,3.923012633765993,3.9309959387916575,0.0,5.328905687845289,4.001711265029235,4.7594668782347975,4.784433703796911,0.0,3.773532438788923
Polyomaviridae,0.0,0.0,2.257211765500315,0.0,0.0,0.0,0.0,0.0,0.0,3.6629962086075514,1.5494522704677347,0.0,0.0
Poxviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6024289132326475,0.0,0.0,2.4298001905348685,0.0,4.392609421943335
Smacoviridae,0.0,0.0,2.5938269318093305,0.0,0.0,0.0,0.0,2.14994363546324,0.0,2.8346168344043177,1.981002322668091,0.0,4.988202441190411
Zobellviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281313581136084,0.0,0.0
Retroviridae,0.0,0.0,2.6282241995210636,2.674203640061032,0.0,0.0,0.0,2.6942005595906795,4.618240034428458,2.0596610239921582,2.334596575895359,0.0,3.472506393334592
Alphatetraviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693058585001618,2.696958846716714,0.0,0.0
Astroviridae,0.0,0.0,0.0,4.876987161876357,0.0,4.278534159919196,0.0,4.2708114315115315,3.7301835344149255,4.479523310408596,3.9343277308008338,0.0,0.0
Botourmiaviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.041284702149211,0.0,0.0
Caliciviridae,0.0,0.0,2.5674197113745416,2.10849195815411,0.0,0.0,0.0,4.134772004711707,0.0,0.0,4.192929835231916,0.0,0.0
Carmotetraviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0261656546178106,0.0,0.0,0.0
Chrysoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1933432748710096,0.0,0.0,4.017616243266622,0.0,0.0
Chuviridae,0.0,0.0,2.072817408881071,0.0,0.0,0.0,0.0,3.041808569480764,0.0,1.8684127732767344,0.0,0.0,0.0
Coronaviridae,5.241790417699118,4.996936212765446,5.6762918007603025,3.5909660166937543,4.051131478249409,5.52979342215994,4.211249672899433,4.983972209045946,5.4455376768313135,5.596401152694227,5.406535172764718,5.998913908965384,5.648632055398829
Deltaflexiviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205479109118878,0.0,0.0
Dicistroviridae,0.0,0.0,4.674869108976332,4.49055369563186,0.0,4.002543778384917,0.0,4.800487403574446,4.339799950445368,4.813971634495657,4.368431569315759,2.893456697976826,6.288292046454311
Flaviviridae,0.0,0.0,2.607596861484667,2.5290651475142005,0.0,0.0,0.0,1.9918747050337111,0.0,2.3997141068769543,0.0,0.0,0.0
