virus_family,virus_type
Adenoviridae,DNA
Anelloviridae,DNA
Circoviridae,DNA
Geminiviridae,DNA
Genomoviridae,DNA
Herpesviridae,DNA
Mimiviridae,DNA
Papillomaviridae,DNA
Parvoviridae,DNA
Polyomaviridae,DNA
Poxviridae,DNA
Smacoviridae,DNA
Zobellviridae,DNA
Retroviridae,Reverse Transcribing Virus
Alphatetraviridae,RNA
Astroviridae,RNA
Botourmiaviridae,RNA
Caliciviridae,RNA
Carmotetraviridae,RNA
Chrysoviridae,RNA
Chuviridae,RNA
Coronaviridae,RNA
Deltaflexiviridae,RNA
Dicistroviridae,RNA
Flaviviridae,RNA
Hepeviridae,RNA
Iflaviridae,RNA
Luteoviridae,RNA
Narnaviridae,RNA
Nodaviridae,RNA
Paramyxoviridae,RNA
Partitiviridae,RNA
Permutotetraviridae,RNA
Phasmaviridae,RNA
Phenuiviridae,RNA
Picobirnaviridae,RNA
Picornaviridae,RNA
Polycipiviridae,RNA
Spinareoviridae,RNA
Rhabdoviridae,RNA
Solemoviridae,RNA
Solinviviridae,RNA
Tombusviridae,RNA
Tymoviridae,RNA
Virgaviridae,RNA
