virus_family,Aselliscus,Chaerephon,Cynopterus,Eonycteris,Hipposideros,Io,Kerivoula,Megaderma,Miniopterus,Myotis,Nyctalus,Pipistrellus,Rhinolophus,Rousettus,Scotophilus,Taphozous,Tylonycteris
Adenoviridae,4.53218020299677,3.5934822539112,0.0,4.44682635064826,3.6276413167657,0.0,5.99624519686294,3.7792663637001,3.42189097328508,3.78078175816465,3.10530549356937,2.91686049309097,4.53239169890495,4.43218663184442,2.31955970472532,3.22683521220877,3.20664174911649
Anelloviridae,4.6963767263441,0.0,3.86458097966432,2.92643856643306,3.58770471243537,0.0,0.0,0.0,3.21262219415363,3.19707173758956,0.0,2.98599086108704,3.99585677668084,3.68697364828632,0.0,3.11075113228938,2.66659709149591
Circoviridae,3.19553699001853,0.0,0.0,0.0,2.84716598021453,3.09158911305908,0.0,0.0,0.0,4.24421708447944,0.0,3.39420279858588,3.5817155998859,3.26013133684871,2.93904732720604,0.0,4.71436229033473
Genomoviridae,3.65323702994741,4.30040946380622,0.0,4.72560606064553,4.2532530452644,3.65966269514663,0.0,0.0,2.73016947261958,2.54310466739979,0.0,3.89538076044621,3.01731840450672,3.87059838559791,4.09132409393121,0.0,2.72449080734518
Herpesviridae,0.0,4.10373633863225,0.0,0.0,3.9040495467183,0.0,0.0,0.0,1.93521627224358,2.94438574478384,0.0,0.0,4.13813825745829,2.40252592420164,2.32728555536668,0.0,0.0
Papillomaviridae,5.14341558909712,4.28062817295926,0.0,0.0,3.66665734507608,3.69285428149456,0.0,0.0,0.0,2.73570910832849,0.0,0.0,3.69770108819626,0.0,4.20057310400723,2.80718944512437,3.23853217528072
Parvoviridae,4.41580240150082,4.69853127437689,0.0,4.39827928705241,5.10103490395362,5.0376753148074,0.0,5.06156042106353,4.93368238526442,5.15243096552442,0.0,4.81549082004433,5.08908829321652,4.19935371900381,4.78122487538768,5.80104862432502,4.86819765530901
Polyomaviridae,0.0,0.0,0.0,0.0,2.10914659432474,0.0,0.0,0.0,0.0,3.15975135640811,0.0,3.71149512134537,3.57142811598943,2.90757341007292,0.0,4.6927774680675,0.0
Poxviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33532686358431,0.0,0.0,0.0,0.0
Smacoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46924393140917,0.0,0.0,0.0,0.0
Retroviridae,0.0,3.95266347347236,0.0,3.10822251465631,4.15819605564495,4.16215594283998,0.0,0.0,0.0,3.83608395006266,0.0,1.89452785211859,4.0046147686401,3.65210364720741,2.64094631128295,0.0,0.0
Aliusviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26145609587591,0.0,0.0,0.0,0.0
Alphatetraviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64408897249918,0.0,0.0,1.56099131559405,1.6777412914493,0.0,0.0,0.0,0.0
Astroviridae,0.0,0.0,0.0,0.0,4.6205384901099,3.24623396507963,0.0,0.0,4.4845447656056,3.9829817100039,0.0,4.00347724002825,3.44158386497074,0.0,4.45105230279123,3.90163882399827,2.63759311514292
Birnaviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39363222494882,0.0,0.0,0.0,0.0
Botourmiaviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757419920525496,0.0,0.0,0.0,0.0
Caliciviridae,3.99124266873132,0.0,0.0,3.62107489788205,3.03575506128137,4.07246346703829,0.0,0.0,2.47607010306467,4.23283904799853,0.0,0.0,2.58440284588271,0.0,3.15415799599642,3.63566873050768,0.0
Carmotetraviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.30994624082826,0.0,0.0,0.0,1.0029145261254,0.0,0.0,0.0,3.63477168196751
Chrysoviridae,0.0,0.0,0.0,0.0,1.98040886293938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01915375808749,0.0,1.43822451113152,0.0,0.0
Chuviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43186819049316,0.0,1.88645985296599,1.61676582805903,0.0,1.67922112093103,0.0,2.04833818604728
Coronaviridae,4.82331074965407,4.18659860494073,0.0,4.974095118286,4.71059830855036,0.0,0.0,0.0,5.09044977648146,3.96869558221579,0.0,5.21884802186889,5.26746878634206,5.25228998649964,5.40842952019976,2.74073497902514,4.51707227832477
Dicistroviridae,3.17642537215287,3.71352926196167,4.38051225959452,2.96428049465644,4.53060313092717,3.97243516053089,0.0,0.0,3.27451530137015,3.77159463553478,3.11317743105085,4.6495640548206,4.19292110462966,3.03966004261307,4.51982736458651,3.23656521081509,4.78250301194938
Flaviviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30114749912875,0.0,0.0,3.28835378792624,0.0,3.80417816360724,0.0,0.0
Hepeviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65568088130439,2.65390617646349,0.0,4.47071033788164,2.74530714051337,0.0,1.54611297174816,0.0,2.88083840437611
Iflaviridae,4.64761448709897,4.70778676772562,4.00173810647814,0.0,4.25459704596258,3.82292146378888,0.0,0.0,5.03206419506551,3.66138299904542,4.0872192817445,4.78405169422665,4.38370854274572,2.72536578740962,4.98735861305493,4.92731278439714,4.48585963014325
Lispiviridae,0.0,0.0,0.0,0.0,2.24534209115671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.687521379495777,0.0,0.0,0.0,0.0
Luteoviridae,0.0,0.0,0.0,0.0,0.816634296233759,0.0,0.0,0.0,0.0,1.68836384864802,3.72326992286738,0.0,2.27309856198984,0.0,0.0,0.0,1.79744425516614
Narnaviridae,0.0,0.0,0.0,0.0,2.35515612821179,0.0,0.0,0.0,0.0,2.17726336625824,0.0,0.0,1.41838422382953,0.0,0.0,0.0,0.0
Nodaviridae,0.0,0.0,0.0,1.68155392502533,3.80957926254784,0.0,0.0,0.0,3.33925194927974,3.44094148990463,0.0,4.35721600821194,3.71683333423041,0.0,4.13732220649918,0.0,4.46859013369772
Paramyxoviridae,3.89859464578519,0.0,0.0,0.0,3.88192830979302,3.2934736415576,0.0,0.0,3.05983987746511,2.36492974357421,0.0,2.8182394827773,3.8346638207496,0.0,0.0,0.0,0.0
Partitiviridae,2.63745166247483,0.0,0.0,4.49084918033654,4.18716522607564,3.38681208330303,0.0,0.0,4.69918503078207,2.75822881988981,3.20845725102068,3.69221187775233,4.17683688986769,3.23122467436987,3.52480332023235,0.0,3.80435622778932
Permutotetraviridae,3.75766342541032,0.0,0.0,2.71966227244057,4.52760365942079,3.5137885725192,0.0,0.0,2.91003690579566,4.07005100158748,4.34664416271716,4.38383662998945,3.90208479532553,0.0,3.46381478796686,2.22205937264971,4.29212893504747
Picobirnaviridae,3.80716706626412,0.0,0.0,3.43464046542799,2.2156175941327,0.0,0.0,3.52566676421547,3.61864713072411,4.24153533027577,0.0,2.07081701098675,3.51843581221771,4.53494862397545,4.12659670891689,0.0,2.71129768706087
Picornaviridae,0.0,5.0992777141492,0.0,4.43639475693677,4.1629948834421,5.19529114960243,0.0,0.0,5.40515658122092,4.82042560270106,0.0,4.33992337319331,4.770023744497,4.89948952760454,4.89996913858274,4.86248421845233,4.55908293340711
Pneumoviridae,3.63000938528012,0.0,0.0,3.21814701322492,3.62737265464209,0.0,0.0,0.0,4.03300641593381,4.09389974446652,0.0,3.89699312512172,4.5939919665982,4.53291875690712,0.0,3.26629087095418,3.07543953506554
Polycipiviridae,4.61234365097559,0.0,0.0,0.0,4.29476639876994,3.55104639036044,0.0,0.0,0.0,2.84073784455114,0.0,3.72252092030996,3.8110139833461,0.0,3.37280474860038,0.0,5.03712529497652
Rhabdoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23184307260826,0.0,0.0,2.35650351290785,0.0,0.0,0.0,1.50813996359045
Solemoviridae,4.35647835831357,0.0,0.0,0.0,3.75026597341286,4.69217940185335,0.0,0.0,3.31613819557492,2.54174077906866,4.65048714195523,3.36756241747296,3.84812653306667,0.0,3.11368956109773,2.80176302695236,3.28305466038526
