virus_family,virus_type
Adenoviridae,DNA
Anelloviridae,DNA
Circoviridae,DNA
Genomoviridae,DNA
Herpesviridae,DNA
Papillomaviridae,DNA
Parvoviridae,DNA
Polyomaviridae,DNA
Poxviridae,DNA
Smacoviridae,DNA
Retroviridae,Reverse Transcribing Virus
Aliusviridae,RNA
Alphatetraviridae,RNA
Astroviridae,RNA
Birnaviridae,RNA
Botourmiaviridae,RNA
Caliciviridae,RNA
Carmotetraviridae,RNA
Chrysoviridae,RNA
Chuviridae,RNA
Coronaviridae,RNA
Dicistroviridae,RNA
Flaviviridae,RNA
Hepeviridae,RNA
Iflaviridae,RNA
Lispiviridae,RNA
Luteoviridae,RNA
Narnaviridae,RNA
Nodaviridae,RNA
Paramyxoviridae,RNA
Partitiviridae,RNA
Permutotetraviridae,RNA
Picobirnaviridae,RNA
Picornaviridae,RNA
Pneumoviridae,RNA
Polycipiviridae,RNA
Rhabdoviridae,RNA
Solemoviridae,RNA
Solinviviridae,RNA
Tombusviridae,RNA
Totiviridae,RNA
Tymoviridae,RNA
Virgaviridae,RNA
