SampleGroup1,SampleGroup2,Distance_km
IPB24A-10,IPB24A-11,0.000
IPB24A-10,IPB24A-12,0.000
IPB24A-10,IPB24A-13,19.073
IPB24A-10,IPB24A-14,13.657
IPB24A-10,IPB24A-15,13.657
IPB24A-10,IPB24A-17,20.644
IPB24A-10,IPB24A-18,19.073
IPB24A-10,IPB24A-19,19.073
IPB24A-10,IPB24A-2,17.354
IPB24A-10,IPB24A-20,12.829
IPB24A-10,IPB24A-21,12.829
IPB24A-10,IPB24A-27,1236.157
IPB24A-10,IPB24A-28,1080.621
IPB24A-10,IPB24A-31,1039.135
IPB24A-10,IPB24A-32,1039.135
IPB24A-10,IPB24A-33,1080.621
IPB24A-10,IPB24A-34,1080.621
IPB24A-10,IPB24A-35,1080.621
IPB24A-10,IPB24A-37,1177.516
IPB24A-10,IPB24A-39,1177.516
IPB24A-10,IPB24A-4,19.073
IPB24A-10,IPB24A-40,1053.004
IPB24A-10,IPB24A-43,1151.705
IPB24A-10,IPB24A-44,1234.386
IPB24A-10,IPB24A-45,1233.530
IPB24A-10,IPB24A-5,12.829
IPB24A-10,IPB24A-6,12.829
IPB24A-10,IPB24A-7,24.719
IPB24A-10,IPB24A-8,24.719
IPB24A-10,IPB24A-9,14.905
IPB24A-10,IPB24B-13,19.073
IPB24A-10,IPB24C-104,392.802
IPB24A-10,IPB24C-22,1361.200
IPB24A-10,IPB24C-28,1039.135
IPB24A-10,IPB24C-68,400.117
IPB24A-10,IPB24C-99,393.937
IPB24A-10,IPB24D-50,1231.626
IPB24A-10,IPB24E-170,2384.644
IPB24A-10,IPB24E-171,2417.246
IPB24A-10,IPB24E-172,2417.246
IPB24A-10,IPB24E-174,1654.693
IPB24A-10,IPB24E-175,2402.566
IPB24A-10,IPB24E-177,2402.566
IPB24A-10,IPB24E-179,2370.702
IPB24A-10,IPB24E-180,2393.711
IPB24A-10,IPB24E-181,2447.685
IPB24A-10,IPB24E-182,2167.245
IPB24A-10,IPB24E-183,2399.840
IPB24A-10,IPB24E-188,2524.509
IPB24A-10,IPB24E-189,2364.956
IPB24A-10,IPB24E-191,1914.807
IPB24A-10,IPB24E-192,2399.526
IPB24A-10,IPB24E-193,2384.644
IPB24A-10,IPB24E-194,2447.685
IPB24A-10,IPB24E-195,2167.245
IPB24A-10,IPB24E-196,2399.526
IPB24A-10,IPB24E-197,2399.526
IPB24A-10,IPB24E-198,2379.120
IPB24A-10,IPB24E-199,2402.566
IPB24A-10,IPB24E-200,2404.769
IPB24A-10,IPB24G-202,2417.246
IPB24A-10,IPB24G-203,2417.246
IPB24A-10,IPB24G-204,2417.246
IPB24A-10,IPB24G-206,2393.711
IPB24A-10,IPB24G-207,1774.511
IPB24A-10,IPB24G-209,1738.224
IPB24A-10,IPB24G-210,1744.100
IPB24A-10,IPB24G-211,1768.500
IPB24A-10,IPB24G-212,2018.832
IPB24A-10,IPB24G-213,1982.342
IPB24A-10,IPB24G-214,2004.986
IPB24A-10,IPB24G-215,1855.821
IPB24A-10,IPB24G-216,1884.672
IPB24A-10,IPB24G-217,1876.362
IPB24A-10,IPB24G-218,1668.671
IPB24A-10,IPB24G-219,1855.821
IPB24A-10,IPB24G-220,1768.500
IPB24A-10,IPB24G-221,1855.821
IPB24A-10,IPB24G-222,1738.224
IPB24A-10,IPB24G-223,1774.511
IPB24A-10,IPB24G-224,1855.821
IPB24A-10,IPB24G-225,2018.832
IPB24A-10,IPB24G-227,1768.500
IPB24A-10,IPB24G-228,2004.986
IPB24A-10,IPB24G-229,1644.244
IPB24A-10,IPB24G-230,1768.500
IPB24A-10,IPB24G-231,1774.511
IPB24A-10,IPB24G-232,1855.821
IPB24A-10,IPB24G-233,1855.821
IPB24A-10,IPB24G-234,1855.821
IPB24A-10,IPB24G-235,2018.832
IPB24A-10,IPB24G-236,2018.832
IPB24A-10,IPB24G-237,2018.832
IPB24A-10,IPB24G-238,1971.834
IPB24A-10,IPB24G-239,2004.986
IPB24A-10,IPB24G-240,1965.678
IPB24A-10,IPB24G-241,1876.999
IPB24A-10,IPB24H-133,1115.314
IPB24A-10,IPB4B-13,1288.540
IPB24A-10,IPB4B-15,1302.553
IPB24A-10,IPB4B-4,1085.636
IPB24A-10,IPB4B-6,1088.708
IPB24A-10,IPB4B-78,2404.769
IPB24A-10,IPB4B-79,2404.769
IPB24A-10,IPB4B-80,2404.769
IPB24A-10,IPB6D-12,1778.093
IPB24A-10,IPB6D-3,1736.736
IPB24A-10,IPB6D-5,1709.832
IPB24A-10,IPB6D-6,1736.736
IPB24A-10,IPB6D-7,1736.736
IPB24A-11,IPB24A-12,0.000
IPB24A-11,IPB24A-13,19.073
IPB24A-11,IPB24A-14,13.657
IPB24A-11,IPB24A-15,13.657
IPB24A-11,IPB24A-17,20.644
IPB24A-11,IPB24A-18,19.073
IPB24A-11,IPB24A-19,19.073
IPB24A-11,IPB24A-2,17.354
IPB24A-11,IPB24A-20,12.829
IPB24A-11,IPB24A-27,1236.157
IPB24A-11,IPB24A-31,1039.135
IPB24A-11,IPB24A-32,1039.135
IPB24A-11,IPB24A-33,1080.621
IPB24A-11,IPB24A-34,1080.621
IPB24A-11,IPB24A-35,1080.621
IPB24A-11,IPB24A-39,1177.516
IPB24A-11,IPB24A-4,19.073
IPB24A-11,IPB24A-43,1151.705
IPB24A-11,IPB24A-5,12.829
IPB24A-11,IPB24A-6,12.829
IPB24A-11,IPB24A-7,24.719
IPB24A-11,IPB24A-8,24.719
IPB24A-11,IPB24A-9,14.905
IPB24A-11,IPB24B-13,19.073
IPB24A-11,IPB24C-28,1039.135
IPB24A-11,IPB24D-50,1231.626
IPB24A-11,IPB24E-170,2384.644
IPB24A-11,IPB24E-171,2417.246
IPB24A-11,IPB24E-172,2417.246
IPB24A-11,IPB24E-174,1654.693
IPB24A-11,IPB24E-175,2402.566
IPB24A-11,IPB24E-177,2402.566
IPB24A-11,IPB24E-179,2370.702
IPB24A-11,IPB24E-180,2393.711
IPB24A-11,IPB24E-181,2447.685
IPB24A-11,IPB24E-182,2167.245
IPB24A-11,IPB24E-183,2399.840
IPB24A-11,IPB24E-188,2524.509
IPB24A-11,IPB24E-189,2364.956
IPB24A-11,IPB24E-191,1914.807
IPB24A-11,IPB24E-192,2399.526
IPB24A-11,IPB24E-193,2384.644
IPB24A-11,IPB24E-194,2447.685
IPB24A-11,IPB24E-195,2167.245
IPB24A-11,IPB24E-196,2399.526
IPB24A-11,IPB24E-197,2399.526
IPB24A-11,IPB24E-198,2379.120
IPB24A-11,IPB24E-199,2402.566
IPB24A-11,IPB24E-200,2404.769
IPB24A-11,IPB24G-202,2417.246
IPB24A-11,IPB24G-203,2417.246
IPB24A-11,IPB24G-204,2417.246
IPB24A-11,IPB24G-206,2393.711
IPB24A-11,IPB24G-207,1774.511
IPB24A-11,IPB24G-209,1738.224
IPB24A-11,IPB24G-210,1744.100
IPB24A-11,IPB24G-211,1768.500
IPB24A-11,IPB24G-212,2018.832
IPB24A-11,IPB24G-213,1982.342
IPB24A-11,IPB24G-214,2004.986
IPB24A-11,IPB24G-215,1855.821
IPB24A-11,IPB24G-216,1884.672
IPB24A-11,IPB24G-217,1876.362
IPB24A-11,IPB24G-218,1668.671
IPB24A-11,IPB24G-219,1855.821
IPB24A-11,IPB24G-220,1768.500
IPB24A-11,IPB24G-221,1855.821
IPB24A-11,IPB24G-222,1738.224
IPB24A-11,IPB24G-223,1774.511
IPB24A-11,IPB24G-224,1855.821
IPB24A-11,IPB24G-225,2018.832
IPB24A-11,IPB24G-227,1768.500
IPB24A-11,IPB24G-228,2004.986
IPB24A-11,IPB24G-229,1644.244
IPB24A-11,IPB24G-230,1768.500
IPB24A-11,IPB24G-231,1774.511
IPB24A-11,IPB24G-232,1855.821
IPB24A-11,IPB24G-233,1855.821
IPB24A-11,IPB24G-234,1855.821
IPB24A-11,IPB24G-235,2018.832
IPB24A-11,IPB24G-236,2018.832
IPB24A-11,IPB24G-237,2018.832
IPB24A-11,IPB24G-238,1971.834
IPB24A-11,IPB24G-239,2004.986
IPB24A-11,IPB24G-240,1965.678
IPB24A-11,IPB24G-241,1876.999
IPB24A-11,IPB24H-133,1115.314
IPB24A-11,IPB4B-78,2404.769
IPB24A-11,IPB4B-79,2404.769
IPB24A-11,IPB4B-80,2404.769
IPB24A-11,IPB6D-12,1778.093
IPB24A-11,IPB6D-3,1736.736
IPB24A-11,IPB6D-5,1709.832
IPB24A-11,IPB6D-6,1736.736
IPB24A-11,IPB6D-7,1736.736
IPB24A-12,IPB24A-13,19.073
IPB24A-12,IPB24A-14,13.657
IPB24A-12,IPB24A-15,13.657
IPB24A-12,IPB24A-17,20.644
IPB24A-12,IPB24A-18,19.073
IPB24A-12,IPB24A-19,19.073
IPB24A-12,IPB24A-2,17.354
IPB24A-12,IPB24A-20,12.829
IPB24A-12,IPB24A-21,12.829
IPB24A-12,IPB24A-27,1236.157
IPB24A-12,IPB24A-28,1080.621
IPB24A-12,IPB24A-29,1073.539
IPB24A-12,IPB24A-31,1039.135
IPB24A-12,IPB24A-32,1039.135
IPB24A-12,IPB24A-33,1080.621
IPB24A-12,IPB24A-34,1080.621
IPB24A-12,IPB24A-35,1080.621
IPB24A-12,IPB24A-36,875.774
IPB24A-12,IPB24A-4,19.073
IPB24A-12,IPB24A-42,1158.406
IPB24A-12,IPB24A-44,1234.386
IPB24A-12,IPB24A-5,12.829
IPB24A-12,IPB24A-6,12.829
IPB24A-12,IPB24A-7,24.719
IPB24A-12,IPB24A-8,24.719
IPB24A-12,IPB24A-9,14.905
IPB24A-12,IPB24B-13,19.073
IPB24A-12,IPB24C-28,1039.135
IPB24A-12,IPB24D-50,1231.626
IPB24A-12,IPB24E-170,2384.644
IPB24A-12,IPB24E-171,2417.246
IPB24A-12,IPB24E-172,2417.246
IPB24A-12,IPB24E-174,1654.693
IPB24A-12,IPB24E-175,2402.566
IPB24A-12,IPB24E-177,2402.566
IPB24A-12,IPB24E-179,2370.702
IPB24A-12,IPB24E-180,2393.711
