Cluster_ID,host
Cluster0,Aselliscus stoliczkanus
Cluster2,Aselliscus stoliczkanus
Cluster3,Aselliscus stoliczkanus
Cluster4,Aselliscus stoliczkanus
Cluster9,Aselliscus stoliczkanus
Cluster13,Aselliscus stoliczkanus
Cluster14,Aselliscus stoliczkanus
Cluster24,Aselliscus stoliczkanus
Cluster25,Aselliscus stoliczkanus
Cluster29,Aselliscus stoliczkanus
Cluster38,Aselliscus stoliczkanus
Cluster43,Aselliscus stoliczkanus
Cluster48,Aselliscus stoliczkanus
Cluster50,Aselliscus stoliczkanus
Cluster53,Aselliscus stoliczkanus
Cluster55,Aselliscus stoliczkanus
Cluster83,Aselliscus stoliczkanus
Cluster111,Aselliscus stoliczkanus
Cluster119,Aselliscus stoliczkanus
Cluster132,Aselliscus stoliczkanus
Cluster153,Aselliscus stoliczkanus
Cluster182,Aselliscus stoliczkanus
Cluster251,Aselliscus stoliczkanus
Cluster264,Aselliscus stoliczkanus
Cluster346,Aselliscus stoliczkanus
Cluster511,Aselliscus stoliczkanus
Cluster592,Aselliscus stoliczkanus
Cluster662,Aselliscus stoliczkanus
Cluster695,Aselliscus stoliczkanus
Cluster768,Aselliscus stoliczkanus
Cluster1008,Aselliscus stoliczkanus
Cluster1009,Aselliscus stoliczkanus
Cluster1040,Aselliscus stoliczkanus
Cluster1493,Aselliscus stoliczkanus
Cluster1520,Aselliscus stoliczkanus
Cluster1717,Aselliscus stoliczkanus
Cluster1878,Aselliscus stoliczkanus
Cluster2090,Aselliscus stoliczkanus
Cluster2201,Aselliscus stoliczkanus
Cluster2270,Aselliscus stoliczkanus
Cluster2463,Aselliscus stoliczkanus
Cluster2485,Aselliscus stoliczkanus
Cluster2517,Aselliscus stoliczkanus
Cluster2549,Aselliscus stoliczkanus
Cluster2600,Aselliscus stoliczkanus
Cluster2665,Aselliscus stoliczkanus
Cluster2777,Aselliscus stoliczkanus
Cluster2790,Aselliscus stoliczkanus
Cluster2855,Aselliscus stoliczkanus
Cluster2986,Aselliscus stoliczkanus
Cluster3199,Aselliscus stoliczkanus
Cluster3250,Aselliscus stoliczkanus
Cluster3320,Aselliscus stoliczkanus
Cluster3535,Aselliscus stoliczkanus
Cluster3550,Aselliscus stoliczkanus
Cluster3648,Aselliscus stoliczkanus
Cluster3675,Aselliscus stoliczkanus
Cluster3786,Aselliscus stoliczkanus
Cluster4062,Aselliscus stoliczkanus
Cluster4148,Aselliscus stoliczkanus
Cluster4377,Aselliscus stoliczkanus
Cluster4443,Aselliscus stoliczkanus
Cluster4493,Aselliscus stoliczkanus
Cluster4554,Aselliscus stoliczkanus
Cluster4640,Aselliscus stoliczkanus
Cluster4819,Aselliscus stoliczkanus
Cluster4820,Aselliscus stoliczkanus
Cluster4825,Aselliscus stoliczkanus
Cluster5029,Aselliscus stoliczkanus
Cluster5147,Aselliscus stoliczkanus
Cluster5412,Aselliscus stoliczkanus
Cluster5501,Aselliscus stoliczkanus
Cluster5568,Aselliscus stoliczkanus
