host,Miniopterus schreibersii,Cynopterus sphinx,Megaderma lyra,Rhinolophus luctus,Rhinolophus ferrumequinum,Rhinolophus pearsonii,Rhinolophus malayanus,Rhinolophus pusillus,Rhinolophus rex,Rhinolophus siamensis,Rhinolophus macrotis,Rhinolophus sinicus,Rhinolophus affinis,Aselliscus stoliczkanus,Hipposideros pomona,Hipposideros cineraceus,Hipposideros pratti,Hipposideros larvatus,Hipposideros armiger,Scotophilus heathii,Murina leucogaster,Murina huttoni,Eptesicus serotinus,Myotis formosus,Myotis horsfieldii,Myotis lucifugus,Myotis indochinensis,Myotis davidii,Myotis laniger,Myotis chinensis,Myotis daubentonii,Myotis fimbriatus,Myotis ricketti,Hypsugo pulveratus,Tylonycteris robustula,Tylonycteris fulvida,Tylonycteris pachypus,Nyctalus plancyi,Pipistrellus abramus,Pipistrellus tenuis
Miniopterus schreibersii,100,79.04,77.28,79.21,77.89,78.77,79.3,79.74,78.33,79.04,78.77,78.68,77.98,77.72,78.6,79.12,79.39,79.39,80.09,76.67,76.05,75.7,76.4,76.84,78.6,76.75,77.72,77.89,78.16,78.42,79.56,78.42,78.51,77.37,77.37,76.32,76.67,75.09,78.25,78.75
Cynopterus sphinx,79.04,100,80,80.7,80.7,81.67,82.11,81.49,81.58,81.23,81.93,80.53,79.91,80.09,82.02,83.51,82.46,82.28,81.75,76.84,78.25,77.02,75.7,78.51,78.16,78.07,77.54,78.07,78.25,79.39,79.39,78.07,78.51,77.28,77.98,77.89,77.89,76.67,77.54,78.17
Megaderma lyra,77.28,80,100,81.23,80.61,81.75,81.84,82.46,83.16,82.89,82.37,81.93,81.75,80.61,79.91,80.96,81.32,81.32,80.18,76.58,78.68,75.7,77.46,76.4,78.07,78.16,77.81,79.39,78.6,78.07,78.33,78.68,78.25,75.7,76.84,77.46,77.81,76.14,76.93,79.14
Rhinolophus luctus,79.21,80.7,81.23,100,88.07,88.25,88.07,87.81,89.12,89.47,89.3,89.47,87.98,83.68,83.86,84.04,82.54,83.07,83.16,77.72,78.68,77.19,78.07,79.47,79.82,77.63,77.02,79.56,79.65,79.47,78.86,79.56,79.91,76.67,77.54,78.07,77.81,76.05,76.93,78.07
Rhinolophus ferrumequinum,77.89,80.7,80.61,88.07,100,88.6,87.98,88.07,89.65,89.04,89.39,88.6,89.12,82.98,82.11,82.81,83.42,83.95,82.89,76.23,78.51,76.4,76.93,78.42,79.04,77.89,77.37,79.3,79.74,77.19,78.25,78.68,78.51,76.84,77.02,76.58,77.46,75.44,75.35,77.1
Rhinolophus pearsonii,78.77,81.67,81.75,88.25,88.6,100,88.25,89.56,90.18,90,90.09,88.95,89.12,82.28,82.72,83.68,83.42,83.6,83.25,77.11,77.72,75.88,76.49,78.51,79.74,77.19,77.81,79.56,80.26,79.3,78.25,79.12,79.21,76.49,77.28,77.54,77.89,76.23,77.54,78.65
Rhinolophus malayanus,79.3,82.11,81.84,88.07,87.98,88.25,100,90.35,90.96,91.32,90.7,89.56,89.47,83.25,83.07,84.21,83.68,83.95,83.25,76.75,78.6,76.23,77.02,77.98,79.21,77.19,77.63,78.6,78.95,79.04,78.68,79.04,79.56,77.02,77.02,77.37,77.72,76.05,77.11,78.36
Rhinolophus pusillus,79.74,81.49,82.46,87.81,88.07,89.56,90.35,100,92.37,92.63,92.02,90.18,89.56,83.16,83.33,83.95,84.47,83.42,82.98,77.11,78.07,75.7,76.93,78.77,78.6,77.81,76.75,79.82,79.65,79.04,79.65,79.74,79.39,76.4,77.02,78.6,77.98,76.4,77.72,78.95
Rhinolophus rex,78.33,81.58,83.16,89.12,89.65,90.18,90.96,92.37,100,96.32,96.93,90.35,90,83.51,83.42,83.42,83.77,84.04,82.98,77.28,78.51,76.58,77.46,79.04,79.65,78.16,77.11,79.65,79.56,79.74,79.47,79.91,79.91,76.58,77.46,77.81,77.89,76.84,77.54,78.65
Rhinolophus siamensis,79.04,81.23,82.89,89.47,89.04,90,91.32,92.63,96.32,100,97.28,90,89.3,83.51,83.25,84.04,83.68,84.04,83.25,77.37,77.63,76.93,77.54,79.21,80.09,78.16,77.19,80.7,79.74,79.39,79.74,80.61,80.26,77.19,77.98,78.16,78.16,76.67,77.72,78.07
Rhinolophus macrotis,78.77,81.93,82.37,89.3,89.39,90.09,90.7,92.02,96.93,97.28,100,89.91,89.47,82.89,83.07,83.68,83.51,83.95,83.25,77.37,78.25,77.72,77.37,78.95,79.39,78.07,77.11,79.74,79.56,79.56,79.21,80.44,80.44,77.37,77.81,78.07,78.33,77.11,78.07,78.46
Rhinolophus sinicus,78.68,80.53,81.93,89.47,88.6,88.95,89.56,90.18,90.35,90,89.91,100,91.23,83.86,84.04,83.6,83.68,85.53,84.91,76.84,78.25,75.26,76.84,78.25,78.95,77.02,77.37,79.04,78.77,78.07,78.42,79.12,78.86,77.02,77.02,77.28,77.11,75.7,77.63,79.04
Rhinolophus affinis,77.98,79.91,81.75,87.98,89.12,89.12,89.47,89.56,90,89.3,89.47,91.23,100,82.98,83.42,82.98,82.89,84.82,83.86,75.53,78.42,76.05,76.67,78.16,78.33,77.19,76.75,78.42,79.04,78.6,78.6,78.77,78.77,76.75,76.67,78.16,78.07,74.91,76.4,77.97
Aselliscus stoliczkanus,77.72,80.09,80.61,83.68,82.98,82.28,83.25,83.16,83.51,83.51,82.89,83.86,82.98,100,83.77,83.68,84.82,85.35,83.77,75.44,76.84,75.88,76.23,77.54,78.6,78.33,76.93,77.37,77.54,76.84,77.54,77.28,77.37,76.14,75.44,76.49,76.67,74.82,76.23,78.56
Hipposideros pomona,78.6,82.02,79.91,83.86,82.11,82.72,83.07,83.33,83.42,83.25,83.07,84.04,83.42,83.77,100,91.23,86.32,86.75,86.23,76.4,77.19,75.88,76.58,78.42,78.86,77.63,77.02,78.6,78.68,78.77,79.39,78.33,79.12,76.4,75.26,76.23,75.79,76.05,78.16,79.53
Hipposideros cineraceus,79.12,83.51,80.96,84.04,82.81,83.68,84.21,83.95,83.42,84.04,83.68,83.6,82.98,83.68,91.23,100,87.63,87.72,87.54,77.11,77.19,76.14,76.75,78.16,79.04,78.25,76.49,79.21,79.04,78.86,79.47,78.07,79.21,75.88,75.44,76.14,76.23,76.75,78.77,79.53
Hipposideros pratti,79.39,82.46,81.32,82.54,83.42,83.42,83.68,84.47,83.77,83.68,83.51,83.68,82.89,84.82,86.32,87.63,100,89.65,88.86,77.98,78.16,76.14,77.63,78.86,79.56,80,78.51,79.65,79.91,78.51,78.95,79.12,79.91,77.19,77.81,76.67,76.49,77.46,78.07,79.92
Hipposideros larvatus,79.39,82.28,81.32,83.07,83.95,83.6,83.95,83.42,84.04,84.04,83.95,85.53,84.82,85.35,86.75,87.72,89.65,100,92.11,77.11,76.84,76.05,76.58,78.6,78.86,78.6,78.25,79.47,79.12,79.12,78.95,79.3,79.39,76.32,77.98,77.63,77.54,76.14,77.98,80.7
Hipposideros armiger,80.09,81.75,80.18,83.16,82.89,83.25,83.25,82.98,82.98,83.25,83.25,84.91,83.86,83.77,86.23,87.54,88.86,92.11,100,77.19,77.19,76.23,76.4,78.6,78.42,78.42,76.14,77.63,77.72,78.33,78.33,78.68,78.25,76.58,77.19,76.4,76.49,75.35,79.39,80.41
Scotophilus heathii,76.67,76.84,76.58,77.72,76.23,77.11,76.75,77.11,77.28,77.37,77.37,76.84,75.53,75.44,76.4,77.11,77.98,77.11,77.19,100,78.86,78.86,78.51,77.46,77.46,78.95,78.95,78.86,79.12,78.95,79.12,78.77,79.3,77.46,78.33,77.46,78.25,75.79,77.72,77.1
Murina leucogaster,76.05,78.25,78.68,78.68,78.51,77.72,78.6,78.07,78.51,77.63,78.25,78.25,78.42,76.84,77.19,77.19,78.16,76.84,77.19,78.86,100,83.68,80.26,81.67,81.14,81.49,81.93,81.23,81.4,81.84,83.16,81.23,81.32,80.35,79.56,79.47,78.95,78.25,78.51,81.19
Murina huttoni,75.7,77.02,75.7,77.19,76.4,75.88,76.23,75.7,76.58,76.93,77.72,75.26,76.05,75.88,75.88,76.14,76.14,76.05,76.23,78.86,83.68,100,79.74,80.53,79.74,82.98,80.44,78.68,80.61,81.14,80.09,82.02,81.75,80.7,80.35,79.3,79.3,77.54,78.95,79.04
Eptesicus serotinus,76.4,75.7,77.46,78.07,76.93,76.49,77.02,76.93,77.46,77.54,77.37,76.84,76.67,76.23,76.58,76.75,77.63,76.58,76.4,78.51,80.26,79.74,100,82.37,81.4,82.89,80.35,81.75,81.67,81.14,82.19,81.67,82.72,81.84,80.26,80,80.26,79.74,80.09,79.92
Myotis formosus,76.84,78.51,76.4,79.47,78.42,78.51,77.98,78.77,79.04,79.21,78.95,78.25,78.16,77.54,78.42,78.16,78.86,78.6,78.6,77.46,81.67,80.53,82.37,100,83.42,84.04,83.95,81.75,83.07,83.33,83.07,82.46,83.6,79.65,79.3,80.61,80.7,78.95,79.65,80.02
Myotis horsfieldii,78.6,78.16,78.07,79.82,79.04,79.74,79.21,78.6,79.65,80.09,79.39,78.95,78.33,78.6,78.86,79.04,79.56,78.86,78.42,77.46,81.14,79.74,81.4,83.42,100,83.42,85.09,84.39,84.21,84.12,84.91,84.04,85.26,79.12,79.3,78.6,79.56,78.42,79.65,80.21
Myotis lucifugus,76.75,78.07,78.16,77.63,77.89,77.19,77.19,77.81,78.16,78.16,78.07,77.02,77.19,78.33,77.63,78.25,80,78.6,78.42,78.95,81.49,82.98,82.89,84.04,83.42,100,84.04,84.82,84.65,85.09,84.74,85.26,85.7,82.19,80.09,80.61,80,81.4,81.58,81.19
Myotis indochinensis,77.72,77.54,77.81,77.02,77.37,77.81,77.63,76.75,77.11,77.19,77.11,77.37,76.75,76.93,77.02,76.49,78.51,78.25,76.14,78.95,81.93,80.44,80.35,83.95,85.09,84.04,100,85.26,86.23,84.82,85.35,85.44,85.79,80.61,80.26,79.82,80.53,78.33,80.53,80.8
Myotis davidii,77.89,78.07,79.39,79.56,79.3,79.56,78.6,79.82,79.65,80.7,79.74,79.04,78.42,77.37,78.6,79.21,79.65,79.47,77.63,78.86,81.23,78.68,81.75,81.75,84.39,84.82,85.26,100,92.54,84.82,87.19,85.79,86.75,80.35,78.95,80.26,80.26,78.16,80.7,80.6
Myotis laniger,78.16,78.25,78.6,79.65,79.74,80.26,78.95,79.65,79.56,79.74,79.56,78.77,79.04,77.54,78.68,79.04,79.91,79.12,77.72,79.12,81.4,80.61,81.67,83.07,84.21,84.65,86.23,92.54,100,85,86.58,85,86.58,80.53,80.18,80.96,81.32,78.07,79.74,80.31
Myotis chinensis,78.42,79.39,78.07,79.47,77.19,79.3,79.04,79.04,79.74,79.39,79.56,78.07,78.6,76.84,78.77,78.86,78.51,79.12,78.33,78.95,81.84,81.14,81.14,83.33,84.12,85.09,84.82,84.82,85,100,86.23,85.88,86.75,79.3,79.91,79.3,78.51,80.26,82.19,81.68
Myotis daubentonii,79.56,79.39,78.33,78.86,78.25,78.25,78.68,79.65,79.47,79.74,79.21,78.42,78.6,77.54,79.39,79.47,78.95,78.95,78.33,79.12,83.16,80.09,82.19,83.07,84.91,84.74,85.35,87.19,86.58,86.23,100,89.3,89.74,80.79,81.58,81.4,80.88,79.74,81.93,80.99
Myotis fimbriatus,78.42,78.07,78.68,79.56,78.68,79.12,79.04,79.74,79.91,80.61,80.44,79.12,78.77,77.28,78.33,78.07,79.12,79.3,78.68,78.77,81.23,82.02,81.67,82.46,84.04,85.26,85.44,85.79,85,85.88,89.3,100,91.14,80.44,80.96,81.4,81.05,79.82,82.02,81.48
Myotis ricketti,78.51,78.51,78.25,79.91,78.51,79.21,79.56,79.39,79.91,80.26,80.44,78.86,78.77,77.37,79.12,79.21,79.91,79.39,78.25,79.3,81.32,81.75,82.72,83.6,85.26,85.7,85.79,86.75,86.58,86.75,89.74,91.14,100,80.09,81.14,81.23,80.53,81.05,82.72,80.99
Hypsugo pulveratus,77.37,77.28,75.7,76.67,76.84,76.49,77.02,76.4,76.58,77.19,77.37,77.02,76.75,76.14,76.4,75.88,77.19,76.32,76.58,77.46,80.35,80.7,81.84,79.65,79.12,82.19,80.61,80.35,80.53,79.3,80.79,80.44,80.09,100,81.4,81.93,82.81,80.18,80.53,81.77
Tylonycteris robustula,77.37,77.98,76.84,77.54,77.02,77.28,77.02,77.02,77.46,77.98,77.81,77.02,76.67,75.44,75.26,75.44,77.81,77.98,77.19,78.33,79.56,80.35,80.26,79.3,79.3,80.09,80.26,78.95,80.18,79.91,81.58,80.96,81.14,81.4,100,86.23,86.05,79.39,81.05,80.21
Tylonycteris fulvida,76.32,77.89,77.46,78.07,76.58,77.54,77.37,78.6,77.81,78.16,78.07,77.28,78.16,76.49,76.23,76.14,76.67,77.63,76.4,77.46,79.47,79.3,80,80.61,78.6,80.61,79.82,80.26,80.96,79.3,81.4,81.4,81.23,81.93,86.23,100,96.84,80.26,80.7,79.53
Tylonycteris pachypus,76.67,77.89,77.81,77.81,77.46,77.89,77.72,77.98,77.89,78.16,78.33,77.11,78.07,76.67,75.79,76.23,76.49,77.54,76.49,78.25,78.95,79.3,80.26,80.7,79.56,80,80.53,80.26,81.32,78.51,80.88,81.05,80.53,82.81,86.05,96.84,100,79.82,80.44,79.14
Nyctalus plancyi,75.09,76.67,76.14,76.05,75.44,76.23,76.05,76.4,76.84,76.67,77.11,75.7,74.91,74.82,76.05,76.75,77.46,76.14,75.35,75.79,78.25,77.54,79.74,78.95,78.42,81.4,78.33,78.16,78.07,80.26,79.74,79.82,81.05,80.18,79.39,80.26,79.82,100,82.02,81.38
Pipistrellus abramus,78.25,77.54,76.93,76.93,75.35,77.54,77.11,77.72,77.54,77.72,78.07,77.63,76.4,76.23,78.16,78.77,78.07,77.98,79.39,77.72,78.51,78.95,80.09,79.65,79.65,81.58,80.53,80.7,79.74,82.19,81.93,82.02,82.72,80.53,81.05,80.7,80.44,82.02,100,85.96
Pipistrellus tenuis,78.75,78.17,79.14,78.07,77.1,78.65,78.36,78.95,78.65,78.07,78.46,79.04,77.97,78.56,79.53,79.53,79.92,80.7,80.41,77.1,81.19,79.04,79.92,80.02,80.21,81.19,80.8,80.6,80.31,81.68,80.99,81.48,80.99,81.77,80.21,79.53,79.14,81.38,85.96,100
