host,family,genus
Rhinolophus sinicus,Rhinolophidae,Rhinolophus
Rhinolophus pusillus,Rhinolophidae,Rhinolophus
Rhinolophus affinis,Rhinolophidae,Rhinolophus
Myotis formosus,Vespertilionidae,Myotis
Rhinolophus pearsonii,Rhinolophidae,Rhinolophus
Miniopterus schreibersii,Vespertilionidae,Miniopterus
Hipposideros pomona,Hipposideridae,Hipposideros
Myotis daubentonii,Vespertilionidae,Myotis
Rhinolophus rex,Rhinolophidae,Rhinolophus
Rhinolophus siamensis,Rhinolophidae,Rhinolophus
Aselliscus stoliczkanus,Hipposideridae,Aselliscus
Myotis lucifugus,Vespertilionidae,Myotis
Rhinolophus ferrumequinum,Rhinolophidae,Rhinolophus
Hipposideros pratti,Hipposideridae,Hipposideros
Rhinolophus macrotis,Rhinolophidae,Rhinolophus
Murina leucogaster,Vespertilionidae,Murina
Myotis spp.,Vespertilionidae,Myotis
Hipposideros larvatus,Hipposideridae,Hipposideros
Pipistrellus abramus,Vespertilionidae,Pipistrellus
Myotis fimbriatus,Vespertilionidae,Myotis
Eptesicus serotinus,Vespertilionidae,Eptesicus
Nyctalus plancyi,Vespertilionidae,Nyctalus
Pipistrellus tenuis,Vespertilionidae,Pipistrellus
Hypsugo pulveratus,Vespertilionidae,Hypsugo
Tylonycteris fulvida,Vespertilionidae,Tylonycteris
Hipposideros cineraceus,Hipposideridae,Hipposideros
Tylonycteris pachypus,Vespertilionidae,Tylonycteris
Myotis horsfieldii,Vespertilionidae,Myotis
Cynopterus sphinx,Pteropodidae,Cynopterus
Scotophilus heathii,Vespertilionidae,Scotophilus
Murina huttoni,Vespertilionidae,Murina
Myotis ricketti,Vespertilionidae,Myotis
Megaderma lyra,Megadermatidae,Megaderma
Myotis chinensis,Vespertilionidae,Myotis
Tylonycteris robustula,Vespertilionidae,Tylonycteris
Myotis davidii,Vespertilionidae,Myotis
Myotis indochinensis,Vespertilionidae,Myotis
Hipposideros armiger,Hipposideridae,Hipposideros
Rhinolophus luctus,Rhinolophidae,Rhinolophus
Rhinolophus malayanus,Rhinolophidae,Rhinolophus
Myotis laniger,Vespertilionidae,Myotis
