Sample group,Shannon index,Season,Year,latitude,longitude,SampleSize (log10),Terrain,Host genus,Bio2,Bio4,Bio5,Bio8,Bio17,Bio18,HFT,GMR,CHEQ,NDVI,FVC,PSD,GR,GLH,landuseName Forest land closed canopy,landuseName High coverage grassland,landuseName Low coverage grassland,landuseName Medium coverage grassland,landuseName Other construction land,landuseName Other forest land,landuseName Paddy field,landuseName Reservoirs and ponds,landuseName Rivers and canals,landuseName Rural residential area,landuseName Shrubland,landuseName Sparse woodland,landuseName Urban built up area
IPB24A-10,4.973499308,Autumn,2023,29.99,122.31,1.301029996,Mountain,Rhinolophus,-1.276740552,0.6250164897917531,0.0628970591731694,0.7261689056690863,1.6501513921402924,-1.22990748,0.8002768145137207,-2.15503564,-0.017421365,0.7130464014207734,0.6681644173638885,0.0641445798296154,-0.104894138,2.2772381437559943,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24A-11,5.429197334,Autumn,2023,29.99,122.31,1.301029996,Mountain,Rhinolophus,-1.276740552,0.6250164897917531,0.0628970591731694,0.7261689056690863,1.6501513921402924,-1.22990748,0.8002768145137207,-2.15503564,-0.017421365,0.7130464014207734,0.6681644173638885,0.0641445798296154,-0.104894138,2.2772381437559943,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24A-12,5.965269974,Autumn,2023,29.99,122.31,1.301029996,Mountain,Rhinolophus,-1.276740552,0.6250164897917531,0.0628970591731694,0.7261689056690863,1.6501513921402924,-1.22990748,0.8002768145137207,-2.15503564,-0.017421365,0.7130464014207734,0.6681644173638885,0.0641445798296154,-0.104894138,2.2772381437559943,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24A-13,5.088629625,Autumn,2023,30.07,122.14,0.954242509,Mountain,Myotis,-1.113633909,0.693937257137878,0.0628970591731694,0.6436492313083649,1.5506194340587531,-1.13257367,-0.095047366,-2.118814659,0.5421632141119818,0.550586904426815,-0.472480453,-0.003874903,-0.340383968,1.9577364013027536,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-14,4.496898555,Autumn,2023,30.07,122.2,1.361727836,Mountain,Rhinolophus,-1.233565193,0.6817302935160424,0.0967207645124681,0.7198211505203334,1.575502423579138,-1.218456443,0.6431705490339672,-2.118814659,0.7976548447481313,0.7259569809015753,-0.472480453,-0.089952657,-0.240456481,2.0097554298865927,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-15,4.93418372,Autumn,2023,30.07,122.2,1.342422681,Mountain,Rhinolophus,-1.233565193,0.6817302935160424,0.0967207645124681,0.7198211505203334,1.575502423579138,-1.218456443,0.6431705490339672,-2.118814659,0.7976548447481313,0.7259569809015753,-0.472480453,-0.089952657,-0.240456481,2.0097554298865927,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-17,3.87314068,Autumn,2023,30.08,122.13,1.255272505,Mountain,Rhinolophus,-1.16160655,0.6889111667436535,0.0628970591731694,0.6309544827262407,1.575502423579138,-1.172652297,-0.03300026,-2.118814659,1.1760814388668055,1.1292263596092131,-1.042802888,-0.056243886,-0.334387484,1.913002176044612,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-18,4.418295834,Autumn,2023,30.07,122.14,1.176091259,Mountain,Rhinolophus,-1.113633909,0.693937257137878,0.0628970591731694,0.6436492313083649,1.5506194340587531,-1.13257367,-0.095047366,-2.118814659,0.5421632141119818,0.550586904426815,-0.472480453,-0.003874903,-0.340383968,1.9577364013027536,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-19,4.235926351,Autumn,2023,30.07,122.14,1.176091259,Mountain,Rhinolophus,-1.113633909,0.693937257137878,0.0628970591731694,0.6436492313083649,1.5506194340587531,-1.13257367,-0.095047366,-2.118814659,0.5421632141119818,0.550586904426815,-0.472480453,-0.003874903,-0.340383968,1.9577364013027536,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-2,6.963676637,Autumn,2023,30.06,122.15,1.204119983,Mountain,Rhinolophus,-1.104039807,0.7043693084562249,0.1981918805303666,0.8086878183144248,1.6252684026199076,-1.155475743,0.7894093522464357,-2.118814659,0.1467047065377026,1.1292263596092131,-0.472480453,0.0370571749942819,-0.322702926,1.9847245531975408,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-20,3.9677201,Autumn,2023,30.04,122.2,1.230448921,Mountain,Rhinolophus,-1.166403773,0.6698077944398105,-0.038574057,0.5611303186630264,1.6003854130995228,-1.161201261,0.1704873889787474,-2.118814659,1.3475967105255102,1.1292263596092131,-0.472480453,-0.089952657,-0.267411526,2.0529176930006843,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-21,4.548688113,Autumn,2023,30.04,122.2,1.204119983,Mountain,Rhinolophus,-1.166403773,0.6698077944398105,-0.038574057,0.5611303186630264,1.6003854130995228,-1.161201261,0.1704873889787474,-2.118814659,1.3475967105255102,1.1292263596092131,-0.472480453,-0.089952657,-0.267411526,2.0529176930006843,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-27,5.112199975,Summer,2023,22.83,112.8,0.903089987,Mountain,Nyctalus,-0.926541666,-0.477017003,0.8070185766377551,1.2784125587375912,0.4806508846822064,1.0717508532435154,0.5407758536354896,-0.199102704,-0.939183708,-0.421819772,0.0978419822088243,-0.177234294,-0.286848288,-0.753743528,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-28,3.98418372,Spring,2023,23.31,114.4,0.903089987,Mountain,Rhinolophus,-0.811407951,-0.538120153,0.0967207645124681,0.4849587803087501,0.3811189266006672,1.2778695099334458,-1.193539362,-0.162881724,2.303005648513916,0.6315702324754636,-0.472480453,-0.234418816,-0.73478814,-0.787158327,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-29,4.31990258,Summer,2023,23.34,114.46,1.041392685,Mountain,Hypsugo,-0.581139945,-0.458739589,0.7731948712984577,1.1768499997883004,0.3562359370802824,0.991593597864098,0.275074555494835,-0.235323684,-0.013253108,1.1292263596092131,-1.042802888,-0.224185796,-0.802749658,-0.930395108,0,0,0,1,0,0,0,0,0,0,0,0,0
IPB24A-31,7.88514817,Summer,2023,23.12,115.21,1.230448921,Mountain,Myotis,-0.955324893,-0.620099163,0.2996629965482651,1.202241020383315,0.0825230523560495,0.7740239046913936,-0.607862012,-0.271544665,-0.004192581,1.1292263596092131,0.0978419822088243,-0.262108163,0.3872524127010757,0.3751331838850514,0,0,0,0,0,0,1,0,0,0,0,0,0
IPB24A-32,8.288572784,Summer,2023,23.12,115.21,1.230448921,Mountain,Myotis,-0.955324893,-0.620099163,0.2996629965482651,1.202241020383315,0.0825230523560495,0.7740239046913936,-0.607862012,-0.271544665,-0.004192581,1.1292263596092131,0.0978419822088243,-0.262108163,0.3872524127010757,0.3751331838850514,0,0,0,0,0,0,1,0,0,0,0,0,0
IPB24A-33,4.664497779,Spring,2023,23.31,114.4,1.230448921,Mountain,Rhinolophus,-0.811407951,-0.538120153,0.0967207645124681,0.4849587803087501,0.3811189266006672,1.2778695099334458,-1.193539362,-0.162881724,2.303005648513916,0.6315702324754636,-0.472480453,-0.234418816,-0.73478814,-0.787158327,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-34,5.56385619,Spring,2023,23.31,114.4,1.230448921,Mountain,Rhinolophus,-0.811407951,-0.538120153,0.0967207645124681,0.4849587803087501,0.3811189266006672,1.2778695099334458,-1.193539362,-0.162881724,2.303005648513916,0.6315702324754636,-0.472480453,-0.234418816,-0.73478814,-0.787158327,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-35,4.639279277,Spring,2023,23.31,114.4,1.230448921,Mountain,Rhinolophus,-0.811407951,-0.538120153,0.0967207645124681,0.4849587803087501,0.3811189266006672,1.2778695099334458,-1.193539362,-0.162881724,2.303005648513916,0.6315702324754636,-0.472480453,-0.234418816,-0.73478814,-0.787158327,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-36,6.88155701,Spring,2023,24.56,115.88,1.146128036,Hill,Tylonycteris,0.1720264262644138,-0.201687194,0.9423133979949548,-0.079980002,0.6797148008452849,-0.388256298,0.5041547154900823,-0.090439763,-0.412900714,-0.609792068,0.0978419822088243,-0.349991743,-0.156508041,-0.347228997,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-37,4.412087069,Spring,2023,24.43,112.18,1,Mountain,Rhinolophus,-0.657896043,-0.035734673,-0.681224458,-1.603410769,0.9036617065287482,0.0010789421041542,-1.674086022,0.1268861184942017,1.984039451068981,0.5442145436556646,-0.472480453,-0.380690802,0.8033792209302779,1.5094939583321838,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-38,4.413607347,Spring,2023,24.43,112.18,0.477121255,Mountain,Rhinolophus,-0.657896043,-0.035734673,-0.681224458,-1.603410769,0.9036617065287482,0.0010789421041542,-1.674086022,0.1268861184942017,1.984039451068981,0.5442145436556646,-0.472480453,-0.380690802,0.8033792209302779,1.5094939583321838,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-39,6.003666985,Spring,2023,24.43,112.18,1.322219295,Mountain,Rhinolophus,-0.657896043,-0.035734673,-0.681224458,-1.603410769,0.9036617065287482,0.0010789421041542,-1.674086022,0.1268861184942017,1.984039451068981,0.5442145436556646,-0.472480453,-0.380690802,0.8033792209302779,1.5094939583321838,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-4,5.709067383,Autumn,2023,30.07,122.14,1.113943352,Mountain,Rhinolophus,-1.113633909,0.693937257137878,0.0628970591731694,0.6436492313083649,1.5506194340587531,-1.13257367,-0.095047366,-2.118814659,0.5421632141119818,0.550586904426815,-0.472480453,-0.003874903,-0.340383968,1.9577364013027536,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-40,4.953263142,Spring,2023,25.3,113.02,1.342422681,Hill,Nyctalus,-0.168577437,0.467315812687644,1.111431924691452,-0.314842372,0.4806508846822064,-0.766140502,0.9814702959753632,0.2717700396370355,-0.814425672,-0.182918182,0.0978419822088243,-0.349991743,-0.78242686,0.7105167124597898,0,0,0,0,0,0,1,0,0,0,0,0,0
IPB24A-41,8.385041728,Spring,2023,25.05,113.77,1.204119983,Mesa,Hipposideros,-0.25492781,0.2561855152634669,1.077608219352152,-0.130760901,0.5055338742025912,-0.594374955,0.1989760030551248,0.0906651382084933,-0.073020062,0.3502599411265576,0.0978419822088243,-0.382496629,-0.360503207,-0.882780636,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-42,4.542543824,Summer,2023,22.55,114.15,0.77815125,Mountain,Cynopterus,-1.185592553,-0.723417346,0.6717237552805579,1.6656176248000365,-0.265838801,2.3027372751417112,0.5445239605200618,-0.235323684,-0.744286809,-0.304911841,1.8088092876740167,10.53493140451018,-0.74557136,0.1210433487441922,0,0,0,0,0,0,0,0,0,1,0,0,0
IPB24A-43,4.680813428,Summer,2023,22.56,114.23,1.041392685,Mountain,Rhinolophus,-1.382279359,-0.714566043,0.5026052285840609,1.5132745480914835,-0.191189832,2.314188311624485,0.5445239605200618,-0.452649566,-0.752696772,-0.006916981,1.8088092876740167,1.9090978202806608,-0.623697099,0.1295461744705755,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-44,4.889680181,Summer,2023,23.15,112.52,0.301029996,Mountain,Rhinolophus,-0.80181333,-0.449778853,0.5026052285840609,0.8848593566687011,0.4557678951618216,0.7339452770016849,-0.413655084,-0.235323684,1.8758970990854773,0.8971065284450117,-0.472480453,-0.237428527,-0.793917687,-0.906703713,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-45,5.882643049,Summer,2023,23.13,112.55,1.322219295,Plain,Myotis,-0.811407951,-0.452266113,0.7055474606198578,1.1070265974404692,0.4806508846822064,0.6938666493119762,0.9323726070668464,-0.199102704,-0.339857552,-0.344661157,-0.472480453,-0.141719697,-0.771591042,-0.980810757,0,0,0,0,0,0,1,0,0,0,0,0,0
IPB24A-5,5.559733603,Autumn,2023,30.04,122.2,1.380211242,Mountain,Rhinolophus,-1.166403773,0.6698077944398105,-0.038574057,0.5611303186630264,1.6003854130995228,-1.161201261,0.1704873889787474,-2.118814659,1.3475967105255102,1.1292263596092131,-0.472480453,-0.089952657,-0.267411526,2.0529176930006843,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-6,5.261098725,Autumn,2023,30.04,122.2,1.380211242,Mountain,Rhinolophus,-1.166403773,0.6698077944398105,-0.038574057,0.5611303186630264,1.6003854130995228,-1.161201261,0.1704873889787474,-2.118814659,1.3475967105255102,1.1292263596092131,-0.472480453,-0.089952657,-0.267411526,2.0529176930006843,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-7,6.673347539,Autumn,2023,30.07,122.07,1.361727836,Mountain,Rhinolophus,-1.19039018,0.6653497048623519,-0.140045173,0.4341778816917962,1.5506194340587531,-1.126848151,-0.61459899,-2.118814659,1.098538162020213,1.0859215926714,-0.472480453,0.1026688889287563,-0.417886997,1.902000203973179,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-8,7.448901496,Autumn,2023,30.07,122.07,1.361727836,Mountain,Rhinolophus,-1.19039018,0.6653497048623519,-0.140045173,0.4341778816917962,1.5506194340587531,-1.126848151,-0.61459899,-2.118814659,1.098538162020213,1.0859215926714,-0.472480453,0.1026688889287563,-0.417886997,1.902000203973179,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-9,5.208411152,Autumn,2023,29.89,122.42,0.77815125,Plain,Rhinolophus,-1.422576591,-0.142749028,0.3537809250911442,1.2466742400230535,0.5503232553392838,0.3652219022563649,0.1233154838187551,-2.19125662,-0.752696772,0.3795927200887972,3.519776593139209,0.1108553046123238,0.0629416455792948,2.598032629299731,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24B-1,6.633580832,Summer,2023,22.36,113.49,1.301029996,Mountain,Hypsugo,-1.444644247,-0.626073331,0.6379000499412593,1.659270250508974,0.0825230523560495,1.8332447793479807,1.0139868177683484,-0.271544665,-0.821825071,-0.810350533,0.0978419822088243,1.6267868676635189,0.2535811347845768,-0.67948376,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24B-10,5.56385619,Summer,2023,31.35,118.45,1.342422681,Plain,Pipistrellus,-0.134996353,1.3166926512769053,0.7055474606198578,0.2374012806573504,0.530416863722976,-0.874925349,1.3304592440470615,-0.561312507,-0.715850857,-1.213267,-1.042802888,0.0069600585105781,-0.71091269,-0.799178161,0,0,0,0,1,0,0,0,0,0,0,0,0
IPB24B-11,7.006119814,Summer,2023,31.35,118.45,1.414973348,Plain,Pipistrellus,-0.134996353,1.3166926512769053,0.7055474606198578,0.2374012806573504,0.530416863722976,-0.874925349,1.3304592440470615,-0.561312507,-0.715850857,-1.213267,-1.042802888,0.0069600585105781,-0.71091269,-0.799178161,0,0,0,0,1,0,0,0,0,0,0,0,0
IPB24B-12,5.435812887,Summer,2023,31.35,118.45,1.414973348,Plain,Pipistrellus,-0.134996353,1.3166926512769053,0.7055474606198578,0.2374012806573504,0.530416863722976,-0.874925349,1.3304592440470615,-0.561312507,-0.715850857,-1.213267,-1.042802888,0.0069600585105781,-0.71091269,-0.799178161,0,0,0,0,1,0,0,0,0,0,0,0,0
IPB24B-13,4.146286371,Autumn,2023,30.07,122.14,0.301029996,Mountain,Miniopterus,-1.113633909,0.693937257137878,0.0628970591731694,0.6436492313083649,1.5506194340587531,-1.13257367,-0.095047366,-2.118814659,0.5421632141119818,0.550586904426815,-0.472480453,-0.003874903,-0.340383968,1.9577364013027536,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24B-14,4.636564138,Spring,2023,23.68,106.98,0.698970004,Plain,Pipistrellus,-0.063037709,-0.435006139,1.246726746048649,1.938565383331066,-0.29072179,0.7568473499672327,0.3888022154831062,0.8150847439226624,-0.387062782,-1.885696444,-1.042802888,-0.366244186,-0.749992461,-0.964916243,0,0,0,0,0,0,1,0,0,0,0,0,0
IPB24B-15,4.221928095,Summer,2023,22.36,106.8,0.602059991,Plain,Tylonycteris,-0.27411659,-0.671624583,0.9084896926556548,1.6402269850627138,-0.589317665,0.0984127522077325,0.1198281862959495,0.8150847439226624,-0.114705975,-0.981379699,-1.042802888,-0.376477205,-0.438998186,1.764733304897275,0,0,0,0,0,1,0,0,0,0,0,0,0
IPB24B-2,3.664497779,Summer,2023,22.36,113.49,0.954242509,Mountain,Pipistrellus,-1.444644247,-0.626073331,0.6379000499412593,1.659270250508974,0.0825230523560495,1.8332447793479807,1.0139868177683484,-0.271544665,-0.821825071,-0.810350533,0.0978419822088243,1.6267868676635189,0.2535811347845768,-0.67948376,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24B-3,4.801307266,Summer,2023,22.42,113.65,1.505149978,Plain,Hipposideros,-1.828423297,-0.648613175,0.4011341125661636,1.487884289211852,-0.141423853,1.4152819477267329,0.4927101712101643,-2.046372699,-0.752696772,0.9911849169197048,0.0978419822088243,-0.049140967,-0.01940117,-0.6370237,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24B-5,7.298034371,Spring,2023,31.35,118.45,1.447158031,Plain,Eptesicus,-0.134996353,1.3166926512769053,0.7055474606198578,0.2374012806573504,0.530416863722976,-0.874925349,1.3304592440470615,-0.561312507,-0.715850857,-1.213267,-1.042802888,0.0069600585105781,-0.71091269,-0.799178161,0,0,0,0,1,0,0,0,0,0,0,0,0
IPB24B-6,4.201841232,Spring,2023,31.36,118.46,1.113943352,Plain,Eptesicus,-0.125402251,1.3186079908751147,0.7055474606198578,0.2310539063662883,0.5055338742025912,-0.892101904,1.3304592440470615,-0.597533487,-1.0062006,-1.883941149,1.8088092876740167,0.0135814241369929,-0.688113343,-0.767917854,0,0,0,0,0,0,1,0,0,0,0,0,0
IPB24B-8,6.864376179,Summer,2023,31.35,118.43,1.361727836,Plain,Eptesicus,-0.163780386,1.319540081556268,0.7393711659591578,0.262791539536982,0.5552998532433608,-0.863474312,1.3304592440470615,-0.561312507,-0.97959123,-0.372412523,1.8088092876740167,0.0743775994340747,-0.732837459,-0.83013438,0,0,0,0,1,0,0,0,0,0,0,0,0
IPB24B-9,5.592759956,Summer,2023,31.35,118.45,1.361727836,Plain,Pipistrellus,-0.134996353,1.3166926512769053,0.7055474606198578,0.2374012806573504,0.530416863722976,-0.874925349,1.3304592440470615,-0.561312507,-0.715850857,-1.213267,-1.042802888,0.0069600585105781,-0.71091269,-0.799178161,0,0,0,0,1,0,0,0,0,0,0,0,0
IPB24C-100,6.162430053,Summer,2023,31.35,118.43,1.414973348,Plain,Pipistrellus,-0.163780386,1.319540081556268,0.7393711659591578,0.262791539536982,0.5552998532433608,-0.863474312,1.3304592440470615,-0.561312507,-0.97959123,-0.372412523,1.8088092876740167,0.0743775994340747,-0.732837459,-0.83013438,0,0,0,0,1,0,0,0,0,0,0,0,0
IPB24C-102,7.200500809,Spring,2023,31.31,118.51,1.491361694,Plain,Myotis,-0.250130183,1.2826774267694798,0.6379000499412593,0.2056632666289659,0.530416863722976,-0.909278458,0.0713484565228566,-0.597533487,0.0927023819897792,0.4933443088407117,-1.042802888,0.0015425775435114,-0.611998474,-0.667855291,0,0,0,0,0,0,1,0,0,0,0,0,0
IPB24C-103,6.749858621,Spring,2023,31.31,118.51,1.477121255,Plain,Myotis,-0.250130183,1.2826774267694798,0.6379000499412593,0.2056632666289659,0.530416863722976,-0.909278458,0.0713484565228566,-0.597533487,0.0927023819897792,0.4933443088407117,-1.042802888,0.0015425775435114,-0.611998474,-0.667855291,0,0,0,0,0,0,1,0,0,0,0,0,0
IPB24C-104,7.253593198,Spring,2023,31.31,118.51,1.477121255,Plain,Myotis,-0.250130183,1.2826774267694798,0.6379000499412593,0.2056632666289659,0.530416863722976,-0.909278458,0.0713484565228566,-0.597533487,0.0927023819897792,0.4933443088407117,-1.042802888,0.0015425775435114,-0.611998474,-0.667855291,0,0,0,0,0,0,1,0,0,0,0,0,0
