SampleGroup,Shannon_Index,lat,long
IPB24A-10,4.973499307625771,29.99,122.31
IPB24A-11,5.4291973337385055,29.99,122.31
IPB24A-12,5.965269974007571,29.99,122.31
IPB24A-13,5.088629625108201,30.07,122.14
IPB24A-14,4.496898555450564,30.07,122.2
IPB24A-15,4.934183719779189,30.07,122.2
IPB24A-17,3.873140679513134,30.08,122.13
IPB24A-18,4.418295834054491,30.07,122.14
IPB24A-19,4.2359263506290326,30.07,122.14
IPB24A-2,6.963676636971677,30.06,122.15
IPB24A-20,3.967720100474499,30.04,122.2
IPB24A-21,4.548688113203416,30.04,122.2
IPB24A-27,5.112199975217029,22.83,112.8
IPB24A-28,3.984183719779189,23.31,114.4
IPB24A-29,4.319902579793958,23.34,114.46
IPB24A-31,7.885148169547419,23.12,115.21
IPB24A-32,8.288572783541984,23.12,115.21
IPB24A-33,4.6644977792004605,23.31,114.4
IPB24A-34,5.563856189774724,23.31,114.4
IPB24A-35,4.639279277025428,23.31,114.4
IPB24A-36,6.881557009694035,24.56,115.88
IPB24A-37,4.41208706925008,24.43,112.18
IPB24A-38,4.413607347067375,24.43,112.18
IPB24A-39,6.003666984610165,24.43,112.18
IPB24A-4,5.70906738261922,30.07,122.14
IPB24A-40,4.953263142468004,25.3,113.02
IPB24A-41,8.385041728470458,25.05,113.77
IPB24A-42,4.54254382446954,22.55,114.15
IPB24A-43,4.680813428089395,22.56,114.23
IPB24A-44,4.889680181354617,23.15,112.52
IPB24A-45,5.882643049361841,23.13,112.55
IPB24A-5,5.559733603467742,30.04,122.2
IPB24A-6,5.261098725424303,30.04,122.2
IPB24A-7,6.673347538576899,30.07,122.07
IPB24A-8,7.448901496228356,30.07,122.07
IPB24A-9,5.2084111518371525,29.89,122.42
IPB24B-1,6.633580831921692,22.36,113.49
IPB24B-10,5.563856189774724,31.35,118.45
IPB24B-11,7.006119813556231,31.35,118.45
IPB24B-12,5.435812887167011,31.35,118.45
IPB24B-13,4.146286370662106,30.07,122.14
IPB24B-14,4.63656413759286,23.68,106.98
IPB24B-15,4.221928094887363,22.36,106.8
IPB24B-2,3.664497779200461,22.36,113.49
IPB24B-3,4.801307266176411,22.42,113.65
IPB24B-5,7.298034371211818,31.35,118.45
IPB24B-6,4.201841232302569,31.36,118.46
IPB24B-7,6.044954943193488,31.35,118.45
IPB24B-8,6.864376178776971,31.35,118.43
IPB24B-9,5.592759955827108,31.35,118.45
IPB24C-100,6.162430053398573,31.35,118.43
IPB24C-102,7.200500809084174,31.31,118.51
IPB24C-103,6.749858620668083,31.31,118.51
IPB24C-104,7.253593197855341,31.31,118.51
IPB24C-105,6.232624356927738,31.31,118.51
IPB24C-106,6.46068810806935,31.35,118.43
IPB24C-107,6.227831381088493,31.35,118.43
IPB24C-108,6.411978179679553,31.35,118.43
IPB24C-109,6.888252501715764,31.35,118.43
IPB24C-110,6.549452668030775,31.35,118.43
IPB24C-111,6.526717225617641,31.35,118.43
IPB24C-112,6.429991863963942,31.35,118.45
IPB24C-114,6.811980369703382,31.35,118.45
IPB24C-115,6.447882543257363,31.35,118.45
IPB24C-117,6.222823676305885,31.35,118.45
IPB24C-119,6.142664355548848,30.88,119.9
IPB24C-120,6.45558294527991,30.96,119.89
IPB24C-122,5.247927513443585,30.92,119.69
IPB24C-123,3.8073549220576033,30.9,119.94
IPB24C-124,3.121928094887363,30.94,119.78
IPB24C-125,6.558967328333154,31.35,118.45
IPB24C-126,6.209533099260594,31.35,118.45
IPB24C-127,6.019325123809583,31.35,118.45
IPB24C-128,4.627986806877677,31.35,118.45
IPB24C-21,3.321928094887362,24.92,110.31
