Sample,Shannon,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,GMR,GR,GLH,HFT,FVC,NDVI,GDP,CHEQ,PSD,DEM
IPB24A-10,4.973499308,-0.442459663,-1.28704502,-1.085947322,0.610693767,0.043821485,-0.176204317,0.190998862,0.731528865,-0.149961787,0.231374312,-0.520967064,-0.4494,-1.183364481,1.645394354,-1.720654441,-1.319486115,1.659990769,-1.205706646,1.309732044,-2.166105526,-0.089616504,2.224205928,0.793012868,0.659187571,0.715943722,0.059164563,-0.0002937,0.036759659,-0.643816979
IPB24A-11,5.429197334,-0.442459663,-1.28704502,-1.085947322,0.610693767,0.043821485,-0.176204317,0.190998862,0.731528865,-0.149961787,0.231374312,-0.520967064,-0.4494,-1.183364481,1.645394354,-1.720654441,-1.319486115,1.659990769,-1.205706646,1.309732044,-2.166105526,-0.089616504,2.224205928,0.793012868,0.659187571,0.715943722,0.059164563,-0.0002937,0.036759659,-0.643816979
IPB24A-12,5.965269974,-0.442459663,-1.28704502,-1.085947322,0.610693767,0.043821485,-0.176204317,0.190998862,0.731528865,-0.149961787,0.231374312,-0.520967064,-0.4494,-1.183364481,1.645394354,-1.720654441,-1.319486115,1.659990769,-1.205706646,1.309732044,-2.166105526,-0.089616504,2.224205928,0.793012868,0.659187571,0.715943722,0.059164563,-0.0002937,0.036759659,-0.643816979
IPB24A-13,5.088629625,-0.565544791,-1.122183757,-1.039304095,0.679565275,0.043821485,-0.347163067,0.348147347,0.648127506,-0.268429452,0.157643865,-0.647580634,-0.402077101,-1.151736589,1.550689474,-1.621070196,-1.225673437,1.559571817,-1.108489483,1.223388874,-2.129563676,-0.326349657,1.910564605,-0.108301018,-0.469726363,0.561537378,0.00501999,0.558816021,-0.029399887,-0.593786676
IPB24A-14,4.496898555,-0.485989839,-1.243405202,-1.101629978,0.667367036,0.077711671,-0.273895031,0.303248229,0.725113287,-0.218170606,0.22570266,-0.588230486,-0.476441656,-1.199178428,1.645394354,-1.684219302,-1.30844933,1.584676555,-1.194269332,1.266560459,-2.129563676,-0.22589458,1.961629482,0.634855564,-0.469726363,0.728214321,-0.060735631,0.814090843,-0.113123915,-0.657343369
IPB24A-15,4.93418372,-0.485989839,-1.243405202,-1.101629978,0.667367036,0.077711671,-0.273895031,0.303248229,0.725113287,-0.218170606,0.22570266,-0.588230486,-0.476441656,-1.199178428,1.645394354,-1.684219302,-1.30844933,1.584676555,-1.194269332,1.266560459,-2.129563676,-0.22589458,1.961629482,0.634855564,-0.469726363,0.728214321,-0.060735631,0.814090843,-0.113123915,-0.657343369
IPB24A-17,3.87314068,-0.574550625,-1.170672463,-1.071286715,0.674542777,0.043821485,-0.347163067,0.348147347,0.63529712,-0.275609226,0.146301243,-0.647580634,-0.435879171,-1.183364481,1.550689474,-1.64986146,-1.264302187,1.584676555,-1.148520079,1.223388874,-2.129563676,-0.320321514,1.866650912,-0.045838818,-1.03418333,1.11149355,-0.034731722,1.192196308,-0.080336883,-0.587717142
IPB24A-18,4.418295834,-0.565544791,-1.122183757,-1.039304095,0.679565275,0.043821485,-0.347163067,0.348147347,0.648127506,-0.268429452,0.157643865,-0.647580634,-0.402077101,-1.151736589,1.550689474,-1.621070196,-1.225673437,1.559571817,-1.108489483,1.223388874,-2.129563676,-0.326349657,1.910564605,-0.108301018,-0.469726363,0.561537378,0.00501999,0.558816021,-0.029399887,-0.593786676
IPB24A-19,4.235926351,-0.565544791,-1.122183757,-1.039304095,0.679565275,0.043821485,-0.347163067,0.348147347,0.648127506,-0.268429452,0.157643865,-0.647580634,-0.402077101,-1.151736589,1.550689474,-1.621070196,-1.225673437,1.559571817,-1.108489483,1.223388874,-2.129563676,-0.326349657,1.910564605,-0.108301018,-0.469726363,0.561537378,0.00501999,0.558816021,-0.029399887,-0.593786676
IPB24A-2,6.963676637,-0.418443386,-1.112486446,-1.032907679,0.68998987,0.179382231,-0.249472352,0.348147347,0.814929454,-0.189451296,0.305104078,-0.560533743,-0.42573855,-1.183364481,1.645394354,-1.664546539,-1.247747009,1.634886031,-1.131364109,1.288146251,-2.129563676,-0.308575264,1.937057731,0.782072703,-0.469726363,1.11149355,0.036345629,0.163693095,0.010412937,-0.726275936
IPB24A-20,3.9677201,-0.63008894,-1.175521293,-1.056533254,0.655453058,-0.057849075,-0.371585745,0.30324778,0.564726916,-0.297148977,0.083914098,-0.675277449,-0.395316686,-1.135922642,1.645394354,-1.65073481,-1.253265401,1.609781293,-1.137082766,1.266560459,-2.129563676,-0.25299194,2.004000046,0.15901016,-0.469726363,1.11149355,-0.060413102,1.363566034,-0.113123915,-0.531270474
IPB24A-21,4.548688113,-0.63008894,-1.175521293,-1.056533254,0.655453058,-0.057849075,-0.371585745,0.30324778,0.564726916,-0.297148977,0.083914098,-0.675277449,-0.395316686,-1.135922642,1.645394354,-1.65073481,-1.253265401,1.609781293,-1.137082766,1.266560459,-2.129563676,-0.25299194,2.004000046,0.15901016,-0.469726363,1.11149355,-0.060413102,1.363566034,-0.113123915,-0.531270474
IPB24A-27,5.112199975,1.594440929,-0.933078868,-0.236640403,-0.490552065,0.789405588,1.582228541,-0.931490322,1.289672986,1.307546476,1.036732472,1.303060977,1.582104449,1.062215901,0.982460193,0.115997422,1.103088339,0.480068082,1.09319332,0.575815095,-0.19284564,-0.272531323,-0.75118035,0.531775849,0.094730604,-0.36266689,0.005382835,-0.921273845,-0.198018909,-0.753762255
IPB24A-28,3.98418372,0.897961701,-0.816706601,-0.140350133,-0.551611542,0.077711671,1.069352291,-0.931489873,0.48774152,0.930604807,0.339133646,0.883653185,1.774776252,1.299425096,0.603640672,0.132762145,1.224492981,0.37964913,1.299064958,0.921187777,-0.15630379,-0.722836179,-0.783982243,-1.21414191,-0.469726363,0.638506345,-0.258728184,2.318164221,-0.253639767,-0.232996223
IPB24A-29,4.31990258,1.519389434,-0.583961487,-0.07297439,-0.472287714,0.755515402,1.362424434,-0.751892053,1.187025278,1.250107856,0.974345328,1.239754073,1.484078444,1.157099579,0.508935791,0.119083631,1.058941196,0.354544392,1.013132127,0.856430399,-0.22938749,-0.791156516,-0.924591721,0.264297013,-1.03418333,1.11149355,-0.255260996,0.00387102,-0.24368656,-0.74552503
