Sample group,Shannon index,Season,Year,SampleSize (log10),latitude,longitude,Terrain,Host genus,Annual Mean Temperature (Bio1),Mean Diurnal Range (Mean of monthly max temp - min temp) (Bio2),Isothermality (BIO2/BIO7) (x100) (Bio3),Temperature Seasonality (standard deviation x100) (Bio4),Max Temperature of Warmest Month (Bio5),Min Temperature of Coldest Month (Bio6),Temperature Annual Range (BIO5-BIO6) (Bio7),Mean Temperature of Wettest Quarter (Bio8),Mean Temperature of Driest Quarter (Bio9),Mean Temperature of Warmest Quarter (Bio10),Mean Temperature of Coldest Quarter (Bio11),Annual Precipitation (Bio12),Precipitation of Wettest Month (Bio13),Precipitation of Driest Month (Bio14),Precipitation Seasonality (Coefficient of Variation) (Bio15),Precipitation of Wettest Quarter (Bio16),Precipitation of Driest Quarter (Bio17),Precipitation of Warmest Quarter (Bio18),Precipitation of Coldest Quarter (Bio19),Global Mammal Richness (GMR),Global Railway (GR),Global Linear Hydrography (GLH),Human Footprint (HFT),Fractional Vegetation Cover (FVC),Normalized Difference Vegetation Index (NDVI),China GDP Spatial Distribution (GDP),China High-Resolution Ecological Environment Quality (CHEQ),China Population Spatial Distribution (PSD),Digital Elevation Model (DEM),landuseName Forest land closed canopy,landuseName High coverage grassland,landuseName Low coverage grassland,landuseName Medium coverage grassland,landuseName Other construction land,landuseName Other forest land,landuseName Paddy field,landuseName Reservoirs and ponds,landuseName Rivers and canals,landuseName Rural residential area,landuseName Shrubland,landuseName Sparse woodland,landuseName Urban built up area
IPB24A-10,4.973499308,Autumn,2023,1.301029996,29.99,122.31,Mountain,Rhinolophus,16.483334,6.333333,23.114355,783.4984,30.1,2.7,27.4,25.983334,9.400001,25.983334,6.883333,1258,169,45,39.016422,417,169,417,174,9,0.423880302,1.422455755,41.719856,4,0.9595508,9662,0.52500457,843,99.8125,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24A-11,5.429197334,Autumn,2023,1.301029996,29.99,122.31,Mountain,Rhinolophus,16.483334,6.333333,23.114355,783.4984,30.1,2.7,27.4,25.983334,9.400001,25.983334,6.883333,1258,169,45,39.016422,417,169,417,174,9,0.423880302,1.422455755,41.719856,4,0.9595508,9662,0.52500457,843,99.8125,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24A-12,5.965269974,Autumn,2023,1.301029996,29.99,122.31,Mountain,Rhinolophus,16.483334,6.333333,23.114355,783.4984,30.1,2.7,27.4,25.983334,9.400001,25.983334,6.883333,1258,169,45,39.016422,417,169,417,174,9,0.423880302,1.422455755,41.719856,4,0.9595508,9662,0.52500457,843,99.8125,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24A-13,5.088629625,Autumn,2023,0.954242509,30.07,122.14,Mountain,Myotis,16.141666,6.616667,23.546856,796.8627,30.1,2,28.1,25.766666,8.85,25.766666,6.35,1272,171,44,40.58701,434,165,434,170,10,0.282352514,1.284718936,27.737097,2,0.9437611,8319,0.62541884,730,135.875,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-14,4.496898555,Autumn,2023,1.361727836,30.07,122.2,Mountain,Rhinolophus,16.3625,6.4083333,22.968937,794.49567,30.2,2.3,27.900002,25.966667,9.083333,25.966667,6.6,1250,168,45,39.591057,419,166,419,172,10,0.342408255,1.307144277,39.266243,2,0.9608056,6688,0.67126536,587,90.0625,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-15,4.93418372,Autumn,2023,1.342422681,30.07,122.2,Mountain,Rhinolophus,16.3625,6.4083333,22.968937,794.49567,30.2,2.3,27.900002,25.966667,9.083333,25.966667,6.6,1250,168,45,39.591057,419,166,419,172,10,0.342408255,1.307144277,39.266243,2,0.9608056,6688,0.67126536,587,90.0625,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-17,3.87314068,Autumn,2023,1.255272505,30.08,122.13,Mountain,Rhinolophus,16.116667,6.5333333,23.250296,795.8881,30.1,2,28.1,25.733334,8.816667,25.733334,6.35,1262,169,44,40.13293,427,166,427,170,10,0.28595636,1.265434065,28.70612,1,1,7333,0.73917186,643,140.25,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-18,4.418295834,Autumn,2023,1.176091259,30.07,122.14,Mountain,Rhinolophus,16.141666,6.616667,23.546856,796.8627,30.1,2,28.1,25.766666,8.85,25.766666,6.35,1272,171,44,40.58701,434,165,434,170,10,0.282352514,1.284718936,27.737097,2,0.9437611,8319,0.62541884,730,135.875,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-19,4.235926351,Autumn,2023,1.176091259,30.07,122.14,Mountain,Rhinolophus,16.141666,6.616667,23.546856,796.8627,30.1,2,28.1,25.766666,8.85,25.766666,6.35,1272,171,44,40.58701,434,165,434,170,10,0.282352514,1.284718936,27.737097,2,0.9437611,8319,0.62541884,730,135.875,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-2,6.963676637,Autumn,2023,1.204119983,30.06,122.15,Mountain,Rhinolophus,16.55,6.633333,23.606167,798.88556,30.5,2.4,28.1,26.2,9.216666,26.2,6.7166667,1265,169,45,39.901325,430,168,430,173,10,0.2929787,1.296353496,41.550133,2,1,9096,0.55445606,798,40.375,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-20,3.9677201,Autumn,2023,1.230448921,30.04,122.2,Mountain,Rhinolophus,15.9625,6.525,23.387098,792.1838,29.8,1.9,27.9,25.55,8.716666,25.55,6.233333,1274,172,45,40.119156,429,167,429,172,10,0.326208456,1.325751477,31.884096,2,1,6696,0.7699493,587,180.9375,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-21,4.548688113,Autumn,2023,1.204119983,30.04,122.2,Mountain,Rhinolophus,15.9625,6.525,23.387098,792.1838,29.8,1.9,27.9,25.55,8.716666,25.55,6.233333,1274,172,45,40.119156,429,167,429,172,10,0.326208456,1.325751477,31.884096,2,1,6696,0.7699493,587,180.9375,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-27,5.112199975,Summer,2023,0.903089987,22.83,112.8,Mountain,Nyctalus,22.1375,6.9416666,30.989584,569.8051,32.3,9.9,22.4,27.433334,16.166666,28.35,14.566667,1859,311,38,67.983086,856,122,819,140,63,0.314527094,0.115803182,37.66709,3,0.84925133,8328,0.35959956,442,20.5625,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-28,3.98418372,Spring,2023,0.903089987,23.31,114.4,Mountain,Rhinolophus,20.204166,7.1416664,31.882439,557.9567,30.2,7.8,22.400002,25.35,14.416667,26.300001,12.8,1916,326,34,68.24749,878,118,855,156,64,0.045318286,0.101398102,10.581357,2,0.951632,1777,0.941392,347,395.9375,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-29,4.31990258,Summer,2023,1.041392685,23.34,114.46,Mountain,Hypsugo,21.929167,7.541667,32.507183,573.34924,32.2,9,23.2,27.166666,15.9,28.166666,14.3,1830,317,33,68.03176,848,117,805,153,62,0.004473875,0.039648897,33.51749,1,1,1863,0.52575254,364,26.5,0,0,0,1,0,0,0,0,0,0,0,0,0
