Sample group,Shannon index,Season,Year,SampleSize (log10),latitude,longitude,Terrain,Host genus,Annual Mean Temperature (Bio1),Mean Diurnal Range (Mean of monthly max temp - min temp) (Bio2),Isothermality (BIO2/BIO7) (x100) (Bio3),Temperature Seasonality (standard deviation x100) (Bio4),Max Temperature of Warmest Month (Bio5),Min Temperature of Coldest Month (Bio6),Temperature Annual Range (BIO5-BIO6) (Bio7),Mean Temperature of Wettest Quarter (Bio8),Mean Temperature of Driest Quarter (Bio9),Mean Temperature of Warmest Quarter (Bio10),Mean Temperature of Coldest Quarter (Bio11),Annual Precipitation (Bio12),Precipitation of Wettest Month (Bio13),Precipitation of Driest Month (Bio14),Precipitation Seasonality (Coefficient of Variation) (Bio15),Precipitation of Wettest Quarter (Bio16),Precipitation of Driest Quarter (Bio17),Precipitation of Warmest Quarter (Bio18),Precipitation of Coldest Quarter (Bio19),Global Mammal Richness (GMR),Global Railway (GR),Global Linear Hydrography (GLH),Human Footprint (HFT),Fractional Vegetation Cover (FVC),Normalized Difference Vegetation Index (NDVI),China GDP Spatial Distribution (GDP),China High-Resolution Ecological Environment Quality (CHEQ),China Population Spatial Distribution (PSD),Digital Elevation Model (DEM),landuseName Forest land closed canopy,landuseName High coverage grassland,landuseName Low coverage grassland,landuseName Medium coverage grassland,landuseName Other construction land,landuseName Other forest land,landuseName Paddy field,landuseName Reservoirs and ponds,landuseName Rivers and canals,landuseName Rural residential area,landuseName Shrubland,landuseName Sparse woodland,landuseName Urban built up area
IPB24A-10,4.973499308,Autumn,2023,1.301029996,29.99,122.31,Mountain,Rhinolophus,-0.438078412,-1.276740552,-1.089741722,0.6250164897917531,0.06289705917316941,-0.178303613,0.20550551080386992,0.7261689056690863,-0.15322875,0.2475333297422575,-0.526742668,-0.462082248,-1.199275967,1.6304222613101191,-1.729539169,-1.335952904,1.6501513921402924,-1.22990748,1.3026802950339118,-2.15503564,-0.104894138,2.2772381437559943,0.8002768145137207,0.6681644173638885,0.7130464014207734,0.080084669868256,-0.017421365,0.06414457982961544,-0.657909596,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24A-11,5.429197334,Autumn,2023,1.301029996,29.99,122.31,Mountain,Rhinolophus,-0.438078412,-1.276740552,-1.089741722,0.6250164897917531,0.06289705917316941,-0.178303613,0.20550551080386992,0.7261689056690863,-0.15322875,0.2475333297422575,-0.526742668,-0.462082248,-1.199275967,1.6304222613101191,-1.729539169,-1.335952904,1.6501513921402924,-1.22990748,1.3026802950339118,-2.15503564,-0.104894138,2.2772381437559943,0.8002768145137207,0.6681644173638885,0.7130464014207734,0.080084669868256,-0.017421365,0.06414457982961544,-0.657909596,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24A-12,5.965269974,Autumn,2023,1.301029996,29.99,122.31,Mountain,Rhinolophus,-0.438078412,-1.276740552,-1.089741722,0.6250164897917531,0.06289705917316941,-0.178303613,0.20550551080386992,0.7261689056690863,-0.15322875,0.2475333297422575,-0.526742668,-0.462082248,-1.199275967,1.6304222613101191,-1.729539169,-1.335952904,1.6501513921402924,-1.22990748,1.3026802950339118,-2.15503564,-0.104894138,2.2772381437559943,0.8002768145137207,0.6681644173638885,0.7130464014207734,0.080084669868256,-0.017421365,0.06414457982961544,-0.657909596,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24A-13,5.088629625,Autumn,2023,0.954242509,30.07,122.14,Mountain,Myotis,-0.561177435,-1.113633909,-1.043379874,0.693937257137878,0.06289705917316941,-0.350021964,0.36310175482121365,0.6436492313083649,-0.272227903,0.17407905453019057,-0.653797783,-0.415023378,-1.167730831,1.5367198324991929,-1.630376903,-1.24235354,1.5506194340587531,-1.13257367,1.2172050781015884,-2.118814659,-0.340383968,1.9577364013027536,-0.095047366,-0.472480453,0.550586904426815,0.025122412512748455,0.5421632141119818,-0.003874903,-0.608100542,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-14,4.496898555,Autumn,2023,1.361727836,30.07,122.2,Mountain,Rhinolophus,-0.481613502,-1.233565193,-1.105329771,0.6817302935160424,0.09672076451246811,-0.276428385,0.31807470680552696,0.7198211505203334,-0.221743578,0.24188292264495012,-0.594240661,-0.488973031,-1.215048535,1.6304222613101191,-1.69325842,-1.324941214,1.575502423579138,-1.218456443,1.25994268656775,-2.118814659,-0.240456481,2.0097554298865927,0.6431705490339672,-0.472480453,0.7259569809015753,-0.041626241,0.7976548447481313,-0.089952657,-0.671376168,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-15,4.93418372,Autumn,2023,1.342422681,30.07,122.2,Mountain,Rhinolophus,-0.481613502,-1.233565193,-1.105329771,0.6817302935160424,0.09672076451246811,-0.276428385,0.31807470680552696,0.7198211505203334,-0.221743578,0.24188292264495012,-0.594240661,-0.488973031,-1.215048535,1.6304222613101191,-1.69325842,-1.324941214,1.575502423579138,-1.218456443,1.25994268656775,-2.118814659,-0.240456481,2.0097554298865927,0.6431705490339672,-0.472480453,0.7259569809015753,-0.041626241,0.7976548447481313,-0.089952657,-0.671376168,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-17,3.87314068,Autumn,2023,1.255272505,30.08,122.13,Mountain,Rhinolophus,-0.570184285,-1.16160655,-1.075169556,0.6889111667436535,0.06289705917316941,-0.350021964,0.36310175482121365,0.6309544827262407,-0.279439888,0.16277891837086506,-0.653797783,-0.448636857,-1.199275967,1.5367198324991929,-1.659046167,-1.280894454,1.575502423579138,-1.172652297,1.2172050781015884,-2.118814659,-0.334387484,1.9130021760446114,-0.03300026,-1.042802888,1.1292263596092131,-0.015229625,1.1760814388668057,-0.056243886,-0.602057849,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-18,4.418295834,Autumn,2023,1.176091259,30.07,122.14,Mountain,Rhinolophus,-0.561177435,-1.113633909,-1.043379874,0.693937257137878,0.06289705917316941,-0.350021964,0.36310175482121365,0.6436492313083649,-0.272227903,0.17407905453019057,-0.653797783,-0.415023378,-1.167730831,1.5367198324991929,-1.630376903,-1.24235354,1.5506194340587531,-1.13257367,1.2172050781015884,-2.118814659,-0.340383968,1.9577364013027536,-0.095047366,-0.472480453,0.550586904426815,0.025122412512748455,0.5421632141119818,-0.003874903,-0.608100542,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-19,4.235926351,Autumn,2023,1.176091259,30.07,122.14,Mountain,Rhinolophus,-0.561177435,-1.113633909,-1.043379874,0.693937257137878,0.06289705917316941,-0.350021964,0.36310175482121365,0.6436492313083649,-0.272227903,0.17407905453019057,-0.653797783,-0.415023378,-1.167730831,1.5367198324991929,-1.630376903,-1.24235354,1.5506194340587531,-1.13257367,1.2172050781015884,-2.118814659,-0.340383968,1.9577364013027536,-0.095047366,-0.472480453,0.550586904426815,0.025122412512748455,0.5421632141119818,-0.003874903,-0.608100542,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24A-2,6.963676637,Autumn,2023,1.204119983,30.06,122.15,Mountain,Rhinolophus,-0.414059424,-1.104039807,-1.037022044,0.7043693084562249,0.1981918805303666,-0.251897192,0.36310175482121365,0.8086878183144248,-0.192895423,0.32098692691903397,-0.566447329,-0.438552813,-1.199275967,1.6304222613101191,-1.673669019,-1.264376919,1.6252684026199076,-1.155475743,1.281311490800831,-2.118814659,-0.322702926,1.9847245531975408,0.7894093522464357,-0.472480453,1.1292263596092131,0.05692112730443078,0.1467047065377026,0.03705717499428198,-0.740003894,1,0,0,0,0,0,0,0,0,0,0,0,0
