variable,selected_form,delta_deviance_explained,delta_adjusted_R2,delta_AIC,full_model_term_p_value,environmental_contribution_rank
Global Linear Hydrography (GLH),linear,0.0254288455006924,0.022156937455918,7.47716726344436,0.0377151979886999,1
Fractional Vegetation Cover (FVC),linear,0.0164771285411466,0.0139658046456639,3.22806143077696,0.0522099917213758,2
Normalized Difference Vegetation Index (NDVI),linear,0.0058940860177069,0.0028139099265349,0.0649018105445975,0.26378073253349,3
Mean Temperature of Wettest Quarter (Bio8),linear,0.0055168413786987,0.0018959353092016,0.0451493805680911,0.531818549222199,4
Temperature Seasonality (standard deviation x100) (Bio4),linear,0.0032814399787947,-1.15257069640551e-05,-0.701883350111075,0.600522122423075,5
Global Railway (GR),linear,0.00283753449158,-0.0006936744856207,-1.56393562011476,0.807563865583759,6
Precipitation of Driest Quarter (Bio17),linear,0.0022109346110379,-0.0009761333041155,-0.931790862833509,0.905920675125327,7
Global Mammal Richness (GMR),linear,0.0008666718629175,-0.0025488776775589,-1.60965828531039,0.903979974451282,8
China High-Resolution Ecological Environment Quality (CHEQ),linear,0.000718531842905,-0.0025857694900366,-1.80215589160969,0.577620993434245,9
Human Footprint (HFT),linear,0.0006505699388745,-0.0028630295903939,-1.81996734525637,0.915846083109703,10
Mean Diurnal Range (Mean of monthly max temp - min temp) (Bio2),linear,0.0005617224511335,-0.0027672367192359,-1.54027194465277,0.908926286199332,11
China Population Spatial Distribution (PSD),linear,0.0005399036726296,-0.0028592508937869,-1.74254519150134,0.864271161351404,12
Max Temperature of Warmest Month (Bio5),linear,1.64502535641708e-05,-0.0032673132460187,-1.91785262700159,0.855862833179711,13
Precipitation of Warmest Quarter (Bio18),linear,-0.0007737527384025,-0.0039950453909115,-2.13327819460483,0.833079373649838,14
