"variable","n","unique_n","k_values_tested","primary_k","linear_AIC","smooth_AIC","delta_AIC","smooth_edf","smooth_p_value","k_index","k_check_p_value","maximum_available_edf","edf_ceiling_margin","minimum_curve_correlation","maximum_relative_curve_difference","trimmed_n","trimmed_delta_AIC","trimmed_edf","trimmed_p_value","trimmed_curve_correlation","criterion_1_aic","criterion_2_edf","criterion_3_p","criterion_4_k_check","criterion_5_edf_ceiling","criterion_6_curve_stability","criterion_7_boundary_robustness","selected_form","selected_k","decision_reason"
"Global Linear Hydrography (GLH)",225,102,"4/6/8",6,839.12413448129,839.138359291447,0.0142248101573159,1.00001004329864,0.171027787518136,0.885710992194735,0.015,5,3.99998995670136,0.999999999921481,1.08203457366427e-05,213,-0.000115335799250715,1.00001490088102,0.0273003892154033,0.999999999996472,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C4, C7."
"Fractional Vegetation Cover (FVC)",225,7,"4/5/6",6,839.12413448129,839.130507969896,0.00637348860664133,1.00003223358722,0.0499509735121858,0.794439841216651,0,5,3.99996776641278,0.999999999910632,9.90445959706233e-06,223,0.00491426211624457,1.00002275121903,0.0167656556853105,0.999999999938936,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C4, C7."
"Normalized Difference Vegetation Index (NDVI)",225,81,"4/6/8",6,839.12413448129,839.139398606606,0.015264125316321,1.00003742415399,0.438632525878846,0.86538435866842,0.02,5,3.99996257584601,0.999999999996944,1.3900287887557e-06,220,0.015862025409433,1.00000289869948,0.299178879834405,0.999999999997593,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C4, C7."
"Mean Temperature of Wettest Quarter (Bio8)",225,96,"4/6/8",6,839.12413448129,839.136135918282,0.0120014369921364,1.0000090533164,0.861467476290003,0.836547668236457,0.0025,5,3.9999909466836,0.999999999208869,2.68184164057204e-05,214,0.0192527138653986,1.00001644120424,0.672982590139158,-0.999999999356635,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C4, C7."
"Temperature Seasonality (standard deviation x100) (Bio4)",225,100,"4/6/8",6,839.12413448129,839.136305565688,0.0121710843981191,1.00000379220622,0.864941099145231,0.850750771307093,0.0175,5,3.99999620779378,0.999999999997398,9.79930148373591e-06,217,0.0133160539207893,1.0000019246031,0.898380098585377,0.99999999999974,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C4, C7."
"Global Railway (GR)",225,102,"4/6/8",6,839.124134481289,839.130640239486,0.00650575819611277,1.00000570257934,0.304816633971668,0.911694651158699,0.11,5,3.99999429742066,0.999999999609938,1.94326856042256e-05,213,-0.000260920046798674,1.00002855968593,0.268543572218189,0.999999999684325,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C7."
"Precipitation of Driest Quarter (Bio17)",225,60,"4/6/8",6,839.12413448129,839.130174930185,0.00604044889553279,1.00000954274534,0.768136246787198,0.812534910344505,0.005,5,3.99999045725466,0.999999999985227,6.33983093044048e-06,218,9.93771865296367e-05,1.00001011858932,0.635598407625934,0.99999999999799,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C4, C7."
"Global Mammal Richness (GMR)",225,48,"4/6/8",6,839.12413448129,839.130456039275,0.00632155798587064,1.00000753257229,0.706845468938515,0.901022860540807,0.06,5,3.99999246742771,0.999999999993364,2.52031555092056e-06,216,0.00573649845898672,1.0000061399004,0.776921019985928,0.999999999998156,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C7."
"China High-Resolution Ecological Environment Quality (CHEQ)",225,98,"4/6/8",6,839.124134481289,839.13043793894,0.0063034576503469,1.00002071472336,0.281747195279938,0.994222901563824,0.4525,5,3.99997928527664,0.999999999992561,2.63805421842852e-06,215,0.00677012397966337,1.00000965885967,0.747100329407176,0.999999999974035,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C7."
"Human Footprint (HFT)",225,97,"4/6/8",6,839.12413448129,839.129755091301,0.00562061001130587,1.00001694559398,0.675739891716111,0.915052698089574,0.1125,5,3.99998305440602,0.999999999984096,4.35553319735068e-06,219,0.0069140308456781,1.00000192786007,0.640245527542137,0.999999999969783,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C7."
"Mean Diurnal Range (Mean of monthly max temp - min temp) (Bio2)",225,94,"4/6/8",6,839.124134481289,839.137466417177,0.0133319358872086,1.00000645318232,0.918472320830437,0.946050278984571,0.2075,5,3.99999354681768,0.999999999846544,1.35740286323333e-05,215,0.00927382400789156,1.00000773342134,0.447993178737614,0.999999999651408,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C7."
"China Population Spatial Distribution (PSD)",225,94,"4/6/8",6,839.12413448129,839.144939114037,0.0208046327469447,1.00003897923626,0.883386264583689,0.868487315745702,0.0125,5,3.99996102076374,0.999999999982721,8.48498425227334e-05,213,0.00530418002642818,1.00000735647944,0.705729005325065,-0.999999999565557,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C4, C7."
"Max Temperature of Warmest Month (Bio5)",225,54,"4/6/8",6,839.12413448129,839.133098709294,0.00896422800485652,1.00000735860532,0.38395475009682,0.849851212130203,0.0175,5,3.99999264139468,0.999999999999543,1.01494353726259e-06,215,0.00869191333879371,1.00000806297473,0.377076516419379,0.999999999998104,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"linear",,"Linear retained; failed C1, C2, C3, C4, C7."
"Precipitation of Warmest Quarter (Bio18)",225,92,"4/6/8",6,839.12413448129,833.976061027331,-5.14807345395889,2.60956909991355,0.0965658374293273,0.888640834069478,0.045,5,2.39043090008645,0.94662898572567,0.319198650643775,214,0.00600233339855549,1.00000317035559,0.060510512559479,0.947745040953872,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"linear",,"Linear retained; failed C3, C4, C6, C7."
