"rank","term_group","term_name","model_comparison_method","delta_deviance_explained","delta_adjusted_R2","delta_AIC","full_model_term_p_value_if_available"
1,"pool_sample_size","log10_pool_size","ML",0.0602295845018437,0.0843577406867031,30.806261141613,1.62530154727378e-09
2,"temporal","factor(year)","ML",0.0504265285799088,0.0466153088861033,11.387245090983,0.214776240154624
3,"random_effect","host_genus_random_effect","ML",0.0370137380407835,0.030747051440697,4.10989576375562,0.007508754225801
4,"landuse","landuse_broad","ML",0.0243772911587365,0.0102790676261575,-1.31521005937452,0.0642226551563888
5,"environmental","Fractional Vegetation Cover (FVC)","ML",0.016639605619381,0.0143359166679969,3.53681564177509,0.0482824684669475
6,"environmental","Global Linear Hydrography (GLH)","ML",0.00782637385744611,0.00434534658855923,0.519529132027401,0.0364572532765989
7,"temporal","season","ML",0.00587222695579681,-0.00504434234487994,-4.08101343808062,0.74818217827018
8,"environmental","China High-Resolution Ecological Environment Quality (CHEQ)","ML",0.00585417426138096,0.00259807682597046,-0.206306860705467,0.554898037563565
9,"spatial","spatial_smooth","ML",0.00520929969506428,-0.000740426296237495,-2.00666689265904,0.674682107311781
10,"environmental","Global Railway (GR)","ML",0.00497764377261795,0.00152502091158302,-0.327142438880855,0.809453975809345
11,"environmental","Max Temperature of Warmest Month (Bio5)","ML",0.00285074925176948,-0.000688864957101076,-1.09950024786031,0.884532025307943
12,"environmental","China Population Spatial Distribution (PSD)","ML",0.000792509008859799,-0.00283595401303915,-1.691291759504,0.898585072596443
13,"environmental","Mean Diurnal Range (Mean of monthly max temp - min temp) (Bio2)","ML",0.000773225290837454,-0.00289163631082379,-1.72951061531728,0.937682442861964
14,"environmental","Precipitation of Driest Quarter (Bio17)","ML",0.000484622533218571,-0.00310027878904451,-1.80290963919276,0.896795408695322
15,"environmental","Human Footprint (HFT)","ML",0.00033257993928032,-0.00323254051138944,-1.83729049649844,0.906578196897394
16,"environmental","Normalized Difference Vegetation Index (NDVI)","ML",0.000129945758484351,-0.00283060467680984,-1.86291112909112,0.264850488061181
17,"environmental","Mean Temperature of Wettest Quarter (Bio8)","ML",7.8034483799394e-05,-0.0035349334578938,-1.91524206291683,0.43336706580857
18,"environmental","Global Mammal Richness (GMR)","ML",1.36762511643296e-05,-0.00349811515393017,-1.9737977189377,0.89478825421391
19,"random_effect","terrain_random_effect","ML",-3.95335297109778e-07,-5.33432662930267e-07,-0.000235619640761797,0.551804905502124
20,"environmental","Temperature Seasonality (standard deviation x100) (Bio4)","ML",-1.57990733965496e-05,-0.0036249706934991,-1.94186601005413,0.617170003078677
