Order,NIPB,ZOVER
Amarillovirales,1.447158031,1.69019608
Articulavirales,0,0.698970004
Bunyavirales,1.531478917,1.579783597
Durnavirales,2.250420002,1.342422681
Ghabrivirales,1.832508913,0
Hareavirales,0,0.477121255
Hepelivirales,1.698970004,1.146128036
Jingchuvirales,1.462397998,0
Martellivirales,1.041392685,0.477121255
Mononegavirales,1.880813592,2.152288344
Nidovirales,2.478566496,1.838849091
Nodamuvirales,2.173186268,0
Norzivirales,0.77815125,0
Ourlivirales,0.301029996,0
Permutotetraviridae,2.620136055,0
Picornavirales,3.376576957,2.093421685
Reovirales,0.954242509,1.556302501
Sobelivirales,2.748962861,0
Stellavirales,2.004321374,1.954242509
Tolivirales,2.517195898,0
Tymovirales,1.491361694,0
Wolframvirales,1.322219295,0
