Name,Degree,ClosenessCentrality,NeighborhoodConnectivity,Note
Rhinolophus,38,0.72972973,5.657894737,Host
Myotis,32,0.627906977,6.25,Host
Pipistrellus,31,0.613636364,6.225806452,Host
Eptesicus,23,0.519230769,7.52173913,Host
Nyctalus,18,0.473684211,7.833333333,Host
Tylonycteris,18,0.473684211,8,Host
Hypsugo,17,0.465517241,8.235294118,Host
Hipposideros,16,0.457627119,8.5625,Host
Miniopterus,12,0.428571429,9.25,Host
Aselliscus,6,0.391304348,9.166666667,Host
Scotophilus,5,0.385714286,9.8,Host
Murina,2,0.364864865,10.5,Host
Megaderma,1,0.36,12,Host
Coronaviridae,12,0.556701031,18.16666667,Virus
Permutotetraviridae,12,0.556701031,18.08333333,Virus
Iflaviridae,10,0.534653465,21.1,Virus
Picornaviridae,10,0.534653465,21.1,Virus
Dicistroviridae,10,0.534653465,21,Virus
Astroviridae,9,0.524271845,21.11111111,Virus
Partitiviridae,9,0.524271845,21.55555556,Virus
Solemoviridae,9,0.524271845,22.77777778,Virus
Tombusviridae,9,0.524271845,22.77777778,Virus
Nodaviridae,8,0.514285714,24.125,Virus
Polycipiviridae,8,0.514285714,24.125,Virus
Solinviviridae,8,0.514285714,24.125,Virus
Totiviridae,8,0.504672897,23.375,Virus
Noraviridae,7,0.504672897,25,Virus
Paramyxoviridae,7,0.477876106,20.57142857,Virus
Sinhaliviridae,6,0.486486486,23.5,Virus
Flaviviridae,5,0.486486486,28.4,Virus
Rhabdoviridae,5,0.486486486,28.4,Virus
Narnaviridae,5,0.477876106,25.6,Virus
Chuviridae,5,0.477876106,27.2,Virus
Hepeviridae,5,0.477876106,27.2,Virus
Caliciviridae,5,0.477876106,28,Virus
Phenuiviridae,5,0.477876106,28,Virus
Alphatetraviridae,4,0.477876106,29.75,Virus
Fiersviridae,4,0.469565217,26.75,Virus
Secoviridae,4,0.453781513,27.75,Virus
Lispiviridae,3,0.461538462,33.66666667,Virus
Virgaviridae,3,0.461538462,33.66666667,Virus
Luteoviridae,3,0.453781513,29,Virus
Tymoviridae,3,0.446280992,29,Virus
Carmotetraviridae,2,0.446280992,34.5,Virus
Sedoreoviridae,2,0.446280992,34.5,Virus
Chrysoviridae,2,0.43902439,35,Virus
Picobirnaviridae,2,0.43902439,35,Virus
Spinareoviridae,2,0.43902439,35,Virus
Alphaflexiviridae,2,0.432,30.5,Virus
Mymonaviridae,1,0.42519685,38,Virus
Phasmaviridae,1,0.42519685,38,Virus
Marnaviridae,1,0.388489209,32,Virus
Botourmiaviridae,1,0.382978723,31,Virus
Fusariviridae,1,0.382978723,31,Virus
Hypoviridae,1,0.323353293,18,Virus
