Host,Viral Diversity,Zoonotic Species Count,Zoonotic Sequence Number,Viral Sequence Count
Chaerephon pusillus,2,0,0,37
Eptesicus fuscus,1,0,0,36
Myotis volans,2,0,0,2
Hipposideros ruber,5,1,123,127
Rhinolophus ferrumequinum,12,2,181,292
Mops pusillus,2,0,0,47
Lissonycteris angolensis,2,0,0,5
Glauconycteris poensis,1,0,0,1
Rousettus aegyptiacus,5,1,2,224
Micropteropus pusillus,2,0,0,66
Glauconycteris variegata,1,0,0,2
Epomophorus gambianus,3,0,0,173
Epomops franqueti,2,0,0,36
Eidolon helvum,4,0,0,998
Mops condylurus,4,0,0,202
Rhinolophus pusillus,10,1,116,250
Hipposideros gigas,2,1,1,2
Myotis lucifugus,1,0,0,26
Desmodus rotundus,3,2,3,14
Rhinolophus thomasi,4,1,36,52
Rousettus leschenaultii,3,0,0,115
Myotis ricketti,9,1,2,263
Myotis chinensis,3,0,0,21
Rhinolophus sinicus,8,1,359,491
Rhinolophus affinis,8,1,48,337
Mops midas,1,0,0,5
Eptesicus serotinus,8,2,40,64
Myotis blythii,4,2,10,22
Miniopterus schreibersii,13,2,4,247
Miniopterus pusillus,4,0,0,155
Miniopterus fuliginosus,8,0,0,137
Hipposideros pomona,8,1,3,84
Pipistrellus abramus,8,2,11,267
Rhinolophus macrotis,4,1,3,9
Tylonycteris pachypus,5,1,2,182
Tylonycteris robustula,4,0,0,6
Myotis nattereri,1,0,0,25
Glossophaga soricina,2,0,0,6
Vespertilio sinensis,3,1,65,71
Mormopterus jugularis,1,0,0,12
Rousettus madagascariensis,1,0,0,12
Triaenops menamena,1,0,0,2
Hipposideros caffer,2,2,17,17
Triaenops afer,1,0,0,26
Nycteris thebaica,2,0,0,6
Rhinolophus lobatus,2,0,0,6
Miniopterus mossambicus,1,0,0,8
Rhinolophus rhodesiae,4,0,0,11
Rhinolophus hipposideros,2,1,29,30
Myotis bechsteinii,1,0,0,1
Scotophilus kuhlii,5,1,1,750
Pipistrellus coromandra,3,0,0,4
Hipposideros diadema,1,0,0,4
Ptenochirus jagori,1,0,0,1
Hypsugo savii,2,1,10,11
Pipistrellus pygmaeus,3,1,1,17
Plecotus auritus,1,1,4,4
Myotis crypticus,1,0,0,2
Pipistrellus kuhlii,6,1,10,27
Molossus molossus,2,0,0,8
Rhinolophus subbadius,1,0,0,3
Myotis daubentonii,9,1,1,162
Rhinolophus clivosus,1,1,3,3
Pteropus rufus,1,0,0,22
Pipistrellus nathusii,3,1,22,31
Pipistrellus pipistrellus,7,1,5,46
Hipposideros armiger,12,2,7,24
Aselliscus stoliczkanus,4,1,4,12
Miniopterus fuscus,3,0,0,14
Eonycteris spelaea,4,0,0,113
Eidolon dupreanum,1,0,0,2
Hipposideros pratti,3,1,1,38
Myotis welwitschii,1,0,0,2
Otomops martiensseni,1,0,0,26
Rhinolophus pearsoni,4,1,1,4
Rhinolophus rex,2,1,3,10
Myotis siligorensis,2,0,0,13
Myotis davidii,4,0,0,19
Ia io,2,1,5,6
Artibeus cinereus,1,0,0,1
Artibeus lituratus,7,0,0,12
Chalinolobus tuberculatus,7,0,0,8
Myotis petax,4,0,0,11
Hypsugo alaschanicus,1,0,0,1
Myotis macropus,3,0,0,5
Myotis myotis,5,0,0,38
Rhinolophus shameli,5,1,1,8
Hipposideros lekaguli,4,0,0,23
Cynopterus sphinx,5,0,0,42
Rhinolophus coelophyllus,1,0,0,4
Rhinolophus malayanus,6,1,8,16
Rhinolophus marshalli,1,1,2,2
Myotis brandtii,2,0,0,3
Nyctalus noctula,3,1,1,7
Vespertilio murinus,4,2,4,6
Pteropus giganteus,5,1,1,20
Rousettus amplexicaudatus,1,0,0,21
Chaerephon plicatus,2,1,1,6
Hipposideros cineraceus,2,0,0,2
Hipposideros larvatus,5,1,1,62
Murina cyclotis,1,0,0,1
Myotis laniger,3,0,0,8
Myotis muricola,1,0,0,1
Rhinolophus stheno,3,1,9,12
Artibeus planirostris,1,0,0,3
Carollia perspicillata,5,1,1,32
Lonchorhina aurita,2,0,0,2
Phyllostomus discolor,1,0,0,25
Phyllostomus hastatus,1,0,0,1
Platyrrhinus lineatus,1,0,0,1
Sturnira lilium,8,1,2,21
Chaerephon leucogaster,1,0,0,1
Macroglossus minimus,1,0,0,2
Miniopterus minor,1,0,0,4
Myotis macrodactylus,2,0,0,7
Chalinolobus gouldii,2,0,0,5
Eptesicus regulus,1,0,0,5
Chalinolobus morio,1,0,0,2
Vespadelus baverstocki,1,0,0,1
Falsistrellus mackenziei,1,0,0,1
Artibeus jamaicensis,4,0,0,7
Pteropus lylei,3,0,0,86
Myotis capaccinii,1,0,0,12
Myotis emarginatus,5,2,5,30
Myotis dasycneme,2,0,0,14
Neoromicia capensis,5,1,37,111
Pipistrellus hesperidus,1,1,6,6
Miniopterus natalensis,1,0,0,52
Neoromicia nanus,2,0,0,2
Scotophilus dinganii,2,0,0,5
Rhinolophus simulator,2,0,0,2
Rhinolophus euryale,5,1,20,28
Eptesicus nilssonii,1,1,1,1
Hipposideros abae,1,1,11,11
Cynopterus brachyotis,2,0,0,37
Taphozous melanopogon,2,0,0,2
Scotophilus heathii,4,0,0,14
Rhinolophus blasii,2,1,6,9
Miniopterus magnatus,2,0,0,62
Rhinolophus mehelyi,3,1,11,21
Nyctalus leisleri,1,0,0,1
Carollia brevicauda,1,0,0,2
Molossus rufus,1,0,0,13
Molossus currentium,1,0,0,1
Megaderma lyra,1,0,0,8
Myotis flavus,1,0,0,1
Pteropus vampyrus,3,0,0,3
Rhinolophus smithersi,1,0,0,1
Rhinolophus monoceros,4,1,29,40
Cardioderma cor,1,0,0,1
Hipposideros commersoni,1,0,0,1
Hipposideros vittatus,1,1,1,1
Miniopterus inflatus,1,0,0,20
Miniopterus africanus,1,0,0,1
Epomophorus labiatus,1,0,0,5
Myotis adversus,2,0,0,6
Myotis longipes,2,0,0,3
Nyctalus velutinus,1,0,0,1
Vespertilio superans,1,1,1,1
Myotis horsfieldii,4,0,0,16
Myotis fimbriatus,4,0,0,28
Myotis pequinius,1,1,3,3
Hypsignathus monstrosus,2,0,0,9
Coleura afra,1,1,1,1
Epomophorus pusillus,1,0,0,5
Nanonycteris veldkampii,1,0,0,1
Megaloglossus woermanni,2,0,0,17
Myonycteris torquata,1,0,0,6
Rhinopoma hardwickii,7,2,5,16
Taphozous perforatus,2,2,2,2
Hipposideros curtus,1,1,2,2
Nycteris tragata,1,0,0,1
Rhinonicteris aurantia,1,0,0,1
Miniopterus australis,1,0,0,3
Rhinolophus megaphyllus,1,0,0,1
Pteropus poliocephalus,1,0,0,2
Kerivoula titania,2,0,0,2
Diphylla ecaudata,1,0,0,2
Eptesicus isabellinus,2,1,1,2
Eptesicus japonensis,1,1,5,5
Eumops glaucinus,1,1,1,1
Rhinolophus luctus,1,1,1,1
Rhinolophus siamensis,2,1,3,4
Dobsonia moluccensis,1,0,0,3
Rhinolophus cornutus,3,1,15,18
Murina leucogaster,1,0,0,6
Sturnira parvidens,2,0,0,4
Myotis ikonnikovi,2,0,0,2
Myotis oxygnathus,1,0,0,1
Nyctalus lasiopterus,1,0,0,5
Mystacina tuberculata,1,0,0,4
Hypsugo pulveratus,2,1,9,10
Carollia sowelli,1,0,0,1
Nyctinomops laticaudatus,1,1,1,1
Rhinolophus blythi,1,1,1,1
Triaenops persicus,2,0,0,47
Hipposideros cervinus,1,0,0,1
Nyctalus plancyi,2,0,0,10
Scotophilus leucogaster,3,0,0,11
Pipistrellus inexspectatus,2,1,1,3
Pteropus alecto,3,1,1,11
Dyacopterus spadiceus,1,0,0,2
Cynopterus horsfieldii,1,0,0,4
Macroglossus sobrinus,1,0,0,1
Gardnerycteris crenulatum,1,0,0,1
Epomops buettikoferi,1,0,0,2
Anoura caudifer,1,0,0,2
Lichonycteris obscura,1,0,0,1
Megaerops niphanae,1,0,0,1
Scotophilus nux,1,0,0,1
Hipposideros bicolor,1,0,0,1
Mesophylla macconnelli,1,0,0,1
Sturnira erythromos,1,0,0,1
Rhinolophus creaghi,1,0,0,1
Hipposideros galeritus,1,0,0,2
Myonycteris angolensis,1,0,0,1
Neoromicia somalica,1,0,0,1
Acerodon celebensis,1,0,0,1
Dobsonia exoleta,1,0,0,4
Megaerops ecaudatus,1,0,0,1
Pteropus dasymallus,1,0,0,2
Rhinolophus acuminatus,1,1,5,5
Tadarida brasiliensis,1,0,0,1
Otomops harrisoni,1,0,0,3
Hipposideros terasensis,1,0,0,1
Myotis punicus,1,0,0,2
Megaerops kusnotoi,1,0,0,1
Tylonycteris fulvida,1,0,0,1
Murina huttoni,1,0,0,1
