Host,Zoonotic Sequence Number,EWM_rank,EWM_CRS,VD_norm,ZSC_norm,ZSN_corrected_norm,VS_ln_norm,CRS_P90,VD_P90,VD_P95,passes_CRS_P90_floor,passes_ZSN_floor,passes_path_A,passes_path_B,final_selected,selection_path,exclusion_reason
Rhinolophus sinicus,359,1,0.775521,0.583333,0.5,1.0,0.886012,0.2927,0.333333,0.583333,True,True,False,True,True,Path B,Selected via Path B.
Rhinolophus ferrumequinum,181,2,0.766361,0.916667,1.0,0.550184,0.802597,0.2927,0.333333,0.583333,True,True,True,False,True,Path A,Selected via Path A.
Miniopterus schreibersii,4,3,0.546976,1.0,1.0,0.012526,0.775762,0.2927,0.333333,0.583333,True,True,True,False,True,Path A,Selected via Path A.
Rhinolophus pusillus,116,4,0.521202,0.75,0.5,0.362477,0.777697,0.2927,0.333333,0.583333,True,True,False,True,True,Path B,Selected via Path B.
Eptesicus serotinus,40,5,0.504807,0.583333,1.0,0.165447,0.560261,0.2927,0.333333,0.583333,True,True,True,False,True,Path A,Selected via Path A.
Hipposideros armiger,7,6,0.501413,0.916667,1.0,0.037548,0.406483,0.2927,0.333333,0.583333,True,True,True,False,True,Path A,Selected via Path A.
Pipistrellus abramus,11,7,0.471928,0.583333,1.0,0.03397,0.788244,0.2927,0.333333,0.583333,True,True,True,False,True,Path A,Selected via Path A.
Hipposideros ruber,123,8,0.456663,0.333333,0.5,0.437696,0.669319,0.2927,0.333333,0.583333,True,True,False,False,False,Not selected,Excluded: ZSC_norm = 0.50 but VD_norm below P95.
Rhinopoma hardwickii,5,9,0.406036,0.5,1.0,0.030471,0.344416,0.2927,0.333333,0.583333,True,True,True,False,True,Path A,Selected via Path A.
Rhinolophus affinis,48,10,0.396341,0.583333,0.5,0.142325,0.825591,0.2927,0.333333,0.583333,True,True,False,True,True,Path B,Selected via Path B.
Myotis emarginatus,5,11,0.379731,0.333333,1.0,0.02514,0.441103,0.2927,0.333333,0.583333,True,True,True,False,True,Path A,Selected via Path A.
Myotis blythii,10,12,0.370485,0.25,1.0,0.055066,0.393064,0.2927,0.333333,0.583333,True,True,False,False,False,Not selected,Excluded: ZSC_norm = 1.00 but VD_norm below P90.
Hipposideros caffer,17,13,0.352212,0.083333,1.0,0.101551,0.353615,0.2927,0.333333,0.583333,True,True,False,False,False,Not selected,Excluded: ZSC_norm = 1.00 but VD_norm below P90.
Myotis ricketti,2,14,0.350084,0.666667,0.5,0.006193,0.785824,0.2927,0.333333,0.583333,True,True,False,True,True,Path B,Selected via Path B.
Vespertilio murinus,4,15,0.341604,0.25,1.0,0.035492,0.201616,0.2927,0.333333,0.583333,True,True,False,False,False,Not selected,Excluded: ZSC_norm = 1.00 but VD_norm below P90.
Myotis daubentonii,1,16,0.340608,0.666667,0.5,0.00339,0.70822,0.2927,0.333333,0.583333,True,False,False,False,False,Not selected,Excluded: zoonotic sequence evidence below the minimum repeated-sequence floor of 2.
Vespertilio sinensis,65,17,0.336355,0.166667,0.5,0.262421,0.576721,0.2927,0.333333,0.583333,True,True,False,False,False,Not selected,Excluded: ZSC_norm = 0.50 but VD_norm below P95.
Desmodus rotundus,3,18,0.330406,0.166667,1.0,0.019127,0.324273,0.2927,0.333333,0.583333,True,True,False,False,False,Not selected,Excluded: ZSC_norm = 1.00 but VD_norm below P90.
Neoromicia capensis,37,19,0.322993,0.333333,0.5,0.135391,0.647828,0.2927,0.333333,0.583333,True,True,False,False,False,Not selected,Excluded: ZSC_norm = 0.50 but VD_norm below P95.
Hipposideros pomona,3,20,0.315911,0.583333,0.5,0.011659,0.603434,0.2927,0.333333,0.583333,True,True,False,True,True,Path B,Selected via Path B.
Rhinolophus thomasi,36,21,0.302238,0.25,0.5,0.156556,0.527414,0.2927,0.333333,0.583333,True,True,False,False,False,Not selected,Excluded: ZSC_norm = 0.50 but VD_norm below P95.
Scotophilus kuhlii,1,22,0.297875,0.333333,0.5,0.002608,0.954077,0.2927,0.333333,0.583333,True,False,False,False,False,Not selected,Excluded: zoonotic sequence evidence below the minimum repeated-sequence floor of 2.
Pipistrellus pipistrellus,5,23,0.293302,0.5,0.5,0.022422,0.508078,0.2927,0.333333,0.583333,True,True,False,False,False,Not selected,Excluded: ZSC_norm = 0.50 but VD_norm below P95.
Sturnira lilium,2,24,0.29255,0.583333,0.5,0.011172,0.38591,0.2927,0.333333,0.583333,False,True,False,True,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Taphozous perforatus,2,25,0.291051,0.083333,1.0,0.031432,0.065254,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus monoceros,29,26,0.2884,0.25,0.5,0.134833,0.486098,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus euryale,20,27,0.285578,0.333333,0.5,0.102551,0.43037,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pipistrellus kuhlii,10,28,0.280067,0.416667,0.5,0.051815,0.424722,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rousettus aegyptiacus,2,29,0.27887,0.333333,0.5,0.006376,0.760098,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Tylonycteris pachypus,2,30,0.275441,0.333333,0.5,0.006629,0.726847,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus malayanus,8,31,0.27019,0.416667,0.5,0.048753,0.344416,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros larvatus,1,32,0.256108,0.333333,0.5,0.004167,0.555231,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pipistrellus nathusii,22,33,0.256051,0.166667,0.5,0.109602,0.446212,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus hipposideros,29,34,0.254104,0.083333,0.5,0.145811,0.441103,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Carollia perspicillata,1,35,0.245368,0.333333,0.5,0.004938,0.451165,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pteropus giganteus,1,36,0.237946,0.333333,0.5,0.005671,0.378424,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus cornutus,15,37,0.237716,0.166667,0.5,0.087959,0.362316,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus mehelyi,11,38,0.228704,0.166667,0.5,0.061444,0.38591,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus shameli,1,39,0.224385,0.333333,0.5,0.007858,0.242062,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Aselliscus stoliczkanus,4,40,0.221831,0.25,0.5,0.026926,0.301242,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus stheno,9,41,0.219319,0.166667,0.5,0.060584,0.301242,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus macrotis,3,42,0.215412,0.25,0.5,0.022496,0.259018,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros pratti,1,43,0.213853,0.166667,0.5,0.004713,0.47805,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hypsugo savii,10,44,0.204677,0.083333,0.5,0.069483,0.288361,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pipistrellus pygmaeus,1,45,0.201159,0.166667,0.5,0.005974,0.353615,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hypsugo pulveratus,9,46,0.201153,0.083333,0.5,0.064804,0.274357,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus pearsoni,1,47,0.198426,0.25,0.5,0.010728,0.147465,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pteropus alecto,1,48,0.194638,0.166667,0.5,0.006948,0.288361,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Miniopterus fuliginosus,0,49,0.19249,0.583333,0.0,0.0,0.681425,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus blasii,6,50,0.19091,0.083333,0.5,0.044991,0.259018,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros abae,11,51,0.190558,0.0,0.5,0.076432,0.288361,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Nyctalus noctula,1,52,0.188283,0.166667,0.5,0.008303,0.223106,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Ia io,5,53,0.184529,0.083333,0.5,0.044365,0.201616,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus rex,3,54,0.182377,0.083333,0.5,0.021601,0.274357,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus siamensis,3,55,0.173473,0.083333,0.5,0.032184,0.147465,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pipistrellus hesperidus,6,56,0.171246,0.0,0.5,0.053238,0.201616,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Chaerephon plicatus,1,57,0.169104,0.083333,0.5,0.008873,0.201616,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Eptesicus japonensis,5,58,0.166409,0.0,0.5,0.048182,0.176807,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus acuminatus,5,59,0.166409,0.0,0.5,0.048182,0.176807,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pipistrellus inexspectatus,1,60,0.161077,0.083333,0.5,0.012455,0.111553,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Plecotus auritus,4,61,0.160996,0.0,0.5,0.042912,0.147465,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Eidolon helvum,0,62,0.157837,0.25,0.0,0.0,1.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Eptesicus isabellinus,1,63,0.157567,0.083333,0.5,0.015716,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros gigas,1,64,0.157567,0.083333,0.5,0.015716,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis pequinius,3,65,0.154763,0.0,0.5,0.037364,0.111553,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus clivosus,3,66,0.154763,0.0,0.5,0.037364,0.111553,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros curtus,2,67,0.147258,0.0,0.5,0.031432,0.065254,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus marshalli,2,68,0.147258,0.0,0.5,0.031432,0.065254,0.2927,0.333333,0.583333,False,True,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Coleura afra,1,69,0.137479,0.0,0.5,0.02491,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Eptesicus nilssonii,1,70,0.137479,0.0,0.5,0.02491,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Eumops glaucinus,1,71,0.137479,0.0,0.5,0.02491,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros vittatus,1,72,0.137479,0.0,0.5,0.02491,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Nyctinomops laticaudatus,1,73,0.137479,0.0,0.5,0.02491,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus blythi,1,74,0.137479,0.0,0.5,0.02491,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus luctus,1,75,0.137479,0.0,0.5,0.02491,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Vespertilio superans,1,76,0.137479,0.0,0.5,0.02491,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Artibeus lituratus,0,77,0.134893,0.5,0.0,0.0,0.301242,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Mops condylurus,0,78,0.130544,0.25,0.0,0.0,0.743539,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Chalinolobus tuberculatus,0,79,0.128595,0.5,0.0,0.0,0.242062,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Miniopterus pusillus,0,80,0.126034,0.25,0.0,0.0,0.701156,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Cynopterus sphinx,0,81,0.121102,0.333333,0.0,0.0,0.493764,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Eonycteris spelaea,0,82,0.120662,0.25,0.0,0.0,0.650677,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis myotis,0,83,0.11943,0.333333,0.0,0.0,0.47805,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Epomophorus gambianus,0,84,0.110765,0.166667,0.0,0.0,0.71873,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rousettus leschenaultii,0,85,0.103821,0.166667,0.0,0.0,0.653476,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pteropus lylei,0,86,0.098894,0.166667,0.0,0.0,0.607177,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis fimbriatus,0,87,0.097217,0.25,0.0,0.0,0.43037,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros lekaguli,0,88,0.093976,0.25,0.0,0.0,0.399914,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis davidii,0,89,0.090853,0.25,0.0,0.0,0.370571,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis horsfieldii,0,90,0.08807,0.25,0.0,0.0,0.344416,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Scotophilus heathii,0,91,0.085926,0.25,0.0,0.0,0.324273,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
