Host,Viral Diversity_norm,Zoonotic Species Count_norm,ZSN_corrected_norm,VS_log_norm,CRS
Rhinolophus sinicus,0.583333,0.5,1.0,0.886012,0.775521
Rhinolophus ferrumequinum,0.916667,1.0,0.550184,0.802597,0.766361
Miniopterus schreibersii,1.0,1.0,0.012526,0.775762,0.546976
Rhinolophus pusillus,0.75,0.5,0.362477,0.777697,0.521202
Eptesicus serotinus,0.583333,1.0,0.165447,0.560261,0.504807
Hipposideros armiger,0.916667,1.0,0.037548,0.406483,0.501413
Pipistrellus abramus,0.583333,1.0,0.03397,0.788244,0.471928
Rhinopoma hardwickii,0.5,1.0,0.030471,0.344416,0.406036
Rhinolophus affinis,0.583333,0.5,0.142325,0.825591,0.396341
Myotis emarginatus,0.333333,1.0,0.02514,0.441103,0.379731
Myotis ricketti,0.666667,0.5,0.006193,0.785824,0.350084
Hipposideros pomona,0.583333,0.5,0.011659,0.603434,0.315911
