Host,Viral Diversity,Zoonotic Species Count,Zoonotic Sequence Number,Viral Sequence Count,VD_norm,ZSC_norm,ZSN_corrected,ZSN_corrected_norm,VS_ln,VS_ln_norm,EWM_CRS,EWM_rank
Rhinolophus sinicus,8,1,359,491,0.583333,0.5,57.917437,1.0,6.198479,0.886012,0.775521,1
Rhinolophus ferrumequinum,12,2,181,292,0.916667,1.0,31.865229,0.550184,5.680173,0.802597,0.766361,2
Miniopterus schreibersii,13,2,4,247,1.0,1.0,0.725501,0.012526,5.513429,0.775762,0.546976,3
Rhinolophus pusillus,10,1,116,250,0.75,0.5,20.993754,0.362477,5.525453,0.777697,0.521202,4
Eptesicus serotinus,8,2,40,64,0.583333,1.0,9.582245,0.165447,4.174387,0.560261,0.504807,5
Hipposideros armiger,12,2,7,24,0.916667,1.0,2.174672,0.037548,3.218876,0.406483,0.501413,6
Pipistrellus abramus,8,2,11,267,0.583333,1.0,1.967452,0.03397,5.590987,0.788244,0.471928,7
Hipposideros ruber,5,1,123,127,0.333333,0.5,25.350213,0.437696,4.85203,0.669319,0.456663,8
Rhinopoma hardwickii,7,2,5,16,0.5,1.0,1.764781,0.030471,2.833213,0.344416,0.406036,9
Rhinolophus affinis,8,1,48,337,0.583333,0.5,8.243109,0.142325,5.823046,0.825591,0.396341,10
Myotis emarginatus,5,2,5,30,0.333333,1.0,1.456033,0.02514,3.433987,0.441103,0.379731,11
Myotis blythii,4,2,10,22,0.25,1.0,3.18929,0.055066,3.135494,0.393064,0.370485,12
Hipposideros caffer,2,2,17,17,0.083333,1.0,5.881596,0.101551,2.890372,0.353615,0.352212,13
Myotis ricketti,9,1,2,263,0.666667,0.5,0.358683,0.006193,5.575949,0.785824,0.350084,14
Vespertilio murinus,4,2,4,6,0.25,1.0,2.055593,0.035492,1.94591,0.201616,0.341604,15
Myotis daubentonii,9,1,1,162,0.666667,0.5,0.196319,0.00339,5.09375,0.70822,0.340608,16
Vespertilio sinensis,3,1,65,71,0.166667,0.5,15.198755,0.262421,4.276666,0.576721,0.336355,17
Desmodus rotundus,3,2,3,14,0.166667,1.0,1.107808,0.019127,2.70805,0.324273,0.330406,18
Neoromicia capensis,5,1,37,111,0.333333,0.5,7.841477,0.135391,4.718499,0.647828,0.322993,19
Hipposideros pomona,8,1,3,84,0.583333,0.5,0.675272,0.011659,4.442651,0.603434,0.315911,20
Rhinolophus thomasi,4,1,36,52,0.25,0.5,9.067343,0.156556,3.970292,0.527414,0.302238,21
Scotophilus kuhlii,5,1,1,750,0.333333,0.5,0.151025,0.002608,6.621406,0.954077,0.297875,22
Pipistrellus pipistrellus,7,1,5,46,0.5,0.5,1.298652,0.022422,3.850148,0.508078,0.293302,23
Sturnira lilium,8,1,2,21,0.583333,0.5,0.647031,0.011172,3.091042,0.38591,0.29255,24
Taphozous perforatus,2,2,2,2,0.083333,1.0,1.820478,0.031432,1.098612,0.065254,0.291051,25
Rhinolophus monoceros,4,1,29,40,0.25,0.5,7.809193,0.134833,3.713572,0.486098,0.2884,26
Rhinolophus euryale,5,1,20,28,0.333333,0.5,5.939484,0.102551,3.367296,0.43037,0.285578,27
Pipistrellus kuhlii,6,1,10,27,0.416667,0.5,3.001016,0.051815,3.332205,0.424722,0.280067,28
Rousettus aegyptiacus,5,1,2,224,0.333333,0.5,0.369269,0.006376,5.4161,0.760098,0.27887,29
Tylonycteris pachypus,5,1,2,182,0.333333,0.5,0.383915,0.006629,5.209486,0.726847,0.275441,30
Rhinolophus malayanus,6,1,8,16,0.416667,0.5,2.823649,0.048753,2.833213,0.344416,0.27019,31
Hipposideros larvatus,5,1,1,62,0.333333,0.5,0.241363,0.004167,4.143135,0.555231,0.256108,32
Pipistrellus nathusii,3,1,22,31,0.166667,0.5,6.347858,0.109602,3.465736,0.446212,0.256051,33
Rhinolophus hipposideros,2,1,29,30,0.083333,0.5,8.444994,0.145811,3.433987,0.441103,0.254104,34
Carollia perspicillata,5,1,1,32,0.333333,0.5,0.286,0.004938,3.496508,0.451165,0.245368,35
Pteropus giganteus,5,1,1,20,0.333333,0.5,0.328459,0.005671,3.044522,0.378424,0.237946,36
Rhinolophus cornutus,3,1,15,18,0.166667,0.5,5.094349,0.087959,2.944439,0.362316,0.237716,37
Rhinolophus mehelyi,3,1,11,21,0.166667,0.5,3.55867,0.061444,3.091042,0.38591,0.228704,38
Rhinolophus shameli,5,1,1,8,0.333333,0.5,0.45512,0.007858,2.197225,0.242062,0.224385,39
Aselliscus stoliczkanus,4,1,4,12,0.25,0.5,1.559485,0.026926,2.564949,0.301242,0.221831,40
