Sequence_ID,Cluster_ID,SampleGroup,Terrain
IPB24E-196_NODE_3_length_41874_cov_145.895130,Cluster0,IPB24E-196,Mountain
IPB24A-6_NODE_54_length_1522_cov_15.903943,Cluster0,IPB24A-6,Mountain
IPB6H-18_NODE_20_length_14974_cov_18.235738,Cluster0,IPB6D-6,Mountain
IPB24A-13_NODE_447_length_1086_cov_29.842544,Cluster0,IPB24A-13,Mountain
IPB24E-183_NODE_246_length_3576_cov_11.784285,Cluster0,IPB24E-183,Mountain
IPB24E-194_NODE_1605_length_1037_cov_1.285714,Cluster0,IPB24E-194,Mountain
IPB24E-195_NODE_65_length_2730_cov_6.965040,Cluster0,IPB24E-195,Mountain
IPB24E-183_NODE_1136_length_1574_cov_12.605390,Cluster0,IPB24E-183,Mountain
IPB6D-5_NODE_1970_length_1293_cov_0.800172,Cluster0,IPB6D-5,Mountain
IPB24E-195_NODE_70_length_2635_cov_9.925439,Cluster0,IPB24E-195,Mountain
IPB24A-7_NODE_262_length_1005_cov_1.468109,Cluster0,IPB24A-7,Mountain
IPB24A-5_NODE_161_length_1278_cov_5.522155,Cluster0,IPB24A-5,Mountain
IPB24E-199_NODE_134_length_1992_cov_25.705630,Cluster0,IPB24E-199,Mountain
IPB24A-5_NODE_185_length_1216_cov_2.765840,Cluster0,IPB24A-5,Mountain
IPB6D-5_NODE_117_length_2030_cov_0.834997,Cluster0,IPB6D-5,Mountain
IPB24G-212_NODE_1202_length_1505_cov_2.121916,Cluster0,IPB24G-212,Mountain
IPB6D-5_NODE_2435_length_1241_cov_0.863555,Cluster0,IPB6D-5,Mountain
IPB24E-195_NODE_38_length_3908_cov_17.707749,Cluster0,IPB24E-195,Mountain
IPB24A-9_NODE_66_length_1223_cov_17.781934,Cluster0,IPB24A-9,Plain
IPB24E-174_NODE_57_length_1942_cov_427.772452,Cluster0,IPB24E-174,Hill
IPB6H-19_NODE_24_length_5493_cov_1.207976,Cluster0,IPB6D-7,Mountain
IPB24E-192_NODE_136_length_2061_cov_16.111169,Cluster0,IPB24E-192,Mountain
IPB24E-179_NODE_129_length_2058_cov_1.713102,Cluster0,IPB24E-179,Mountain
IPB24E-179_NODE_57_length_2943_cov_1.482244,Cluster0,IPB24E-179,Mountain
IPB6D-5_NODE_2474_length_1237_cov_0.550450,Cluster0,IPB6D-5,Mountain
IPB24E-175_NODE_178_length_4125_cov_13.973237,Cluster0,IPB24E-175,Mountain
IPB24G-195_NODE_36_length_3791_cov_10.817413,Cluster0,IPB24E-195,Mountain
IPB24G-195_NODE_31_length_4024_cov_12.235822,Cluster0,IPB24E-195,Mountain
IPB24E-175_NODE_255_length_3191_cov_6.866514,Cluster0,IPB24E-175,Mountain
IPB24E-171_NODE_635_length_1208_cov_3.328400,Cluster0,IPB24E-171,Mountain
IPB24E-183_NODE_1971_length_1116_cov_3.047523,Cluster0,IPB24E-183,Mountain
IPB6D-6_NODE_3287_length_1086_cov_1.803962,Cluster0,IPB6D-6,Mountain
IPB24E-195_NODE_91_length_2374_cov_3.673342,Cluster0,IPB24E-195,Mountain
IPB24A-11_NODE_183_length_1166_cov_26.133782,Cluster0,IPB24A-11,Mountain
IPB24E-198_NODE_3_length_42964_cov_273.357822,Cluster0,IPB24E-198,Mountain
IPB24G-199_NODE_71_length_2415_cov_81.981643,Cluster0,IPB24E-199,Mountain
IPB24G-195_NODE_279_length_1574_cov_7.326883,Cluster0,IPB24E-195,Mountain
IPB6D-6_NODE_139_length_1796_cov_1.773517,Cluster0,IPB6D-6,Mountain
IPB24E-174_NODE_18_length_5706_cov_170.513354,Cluster0,IPB24E-174,Hill
IPB24G-222_NODE_1814_length_1204_cov_5.163417,Cluster0,IPB24G-222,Mountain
IPB24E-175_NODE_1194_length_1409_cov_8.119345,Cluster0,IPB24E-175,Mountain
IPB6H-19_NODE_25_length_5389_cov_1.552832,Cluster0,IPB6D-7,Mountain
IPB24E-174_NODE_187_length_1033_cov_311.301325,Cluster0,IPB24E-174,Hill
IPB24E-177_NODE_167_length_1903_cov_50.957207,Cluster0,IPB24E-177,Mountain
IPB24E-194_NODE_196_length_2402_cov_2.667253,Cluster0,IPB24E-194,Mountain
IPB6H-18_NODE_111_length_3789_cov_15.304752,Cluster0,IPB6D-6,Mountain
IPB24E-199_NODE_209_length_1683_cov_68.274422,Cluster0,IPB24E-199,Mountain
IPB24E-200_NODE_4_length_29912_cov_130.565721,Cluster0,IPB24E-200,Mountain
IPB24G-195_NODE_83_length_2636_cov_11.610602,Cluster0,IPB24E-195,Mountain
IPB24E-183_NODE_635_length_2171_cov_7.524951,Cluster0,IPB24E-183,Mountain
IPB24E-172_NODE_353_length_1355_cov_0.540717,Cluster0,IPB24E-172,Mountain
IPB24E-194_NODE_1518_length_1069_cov_1.457537,Cluster0,IPB24E-194,Mountain
IPB24G-209_NODE_188_length_1606_cov_3.295470,Cluster0,IPB24G-209,Mountain
IPB6H-19_NODE_82_length_2324_cov_1.812016,Cluster0,IPB6D-7,Mountain
IPB24E-194_NODE_465_length_1730_cov_1.706800,Cluster0,IPB24E-194,Mountain
IPB24E-183_NODE_280_length_3300_cov_12.460763,Cluster0,IPB24E-183,Mountain
IPB6H-18_NODE_2472_length_1462_cov_30.102622,Cluster0,IPB6D-6,Mountain
IPB6H-19_NODE_232_length_1242_cov_1.803587,Cluster0,IPB6D-7,Mountain
IPB24E-175_NODE_120_length_5131_cov_13.203437,Cluster0,IPB24E-175,Mountain
IPB6D-5_NODE_78_length_2205_cov_1.512031,Cluster0,IPB6D-5,Mountain
IPB24A-5_NODE_158_length_1288_cov_10.553833,Cluster0,IPB24A-5,Mountain
IPB24E-192_NODE_104_length_2251_cov_42.959510,Cluster0,IPB24E-192,Mountain
IPB24G-195_NODE_465_length_1286_cov_7.109577,Cluster0,IPB24E-195,Mountain
IPB6H-19_NODE_53_length_3059_cov_1.032401,Cluster0,IPB6D-7,Mountain
IPB24G-203_NODE_379_length_1792_cov_0.936937,Cluster0,IPB24G-203,Mountain
IPB24E-194_NODE_1045_length_1273_cov_2.132635,Cluster0,IPB24E-194,Mountain
IPB24E-200_NODE_12_length_12048_cov_83.060146,Cluster0,IPB24E-200,Mountain
IPB24G-202_NODE_703_length_1422_cov_3.789961,Cluster0,IPB24G-202,Mountain
IPB24G-204_NODE_125_length_1785_cov_3.711701,Cluster0,IPB24G-204,Mountain
IPB24E-172_NODE_118_length_2274_cov_1.003260,Cluster0,IPB24E-172,Mountain
IPB24E-182_NODE_86_length_2699_cov_50.674961,Cluster0,IPB24E-182,Mountain
IPB6H-19_NODE_128_length_1714_cov_0.986137,Cluster0,IPB6D-7,Mountain
IPB24E-199_NODE_37_length_3445_cov_90.413803,Cluster0,IPB24E-199,Mountain
IPB24E-174_NODE_58_length_1933_cov_320.637320,Cluster0,IPB24E-174,Hill
IPB24E-197_NODE_1_length_91584_cov_189.029271,Cluster0,IPB24E-197,Mountain
IPB24E-192_NODE_283_length_1643_cov_32.507916,Cluster0,IPB24E-192,Mountain
IPB24E-174_NODE_24_length_4518_cov_303.637212,Cluster0,IPB24E-174,Hill
IPB24E-191_NODE_341_length_1418_cov_0.803253,Cluster0,IPB24E-191,Mountain
IPB24E-179_NODE_119_length_2109_cov_1.123108,Cluster0,IPB24E-179,Mountain
IPB24G-202_NODE_46_length_4915_cov_4.354010,Cluster0,IPB24G-202,Mountain
IPB24E-183_NODE_857_length_1844_cov_10.185789,Cluster0,IPB24E-183,Mountain
IPB6H-19_NODE_36_length_4234_cov_1.907475,Cluster0,IPB6D-7,Mountain
IPB24A-13_NODE_216_length_1387_cov_16.932540,Cluster0,IPB24A-13,Mountain
IPB24E-182_NODE_27_length_6352_cov_77.182008,Cluster0,IPB24E-182,Mountain
IPB24E-188_NODE_541_length_1558_cov_2.368973,Cluster0,IPB24E-188,Mountain
IPB6H-18_NODE_70_length_5525_cov_20.048907,Cluster0,IPB6D-6,Mountain
IPB24E-172_NODE_506_length_1191_cov_1.078947,Cluster0,IPB24E-172,Mountain
IPB24G-202_NODE_372_length_1766_cov_3.257474,Cluster0,IPB24G-202,Mountain
IPB24E-179_NODE_146_length_2004_cov_1.688865,Cluster0,IPB24E-179,Mountain
IPB24E-192_NODE_347_length_1520_cov_34.925341,Cluster0,IPB24E-192,Mountain
IPB24G-202_NODE_32_length_6239_cov_3.785504,Cluster0,IPB24G-202,Mountain
IPB24A-10_NODE_47_length_2013_cov_165.897137,Cluster0,IPB24A-10,Mountain
IPB24G-195_NODE_365_length_1421_cov_10.641422,Cluster0,IPB24E-195,Mountain
IPB6D-12_NODE_1033_length_1337_cov_34.231405,Cluster0,IPB6D-12,Mountain
IPB6H-17_NODE_952_length_1705_cov_5.648923,Cluster0,IPB6D-5,Mountain
IPB24A-15_NODE_347_length_1165_cov_7.431599,Cluster0,IPB24A-15,Mountain
IPB24A-11_NODE_72_length_1766_cov_12.767541,Cluster0,IPB24A-11,Mountain
IPB24E-174_NODE_23_length_4605_cov_71.882760,Cluster0,IPB24E-174,Hill
IPB24E-199_NODE_10_length_6589_cov_31.902971,Cluster0,IPB24E-199,Mountain
IPB24E-192_NODE_405_length_1437_cov_32.654198,Cluster0,IPB24E-192,Mountain
IPB24E-195_NODE_458_length_1283_cov_4.692042,Cluster0,IPB24E-195,Mountain
IPB24E-183_NODE_61_length_6988_cov_15.246174,Cluster0,IPB24E-183,Mountain
IPB24G-199_NODE_18_length_4907_cov_43.999372,Cluster0,IPB24E-199,Mountain
IPB24E-194_NODE_1141_length_1224_cov_1.379216,Cluster0,IPB24E-194,Mountain
IPB24E-177_NODE_403_length_1323_cov_50.069398,Cluster0,IPB24E-177,Mountain
IPB24E-195_NODE_526_length_1201_cov_12.835196,Cluster0,IPB24E-195,Mountain
IPB6H-17_NODE_656_length_1896_cov_2.250989,Cluster0,IPB6D-5,Mountain
IPB24E-195_NODE_177_length_1832_cov_4.503226,Cluster0,IPB24E-195,Mountain
IPB24E-183_NODE_587_length_2252_cov_5.575059,Cluster0,IPB24E-183,Mountain
IPB24G-199_NODE_173_length_1861_cov_59.255479,Cluster0,IPB24E-199,Mountain
IPB6H-17_NODE_215_length_2770_cov_6.261824,Cluster0,IPB6D-5,Mountain
IPB24E-179_NODE_95_length_2302_cov_0.926897,Cluster0,IPB24E-179,Mountain
IPB24E-183_NODE_87_length_6200_cov_7.031121,Cluster0,IPB24E-183,Mountain
IPB24G-202_NODE_66_length_3718_cov_3.239209,Cluster0,IPB24G-202,Mountain
IPB24G-202_NODE_67_length_3697_cov_3.051261,Cluster0,IPB24G-202,Mountain
IPB24E-194_NODE_251_length_2185_cov_1.006803,Cluster0,IPB24E-194,Mountain
IPB24E-175_NODE_130_length_4835_cov_12.712617,Cluster0,IPB24E-175,Mountain
IPB24E-174_NODE_33_length_3120_cov_203.108587,Cluster0,IPB24E-174,Hill
IPB24E-182_NODE_242_length_1811_cov_24.940618,Cluster0,IPB24E-182,Mountain
IPB24A-19_NODE_70_length_1494_cov_134.364301,Cluster0,IPB24A-19,Mountain
IPB24G-202_NODE_120_length_2754_cov_2.626190,Cluster0,IPB24G-202,Mountain
IPB24E-174_NODE_32_length_3212_cov_165.540032,Cluster0,IPB24E-174,Hill
IPB6H-15_NODE_17_length_9270_cov_3.032593,Cluster0,IPB6D-3,Mountain
IPB6D-5_NODE_4654_length_1088_cov_0.752341,Cluster0,IPB6D-5,Mountain
IPB24G-195_NODE_88_length_2565_cov_4.330599,Cluster0,IPB24E-195,Mountain
IPB24A-11_NODE_141_length_1333_cov_164.079602,Cluster0,IPB24A-11,Mountain
IPB6D-5_NODE_1461_length_1366_cov_0.958031,Cluster0,IPB6D-5,Mountain
IPB24E-175_NODE_79_length_6661_cov_13.042853,Cluster0,IPB24E-175,Mountain
IPB24G-209_NODE_94_length_2136_cov_1.363365,Cluster0,IPB24G-209,Mountain
IPB24E-188_NODE_198_length_2099_cov_3.972617,Cluster0,IPB24E-188,Mountain
IPB24G-199_NODE_145_length_1950_cov_43.719693,Cluster0,IPB24E-199,Mountain
IPB24A-5_NODE_140_length_1336_cov_3.243176,Cluster0,IPB24A-5,Mountain
IPB24H-133_NODE_81_length_1639_cov_2.222884,Cluster0,IPB24H-133,Mountain
IPB24E-192_NODE_69_length_2614_cov_29.084037,Cluster0,IPB24E-192,Mountain
IPB24E-191_NODE_392_length_1352_cov_0.649796,Cluster0,IPB24E-191,Mountain
